"geo","time","adults_with_hiv_percent_age_15_49"
"bdi",1979,0.01591
"bdi",1990,3.9
"bdi",1991,4.5
"bdi",1992,5.1
"bdi",1993,5.5
"bdi",1994,5.8
"bdi",1995,5.9
"bdi",1996,5.9
"bdi",1997,5.8
"bdi",1998,5.7
"bdi",1999,5.4
"bdi",2000,5.2
"bdi",2001,5
"bdi",2002,4.7
"bdi",2003,4.5
"bdi",2004,4.2
"bdi",2005,4
"bdi",2006,3.8
"bdi",2007,3.6
"bdi",2008,3.5
"bdi",2009,1.6
"bdi",2010,1.4
"bdi",2011,1.3
"ken",1979,0.07
"ken",1990,3.9
"ken",1991,5.4
"ken",1992,7
"ken",1993,8.4
"ken",1994,9.6
"ken",1995,10.3
"ken",1996,10.5
"ken",1997,10.5
"ken",1998,10.1
"ken",1999,9.6
"ken",2000,9
"ken",2001,8.4
"ken",2002,7.9
"ken",2003,7.5
"ken",2004,7.1
"ken",2005,6.8
"ken",2006,6.6
"ken",2007,6.4
"ken",2008,6.3
"ken",2009,6.2
"ken",2010,6.2
"ken",2011,6.2
"rwa",1979,0.01
"rwa",1990,5.2
"rwa",1991,5.2
"rwa",1992,5.1
"rwa",1993,5
"rwa",1994,4.9
"rwa",1995,4.7
"rwa",1996,4.5
"rwa",1997,4.3
"rwa",1998,4.2
"rwa",1999,4
"rwa",2000,3.8
"rwa",2001,3.7
"rwa",2002,3.6
"rwa",2003,3.4
"rwa",2004,3.2
"rwa",2005,3.1
"rwa",2006,3
"rwa",2007,2.9
"rwa",2008,2.9
"rwa",2009,3
"rwa",2010,3
"rwa",2011,2.9
"ssd",2011,3.1
"tza",1979,0.01
"tza",1990,4.8
"tza",1991,5.7
"tza",1992,6.5
"tza",1993,7.1
"tza",1994,7.6
"tza",1995,7.8
"tza",1996,7.9
"tza",1997,7.9
"tza",1998,7.7
"tza",1999,7.5
"tza",2000,7.3
"tza",2001,7.1
"tza",2002,6.8
"tza",2003,6.6
"tza",2004,6.4
"tza",2005,6.2
"tza",2006,6
"tza",2007,5.9
"tza",2008,5.8
"tza",2009,5.8
"tza",2010,5.8
"tza",2011,5.8
"uga",1979,0.01
"uga",1990,10.2
"uga",1991,10.7
"uga",1992,10.5
"uga",1993,10.2
"uga",1994,9.8
"uga",1995,9.3
"uga",1996,8.8
"uga",1997,8.4
"uga",1998,8
"uga",1999,7.6
"uga",2000,7.3
"uga",2001,7
"uga",2002,6.8
"uga",2003,6.6
"uga",2004,6.4
"uga",2005,6.4
"uga",2006,6.3
"uga",2007,6.3
"uga",2008,6.4
"uga",2009,6.9
"uga",2010,7
"uga",2011,7.2
