"geo","time","aged_15plus_employment_rate_percent"
"bdi",1991,88.679
"bdi",1992,88.148
"bdi",1993,87.538
"bdi",1994,86.857
"bdi",1995,86.112
"bdi",1996,85.372
"bdi",1997,84.563
"bdi",1998,83.678
"bdi",1999,82.983
"bdi",2000,82.251
"bdi",2001,81.679
"bdi",2002,81.138
"bdi",2003,80.636
"bdi",2004,80.178
"bdi",2005,79.767
"bdi",2006,79.367
"bdi",2007,78.993
"bdi",2008,78.645
"bdi",2009,78.341
"bdi",2010,78.075
"bdi",2011,77.775
"bdi",2012,77.513
"bdi",2013,77.272
"bdi",2014,76.937
"bdi",2015,77.279
"bdi",2016,77.557
"bdi",2017,77.649
"bdi",2018,77.708
"bdi",2019,77.715
"bdi",2020,77.66
"bdi",2021,77.538
"bdi",2022,77.364
"cod",1991,69.245
"cod",1992,69.379
"cod",1993,69.512
"cod",1994,69.55
"cod",1995,69.503
"cod",1996,69.576
"cod",1997,69.626
"cod",1998,69.609
"cod",1999,69.593
"cod",2000,69.598
"cod",2001,69.645
"cod",2002,69.654
"cod",2003,69.649
"cod",2004,69.633
"cod",2005,69.616
"cod",2006,69.673
"cod",2007,69.697
"cod",2008,69.706
"cod",2009,69.726
"cod",2010,69.726
"cod",2011,69.784
"cod",2012,69.819
"cod",2013,69.826
"cod",2014,69.8
"cod",2015,69.748
"cod",2016,69.748
"cod",2017,69.746
"cod",2018,69.739
"cod",2019,69.727
"cod",2020,69.713
"cod",2021,69.696
"cod",2022,69.68
"ken",1991,66.089
"ken",1992,65.902
"ken",1993,65.684
"ken",1994,65.453
"ken",1995,65.237
"ken",1996,65.02
"ken",1997,64.886
"ken",1998,64.742
"ken",1999,64.619
"ken",2000,63.619
"ken",2001,62.542
"ken",2002,61.449
"ken",2003,60.306
"ken",2004,59.159
"ken",2005,58.018
"ken",2006,58.077
"ken",2007,58.21
"ken",2008,58.432
"ken",2009,57.827
"ken",2010,57.961
"ken",2011,58.081
"ken",2012,58.122
"ken",2013,58.093
"ken",2014,58.042
"ken",2015,57.986
"ken",2016,57.904
"ken",2017,57.904
"ken",2018,57.897
"ken",2019,57.888
"ken",2020,57.875
"ken",2021,57.859
"ken",2022,57.838
"rwa",1991,89.242
"rwa",1992,88.862
"rwa",1993,88.294
"rwa",1994,87.747
"rwa",1995,87.018
"rwa",1996,86.67
"rwa",1997,86.532
"rwa",1998,86.594
"rwa",1999,86.648
"rwa",2000,86.536
"rwa",2001,86.331
"rwa",2002,85.989
"rwa",2003,85.424
"rwa",2004,84.894
"rwa",2005,84.548
"rwa",2006,84.341
"rwa",2007,84.308
"rwa",2008,84.338
"rwa",2009,84.348
"rwa",2010,84.232
"rwa",2011,84.068
"rwa",2012,83.858
"rwa",2013,84.764
"rwa",2014,85.568
"rwa",2015,85.409
"rwa",2016,85.152
"rwa",2017,85.035
"rwa",2018,84.913
"rwa",2019,84.785
"rwa",2020,84.652
"rwa",2021,84.52
"rwa",2022,84.387
"ssd",1991,65.433
"ssd",1992,65.639
"ssd",1993,65.452
"ssd",1994,65.458
"ssd",1995,65.193
"ssd",1996,65.273
"ssd",1997,65.249
"ssd",1998,65.491
"ssd",1999,65.506
"ssd",2000,65.505
"ssd",2001,65.436
"ssd",2002,65.286
"ssd",2003,65.302
"ssd",2004,65.027
"ssd",2005,64.901
"ssd",2006,64.83
"ssd",2007,64.692
"ssd",2008,64.631
"ssd",2009,64.525
"ssd",2010,64.327
"ssd",2011,64.574
"ssd",2012,64.725
"ssd",2013,63.363
"ssd",2014,63.75
"ssd",2015,63.728
"ssd",2016,63.974
"ssd",2017,63.986
"ssd",2018,64.04
"ssd",2019,64.051
"ssd",2020,64.002
"ssd",2021,63.889
"ssd",2022,64.012
"tza",1991,80.603
"tza",1992,80.443
"tza",1993,80.263
"tza",1994,80.065
"tza",1995,79.842
"tza",1996,79.691
"tza",1997,79.52
"tza",1998,79.327
"tza",1999,79.13
"tza",2000,78.955
"tza",2001,78.692
"tza",2002,79.964
"tza",2003,79.784
"tza",2004,79.597
"tza",2005,79.399
"tza",2006,79.271
"tza",2007,79.785
"tza",2008,80.216
"tza",2009,81.042
"tza",2010,80.649
"tza",2011,80.265
"tza",2012,80.678
"tza",2013,81.031
"tza",2014,81.655
"tza",2015,81.602
"tza",2016,81.498
"tza",2017,81.474
"tza",2018,81.449
"tza",2019,81.427
"tza",2020,81.408
"tza",2021,81.393
"tza",2022,81.382
"uga",1991,69.19
"uga",1992,69.212
"uga",1993,69.043
"uga",1994,68.88
"uga",1995,68.723
"uga",1996,68.548
"uga",1997,68.375
"uga",1998,68.207
"uga",1999,68.05
"uga",2000,67.912
"uga",2001,67.792
"uga",2002,67.71
"uga",2003,67.995
"uga",2004,68.535
"uga",2005,69.066
"uga",2006,68.758
"uga",2007,68.439
"uga",2008,68.116
"uga",2009,67.81
"uga",2010,68.01
"uga",2011,68.222
"uga",2012,68.542
"uga",2013,69.625
"uga",2014,69.512
"uga",2015,69.372
"uga",2016,69.174
"uga",2017,69.187
"uga",2018,69.204
"uga",2019,69.228
"uga",2020,69.263
"uga",2021,69.302
"uga",2022,69.35
