"geo","time","aged_15plus_labour_force_participation_rate_percent"
"bdi",1990,90.626
"bdi",1991,90.158
"bdi",1992,89.611
"bdi",1993,88.989
"bdi",1994,88.3
"bdi",1995,87.55
"bdi",1996,86.803
"bdi",1997,85.99
"bdi",1998,85.101
"bdi",1999,84.404
"bdi",2000,83.671
"bdi",2001,83.092
"bdi",2002,82.542
"bdi",2003,82.027
"bdi",2004,81.556
"bdi",2005,81.128
"bdi",2006,80.71
"bdi",2007,80.318
"bdi",2008,79.951
"bdi",2009,79.618
"bdi",2010,79.324
"bdi",2011,78.996
"bdi",2012,78.706
"bdi",2013,78.437
"bdi",2014,78.164
"bdi",2015,78.512
"bdi",2016,78.811
"bdi",2017,78.874
"bdi",2018,78.906
"bdi",2019,78.886
"bdi",2020,78.807
"bdi",2021,78.661
"bdi",2022,78.465
"bdi",2023,78.235
"bdi",2024,77.997
"bdi",2025,77.766
"bdi",2026,77.536
"bdi",2027,77.314
"bdi",2028,77.108
"bdi",2029,76.924
"bdi",2030,76.766
"cod",1990,71.709
"cod",1991,71.855
"cod",1992,71.995
"cod",1993,72.134
"cod",1994,72.176
"cod",1995,72.137
"cod",1996,72.21
"cod",1997,72.257
"cod",1998,72.242
"cod",1999,72.225
"cod",2000,72.228
"cod",2001,72.285
"cod",2002,72.305
"cod",2003,72.305
"cod",2004,72.293
"cod",2005,72.276
"cod",2006,72.339
"cod",2007,72.368
"cod",2008,72.379
"cod",2009,72.401
"cod",2010,72.403
"cod",2011,72.466
"cod",2012,72.506
"cod",2013,72.514
"cod",2014,72.488
"cod",2015,72.432
"cod",2016,72.421
"cod",2017,72.421
"cod",2018,72.417
"cod",2019,72.408
"cod",2020,72.396
"cod",2021,72.381
"cod",2022,72.365
"cod",2023,72.354
"cod",2024,72.349
"cod",2025,72.353
"cod",2026,72.364
"cod",2027,72.385
"cod",2028,72.417
"cod",2029,72.466
"cod",2030,72.532
"ken",1990,73.826
"ken",1991,73.628
"ken",1992,73.389
"ken",1993,73.114
"ken",1994,72.831
"ken",1995,72.561
"ken",1996,72.301
"ken",1997,72.119
"ken",1998,71.959
"ken",1999,71.799
"ken",2000,70.777
"ken",2001,69.679
"ken",2002,68.521
"ken",2003,67.316
"ken",2004,66.086
"ken",2005,64.843
"ken",2006,65.015
"ken",2007,65.277
"ken",2008,65.603
"ken",2009,65.84
"ken",2010,65.93
"ken",2011,65.993
"ken",2012,65.956
"ken",2013,65.839
"ken",2014,65.708
"ken",2015,65.586
"ken",2016,65.443
"ken",2017,65.406
"ken",2018,65.367
"ken",2019,65.323
"ken",2020,65.274
"ken",2021,65.222
"ken",2022,65.168
"ken",2023,65.123
"ken",2024,65.101
"ken",2025,65.111
"ken",2026,65.149
"ken",2027,65.215
"ken",2028,65.297
"ken",2029,65.38
"ken",2030,65.455
"rwa",1990,89.644
"rwa",1991,89.511
"rwa",1992,89.181
"rwa",1993,88.66
"rwa",1994,88.159
"rwa",1995,87.475
"rwa",1996,87.158
"rwa",1997,87.065
"rwa",1998,87.175
"rwa",1999,87.276
"rwa",2000,87.212
"rwa",2001,87.053
"rwa",2002,86.761
"rwa",2003,86.421
"rwa",2004,86.123
"rwa",2005,86.007
"rwa",2006,86.028
"rwa",2007,86.223
"rwa",2008,86.489
"rwa",2009,86.723
"rwa",2010,86.835
"rwa",2011,86.896
"rwa",2012,86.846
"rwa",2013,86.735
"rwa",2014,86.581
"rwa",2015,86.416
"rwa",2016,86.215
"rwa",2017,86.153
"rwa",2018,86.084
"rwa",2019,86.006
"rwa",2020,85.92
"rwa",2021,85.834
"rwa",2022,85.745
"rwa",2023,85.657
"rwa",2024,85.573
"rwa",2025,85.496
"rwa",2026,85.433
"rwa",2027,85.378
"rwa",2028,85.334
"rwa",2029,85.303
"rwa",2030,85.287
"ssd",1990,74.254
"ssd",1991,74.312
"ssd",1992,74.288
"ssd",1993,74.214
"ssd",1994,74.183
"ssd",1995,74.293
"ssd",1996,74.356
"ssd",1997,74.414
"ssd",1998,74.477
"ssd",1999,74.506
"ssd",2000,74.465
"ssd",2001,74.458
"ssd",2002,74.367
"ssd",2003,74.216
"ssd",2004,74.048
"ssd",2005,73.896
"ssd",2006,73.792
"ssd",2007,73.686
"ssd",2008,73.57
"ssd",2009,73.419
"ssd",2010,73.218
"ssd",2011,73.104
"ssd",2012,72.951
"ssd",2013,72.77
"ssd",2014,72.587
"ssd",2015,72.413
"ssd",2016,72.321
"ssd",2017,72.336
"ssd",2018,72.359
"ssd",2019,72.381
"ssd",2020,72.396
"ssd",2021,72.402
"ssd",2022,72.403
"ssd",2023,72.402
"ssd",2024,72.404
"ssd",2025,72.411
"ssd",2026,72.415
"ssd",2027,72.423
"ssd",2028,72.434
"ssd",2029,72.444
"ssd",2030,72.451
"tza",1990,83.639
"tza",1991,83.613
"tza",1992,83.562
"tza",1993,83.489
"tza",1994,83.397
"tza",1995,83.278
"tza",1996,83.241
"tza",1997,83.173
"tza",1998,83.085
"tza",1999,82.995
"tza",2000,82.924
"tza",2001,82.921
"tza",2002,82.951
"tza",2003,83.005
"tza",2004,83.057
"tza",2005,83.091
"tza",2006,83.145
"tza",2007,83.146
"tza",2008,83.131
"tza",2009,83.12
"tza",2010,83.121
"tza",2011,83.15
"tza",2012,83.381
"tza",2013,83.476
"tza",2014,83.423
"tza",2015,83.367
"tza",2016,83.304
"tza",2017,83.32
"tza",2018,83.332
"tza",2019,83.343
"tza",2020,83.356
"tza",2021,83.371
"tza",2022,83.387
"tza",2023,83.404
"tza",2024,83.422
"tza",2025,83.44
"tza",2026,83.46
"tza",2027,83.482
"tza",2028,83.505
"tza",2029,83.53
"tza",2030,83.556
"uga",1990,69.757
"uga",1991,69.847
"uga",1992,69.854
"uga",1993,69.866
"uga",1994,69.884
"uga",1995,69.908
"uga",1996,69.914
"uga",1997,69.922
"uga",1998,69.938
