"geo","time","aged_25_54_labour_force_participation_rate_percent"
"bdi",1990,97.263
"bdi",1991,97.198
"bdi",1992,97.129
"bdi",1993,97.054
"bdi",1994,96.975
"bdi",1995,96.889
"bdi",1996,96.797
"bdi",1997,96.696
"bdi",1998,96.581
"bdi",1999,96.56
"bdi",2000,96.526
"bdi",2001,96.474
"bdi",2002,96.416
"bdi",2003,96.356
"bdi",2004,96.297
"bdi",2005,96.243
"bdi",2006,96.193
"bdi",2007,96.146
"bdi",2008,96.1
"bdi",2009,96.055
"bdi",2010,96.009
"bdi",2011,95.957
"bdi",2012,95.906
"bdi",2013,95.856
"bdi",2014,95.807
"bdi",2015,95.829
"bdi",2016,95.843
"bdi",2017,95.83
"bdi",2018,95.82
"bdi",2019,95.812
"bdi",2020,95.807
"bdi",2021,95.804
"bdi",2022,95.802
"bdi",2023,95.8
"bdi",2024,95.795
"bdi",2025,95.787
"bdi",2026,95.777
"bdi",2027,95.764
"bdi",2028,95.747
"bdi",2029,95.728
"bdi",2030,95.707
"cod",1990,88.544
"cod",1991,88.605
"cod",1992,88.685
"cod",1993,88.786
"cod",1994,88.823
"cod",1995,88.847
"cod",1996,88.837
"cod",1997,88.872
"cod",1998,88.896
"cod",1999,88.943
"cod",2000,89.005
"cod",2001,89.009
"cod",2002,88.996
"cod",2003,88.976
"cod",2004,88.953
"cod",2005,88.937
"cod",2006,88.892
"cod",2007,88.855
"cod",2008,88.826
"cod",2009,88.819
"cod",2010,88.792
"cod",2011,88.743
"cod",2012,88.703
"cod",2013,88.665
"cod",2014,88.635
"cod",2015,88.625
"cod",2016,88.63
"cod",2017,88.601
"cod",2018,88.572
"cod",2019,88.545
"cod",2020,88.518
"cod",2021,88.492
"cod",2022,88.466
"cod",2023,88.441
"cod",2024,88.414
"cod",2025,88.384
"cod",2026,88.351
"cod",2027,88.316
"cod",2028,88.28
"cod",2029,88.243
"cod",2030,88.207
"ken",1990,88.714
"ken",1991,88.854
"ken",1992,89.04
"ken",1993,89.244
"ken",1994,89.434
"ken",1995,89.599
"ken",1996,89.708
"ken",1997,89.8
"ken",1998,89.865
"ken",1999,89.947
"ken",2000,89.043
"ken",2001,88.051
"ken",2002,86.965
"ken",2003,85.78
"ken",2004,84.49
"ken",2005,83.093
"ken",2006,83.114
"ken",2007,83.115
"ken",2008,83.157
"ken",2009,83.194
"ken",2010,83.224
"ken",2011,83.286
"ken",2012,83.383
"ken",2013,83.487
"ken",2014,83.599
"ken",2015,83.707
"ken",2016,83.819
"ken",2017,83.75
"ken",2018,83.681
"ken",2019,83.601
"ken",2020,83.503
"ken",2021,83.388
"ken",2022,83.257
"ken",2023,83.115
"ken",2024,82.971
"ken",2025,82.828
"ken",2026,82.685
"ken",2027,82.545
"ken",2028,82.405
"ken",2029,82.265
"ken",2030,82.126
"rwa",1990,94.222
"rwa",1991,94.307
"rwa",1992,94.451
"rwa",1993,94.677
"rwa",1994,95.04
"rwa",1995,95.135
"rwa",1996,95.169
"rwa",1997,95.155
"rwa",1998,95.105
"rwa",1999,95.045
"rwa",2000,95.013
"rwa",2001,95.019
"rwa",2002,95.036
"rwa",2003,95.095
"rwa",2004,95.117
"rwa",2005,95.107
"rwa",2006,95.071
"rwa",2007,95.021
"rwa",2008,94.947
"rwa",2009,94.901
"rwa",2010,94.867
"rwa",2011,94.838
"rwa",2012,94.817
"rwa",2013,94.828
"rwa",2014,94.84
"rwa",2015,94.866
"rwa",2016,94.912
"rwa",2017,94.98
"rwa",2018,95.052
"rwa",2019,95.113
"rwa",2020,95.154
"rwa",2021,95.177
"rwa",2022,95.183
"rwa",2023,95.177
"rwa",2024,95.17
"rwa",2025,95.167
"rwa",2026,95.167
"rwa",2027,95.17
"rwa",2028,95.174
"rwa",2029,95.173
"rwa",2030,95.166
"ssd",1990,81.885
"ssd",1991,81.829
"ssd",1992,81.805
"ssd",1993,81.802
"ssd",1994,81.794
"ssd",1995,81.747
"ssd",1996,81.718
"ssd",1997,81.698
"ssd",1998,81.679
"ssd",1999,81.669
"ssd",2000,81.681
"ssd",2001,81.673
"ssd",2002,81.692
"ssd",2003,81.733
"ssd",2004,81.784
"ssd",2005,81.834
"ssd",2006,81.871
"ssd",2007,81.914
"ssd",2008,81.958
"ssd",2009,82.005
"ssd",2010,82.055
"ssd",2011,82.075
"ssd",2012,82.097
"ssd",2013,82.121
"ssd",2014,82.145
"ssd",2015,82.171
"ssd",2016,82.186
"ssd",2017,82.222
"ssd",2018,82.26
"ssd",2019,82.3
"ssd",2020,82.342
"ssd",2021,82.385
"ssd",2022,82.43
"ssd",2023,82.478
"ssd",2024,82.529
"ssd",2025,82.585
"ssd",2026,82.644
"ssd",2027,82.708
"ssd",2028,82.773
"ssd",2029,82.837
"ssd",2030,82.9
"tza",1990,94.088
"tza",1991,94.083
"tza",1992,94.091
"tza",1993,94.107
"tza",1994,94.131
"tza",1995,94.164
"tza",1996,94.159
"tza",1997,94.167
"tza",1998,94.184
"tza",1999,94.199
"tza",2000,94.209
"tza",2001,94.207
"tza",2002,94.192
"tza",2003,94.17
"tza",2004,94.147
"tza",2005,94.128
"tza",2006,94.115
"tza",2007,94.11
"tza",2008,94.117
"tza",2009,94.125
"tza",2010,94.128
"tza",2011,94.122
"tza",2012,93.685
"tza",2013,93.117
"tza",2014,92.405
"tza",2015,92.415
"tza",2016,92.434
"tza",2017,92.375
"tza",2018,92.315
"tza",2019,92.257
"tza",2020,92.202
"tza",2021,92.147
"tza",2022,92.094
"tza",2023,92.041
"tza",2024,91.984
"tza",2025,91.921
"tza",2026,91.852
"tza",2027,91.779
"tza",2028,91.703
"tza",2029,91.629
"tza",2030,91.558
"uga",1990,81.597
"uga",1991,81.462
"uga",1992,81.629
"uga",1993,81.796
"uga",1994,81.963
"uga",1995,82.133
"uga",1996,82.304
"uga",1997,82.476
"uga",1998,82.648
"uga",1999,82.821
"uga",2000,82.993
"uga",2001,83.173
"uga",2002,83.351
"uga",2003,83.528
"uga",2004,83.702
"uga",2005,83.876
"uga",2006,84.052
"uga",2007,84.225
"uga",2008,84.393
"uga",2009,84.555
"uga",2010,84.711
"uga",2011,84.858
"uga",2012,84.999
"uga",2013,85.082
"uga",2014,85.162
"uga",2015,85.249
"uga",2016,85.323
"uga",2017,85.402
"uga",2018,85.479
"uga",2019,85.556
"uga",2020,85.633
"uga",2021,85.711
"uga",2022,85.79
"uga",2023,85.869
"uga",2024,85.948
"uga",2025,86.027
"uga",2026,86.105
"uga",2027,86.184
"uga",2028,86.263
"uga",2029,86.343
"uga",2030,86.426
