"geo","time","agricultural_land_percent_of_land_area"
"bdi",1961,61.33178
"bdi",1962,61.91589
"bdi",1963,62.46106
"bdi",1964,62.5
"bdi",1965,63.23988
"bdi",1966,63.12305
"bdi",1967,64.87539
"bdi",1968,65.2648
"bdi",1969,73.87072
"bdi",1970,73.20872
"bdi",1971,73.9486
"bdi",1972,74.22118
"bdi",1973,77.88162
"bdi",1974,79.04984
"bdi",1975,80.21807
"bdi",1976,81.581
"bdi",1977,83.45016
"bdi",1978,82.55452
"bdi",1979,81.7757
"bdi",1980,81.30841
"bdi",1981,80.80218
"bdi",1982,80.21807
"bdi",1983,80.21807
"bdi",1984,80.21807
"bdi",1985,80.21807
"bdi",1986,81.07477
"bdi",1987,81.46417
"bdi",1988,81.9704
"bdi",1989,81.9704
"bdi",1990,82.16511
"bdi",1991,82.16511
"bdi",1992,82.55452
"bdi",1993,82.67134
"bdi",1994,80.7243
"bdi",1995,79.32243
"bdi",1996,77.60903
"bdi",1997,76.01246
"bdi",1998,74.49377
"bdi",1999,73.48131
"bdi",2000,72.70249
"bdi",2001,72.07944
"bdi",2002,71.41745
"bdi",2003,71.3785
"bdi",2004,71.96262
"bdi",2005,70.83333
"bdi",2006,69.43146
"bdi",2007,67.48442
"bdi",2008,69.43146
"bdi",2009,71.3785
"bdi",2010,71.3785
"bdi",2011,73.32555
"bdi",2012,75.27259
"bdi",2013,79.16667
"bdi",2014,79.16667
"bdi",2015,79.12773
"cod",1961,11.0496
"cod",1962,11.05842
"cod",1963,11.07166
"cod",1964,11.08489
"cod",1965,11.09371
"cod",1966,11.10253
"cod",1967,11.11577
"cod",1968,11.13782
"cod",1969,11.15988
"cod",1970,11.18193
"cod",1971,11.20399
"cod",1972,11.22604
"cod",1973,11.2481
"cod",1974,11.27015
"cod",1975,11.27015
"cod",1976,11.29221
"cod",1977,11.30544
"cod",1978,11.31426
"cod",1979,11.31426
"cod",1980,11.33632
"cod",1981,11.35837
"cod",1982,11.3672
"cod",1983,11.38043
"cod",1984,11.40248
"cod",1985,11.42454
"cod",1986,11.44659
"cod",1987,11.44659
"cod",1988,11.44659
"cod",1989,11.44659
"cod",1990,11.451
"cod",1991,11.45983
"cod",1992,11.46865
"cod",1993,11.46865
"cod",1994,11.46865
"cod",1995,11.38043
"cod",1996,11.38043
"cod",1997,11.33632
"cod",1998,11.33632
"cod",1999,11.29221
"cod",2000,11.29221
"cod",2001,11.27015
"cod",2002,11.27015
"cod",2003,11.27015
"cod",2004,11.27015
"cod",2005,11.27015
"cod",2006,11.28603
"cod",2007,11.31426
"cod",2008,11.33632
"cod",2009,11.35617
"cod",2010,11.36499
"cod",2011,11.48629
"cod",2012,11.55687
"cod",2013,11.55687
"cod",2014,11.55687
"cod",2015,11.55687
"ken",1961,44.27733
"ken",1962,44.28612
"ken",1963,44.2949
"ken",1964,44.30369
"ken",1965,44.31247
"ken",1966,44.32126
"ken",1967,44.33004
"ken",1968,44.33883
"ken",1969,44.34761
"ken",1970,44.3564
"ken",1971,44.36518
"ken",1972,44.37397
"ken",1973,44.38275
"ken",1974,44.39154
"ken",1975,44.93095
"ken",1976,44.94149
"ken",1977,44.945
"ken",1978,44.945
"ken",1979,44.945
"ken",1980,44.945
"ken",1981,44.945
"ken",1982,44.945
"ken",1983,44.945
"ken",1984,44.81323
"ken",1985,46.30495
"ken",1986,46.33834
"ken",1987,46.44727
"ken",1988,46.84612
"ken",1989,47.53312
"ken",1990,47.03588
"ken",1991,47.22388
"ken",1992,47.5665
"ken",1993,47.15887
"ken",1994,47.84763
"ken",1995,47.82303
"ken",1996,46.47538
"ken",1997,46.72664
"ken",1998,46.48768
"ken",1999,47.22212
"ken",2000,46.86193
"ken",2001,47.15711
"ken",2002,47.12022
"ken",2003,47.21861
"ken",2004,47.42594
"ken",2005,47.44351
"ken",2006,47.53488
"ken",2007,47.56299
"ken",2008,47.58935
"ken",2009,47.94075
"ken",2010,48.00225
"ken",2011,48.54693
"ken",2012,48.72263
"ken",2013,48.54693
"ken",2014,48.54693
"ken",2015,48.54693
"rwa",1961,53.30361
"rwa",1962,53.70896
"rwa",1963,54.11431
"rwa",1964,54.51966
"rwa",1965,54.92501
"rwa",1966,55.33036
"rwa",1967,55.73571
"rwa",1968,56.05999
"rwa",1969,56.62748
"rwa",1970,56.91123
"rwa",1971,58.69477
"rwa",1972,61.12687
"rwa",1973,61.00527
"rwa",1974,64.20754
"rwa",1975,65.34252
"rwa",1976,66.43697
"rwa",1977,67.49088
"rwa",1978,68.09891
"rwa",1979,68.788
"rwa",1980,69.51763
"rwa",1981,71.34171
"rwa",1982,71.94974
"rwa",1983,72.55776
"rwa",1984,73.28739
"rwa",1985,73.73328
"rwa",1986,74.17916
"rwa",1987,74.66559
"rwa",1988,75.11147
"rwa",1989,75.19254
"rwa",1990,76.16538
"rwa",1991,76.08431
"rwa",1992,74.46291
"rwa",1993,70.12566
"rwa",1994,60.19457
"rwa",1995,60.19457
"rwa",1996,62.62667
"rwa",1997,64.65343
"rwa",1998,65.46413
"rwa",1999,67.32874
"rwa",2000,67.69355
"rwa",2001,70.89582
"rwa",2002,74.2197
"rwa",2003,73.12525
"rwa",2004,73.60681
"rwa",2005,72.26996
"rwa",2006,73.08269
"rwa",2007,73.16092
"rwa",2008,73.26469
"rwa",2009,73.32266
"rwa",2010,73.12201
"rwa",2011,73.62951
"rwa",2012,73.60073
"rwa",2013,74.68585
"rwa",2014,73.3482
"rwa",2015,73.43737
"tza",1961,29.352
"tza",1962,29.352
"tza",1963,30.48092
"tza",1964,30.48092
"tza",1965,30.48092
"tza",1966,30.48092
"tza",1967,30.48092
"tza",1968,30.48092
"tza",1969,30.48092
"tza",1970,31.60984
"tza",1971,32.73877
"tza",1972,32.73877
"tza",1973,32.73877
"tza",1974,32.73877
"tza",1975,32.73877
"tza",1976,32.73877
"tza",1977,32.73877
"tza",1978,33.86769
"tza",1979,33.86769
"tza",1980,33.86769
"tza",1981,34.99661
"tza",1982,34.99661
"tza",1983,34.99661
"tza",1984,34.99661
"tza",1985,36.12554
"tza",1986,36.12554
"tza",1987,36.12554
"tza",1988,36.12554
"tza",1989,36.12554
"tza",1990,36.12554
"tza",1991,36.58049
"tza",1992,36.57711
"tza",1993,36.80289
"tza",1994,37.14157
"tza",1995,37.48024
"tza",1996,37.81892
"tza",1997,38.04809
"tza",1998,38.1576
"tza",1999,38.27049
"tza",2000,38.38338
"tza",2001,38.49627
"tza",2002,38.60917
"tza",2003,38.68819
"tza",2004,39.69293
"tza",2005,39.91872
"tza",2006,39.91872
"tza",2007,40.24611
"tza",2008,41.74125
"tza",2009,42.10883
"tza",2010,42.27817
"tza",2011,43.23775
"tza",2012,44.81824
"tza",2013,44.7618
"tza",2014,44.7618
"tza",2015,44.7618
"uga",1961,45.13288
"uga",1962,45.61333
"uga",1963,46.33402
"uga",1964,49.41194
"uga",1965,49.40193
"uga",1966,49.472
"uga",1967,49.48701
"uga",1968,49.67219
"uga",1969,49.79731
"uga",1970,49.94745
"uga",1971,50.19769
"uga",1972,50.54802
"uga",1973,50.9484
"uga",1974,51.3688
"uga",1975,52.08448
"uga",1976,52.7401
"uga",1977,52.7401
"uga",1978,53.10045
"uga",1979,53.10045
"uga",1980,53.45078
"uga",1981,53.85116
"uga",1982,54.25154
"uga",1983,56.55373
"uga",1984,57.55468
"uga",1985,58.05515
"uga",1986,59.14118
"uga",1987,59.14118
"uga",1988,59.14118
"uga",1989,59.3664
"uga",1990,59.86687
"uga",1991,60.21721
"uga",1992,60.3173
"uga",1993,60.46744
"uga",1994,60.56754
"uga",1995,60.66763
"uga",1996,60.91787
"uga",1997,60.91787
"uga",1998,61.2682
"uga",1999,61.3683
"uga",2000,62.61949
"uga",2001,63.11996
"uga",2002,64.12091
"uga",2003,65.62234
"uga",2004,66.37305
"uga",2005,66.37305
"uga",2006,67.37776
"uga",2007,68.38246
"uga",2008,69.63741
"uga",2009,70.64211
"uga",2010,71.14004
"uga",2011,71.88809
"uga",2012,72.13744
"uga",2013,71.88809
"uga",2014,71.88809
"uga",2015,71.88809
