"geo","time","agriculture_percent_of_gdp"
"bdi",1970,65.33139
"bdi",1971,64.76177
"bdi",1972,60.77313
"bdi",1973,63.31364
"bdi",1974,61.03422
"bdi",1975,61.3036
"bdi",1976,59.47548
"bdi",1977,55.58016
"bdi",1978,53.96402
"bdi",1979,53.83225
"bdi",1980,57.57194
"bdi",1981,58.1426
"bdi",1982,52.61268
"bdi",1983,53.48219
"bdi",1984,54.65986
"bdi",1985,55.95197
"bdi",1986,52.51959
"bdi",1987,50.55635
"bdi",1988,48.21563
"bdi",1989,47.12209
"bdi",1990,51.05685
"bdi",1991,48.59791
"bdi",1992,48.00452
"bdi",1993,47.16981
"bdi",1994,40.73233
"bdi",1995,42.02269
"bdi",1996,53.38092
"bdi",1997,42.42186
"bdi",1998,44.5387
"bdi",1999,47.6353
"bdi",2000,44.10704
"bdi",2001,43.84314
"bdi",2002,43.33361
"bdi",2003,42.84128
"bdi",2004,41.9026
"bdi",2005,40.8474
"bdi",2006,40.6429
"bdi",2007,34.35349
"bdi",2008,37.239
"bdi",2009,36.99636
"bdi",2010,36.96887
"bdi",2011,36.90176
"bdi",2012,37.06934
"bdi",2013,36.31332
"bdi",2014,35.67011
"bdi",2015,37.07412
"bdi",2016,36.3588
"cod",1965,20.09565
"cod",1966,21.63303
"cod",1967,21.64213
"cod",1968,21.78074
"cod",1969,18.00108
"cod",1970,14.74289
"cod",1971,13.63959
"cod",1972,13.82945
"cod",1973,13.7837
"cod",1974,14.59184
"cod",1975,16.52866
"cod",1976,21.82431
"cod",1977,23.12229
"cod",1978,26.62335
"cod",1979,27.27587
"cod",1980,25.33317
"cod",1981,24.69652
"cod",1982,30.12104
"cod",1983,33.07929
"cod",1984,29.83359
"cod",1985,29.92494
"cod",1986,31.61824
"cod",1987,29.00109
"cod",1988,28.98004
"cod",1989,27.82073
"cod",1990,30.14992
"cod",1991,40
"cod",1992,49.15254
"cod",1993,51.30015
"cod",1994,56.54403
"cod",1995,56.54399
"cod",1996,33.26198
"cod",1997,47.5
"cod",1998,46.49997
"cod",1999,52.36616
"cod",2000,31.97236
"cod",2001,32.8709
"cod",2002,26.58378
"cod",2003,26.05384
"cod",2004,23.87936
"cod",2005,21.57938
"cod",2006,21.21006
"cod",2007,21.60221
"cod",2008,22.61868
"cod",2009,23.67467
"cod",2010,21.42849
"cod",2011,20.91708
"cod",2012,20.44106
"cod",2013,19.31667
"cod",2014,18.56252
"cod",2015,18.37039
"cod",2016,18.59975
"cod",2017,19.89299
"ken",1960,35.34741
"ken",1961,34.0731
"ken",1962,37.57419
"ken",1963,38.44981
"ken",1964,36.83208
"ken",1965,32.41864
"ken",1966,34.70786
"ken",1967,33.65743
"ken",1968,31.7057
"ken",1969,30.89757
"ken",1970,30.16973
"ken",1971,28.16229
"ken",1972,32.21094
"ken",1973,31.8775
"ken",1974,31.29914
"ken",1975,30.17298
"ken",1976,33.32692
"ken",1977,37.00683
"ken",1978,32.06422
"ken",1979,30.18625
"ken",1980,27.79076
"ken",1981,27.87345
"ken",1982,28.9666
"ken",1983,29.86876
"ken",1984,29.5099
"ken",1985,28.60623
"ken",1986,28.77758
"ken",1987,27.17165
"ken",1988,25.5402
"ken",1989,25.96381
"ken",1990,25.31413
"ken",1991,24.32015
"ken",1992,24.78129
"ken",1993,26.80801
"ken",1994,28.11536
"ken",1995,26.34962
"ken",1996,27.49252
"ken",1997,27.69394
"ken",1998,27.74491
"ken",1999,28.74408
"ken",2000,28.72178
"ken",2001,27.84926
"ken",2002,25.85397
"ken",2003,25.80444
"ken",2004,24.92904
"ken",2005,24.23627
"ken",2006,20.51969
"ken",2007,20.58666
"ken",2008,22.19634
"ken",2009,23.3604
"ken",2010,24.82622
"ken",2011,26.30366
"ken",2012,26.21053
"ken",2013,26.44333
"ken",2014,27.45094
"ken",2015,30.19241
"ken",2016,32.13533
"ken",2017,31.5168
"rwa",1965,74.7917
"rwa",1966,74.86692
"rwa",1967,65.85109
"rwa",1968,65.28338
"rwa",1969,65.79066
"rwa",1970,61.61892
"rwa",1971,61.17859
"rwa",1972,59.55947
"rwa",1973,61.02459
"rwa",1974,59.13528
"rwa",1975,49.21357
"rwa",1976,49.2161
"rwa",1977,46.46098
"rwa",1978,42.41826
"rwa",1979,49.03816
"rwa",1980,45.84684
"rwa",1981,40.73712
"rwa",1982,39.78375
"rwa",1983,38.20267
"rwa",1984,40.83753
"rwa",1985,41.83584
"rwa",1986,37.52635
"rwa",1987,37.70911
"rwa",1988,39.22077
"rwa",1989,40.30891
"rwa",1990,32.54599
"rwa",1991,32.13271
"rwa",1992,33.23762
"rwa",1993,33.73489
"rwa",1994,49.75875
"rwa",1995,44.00045
"rwa",1996,47.18929
"rwa",1997,45.96095
"rwa",1998,45.51746
"rwa",1999,37.4368
"rwa",2000,37.18671
"rwa",2001,37.33609
"rwa",2002,35.38654
"rwa",2003,38.26104
"rwa",2004,38.5608
"rwa",2005,38.38803
"rwa",2006,35.73279
"rwa",2007,31.28322
"rwa",2008,29.75691
"rwa",2009,30.18801
"rwa",2010,29.12243
"rwa",2011,28.2301
"rwa",2012,29.21967
"rwa",2013,28.89137
"rwa",2014,28.75456
"rwa",2015,28.00754
"rwa",2016,29.30952
"rwa",2017,30.95784
"tza",1990,42.04694
"tza",1991,43.85518
"tza",1992,44.70486
"tza",1993,44.82485
"tza",1994,41.58496
"tza",1995,43.65036
"tza",1996,44.0136
"tza",1997,42.6019
"tza",1998,31.47844
"tza",1999,32.10248
"tza",2000,31.30949
"tza",2001,30.6568
"tza",2002,30.26827
"tza",2003,30.29091
"tza",2004,30.94471
"tza",2005,28.61503
"tza",2006,29.03898
"tza",2007,26.8257
"tza",2008,28.78908
"tza",2009,30.23768
"tza",2010,29.90719
"tza",2011,29.35458
"tza",2012,31.08293
"tza",2013,31.18845
"tza",2014,28.81295
"tza",2015,28.99885
"tza",2016,29.23376
"tza",2017,30.13235
"uga",1960,49.87486
"uga",1961,49.92284
"uga",1962,49.18083
"uga",1963,47.51292
"uga",1964,47.2434
