"geo","time","aid_received_per_person_current_us"
"bdi",1960,2.7027
"bdi",1961,2.53199
"bdi",1962,3.82559
"bdi",1963,2.08819
"bdi",1964,2.68694
"bdi",1965,1.57901
"bdi",1966,2.83247
"bdi",1967,3.2189
"bdi",1968,3.91106
"bdi",1969,4.40185
"bdi",1970,5.11343
"bdi",1971,6.18476
"bdi",1972,7.26853
"bdi",1973,7.50596
"bdi",1974,10.32171
"bdi",1975,12.92934
"bdi",1976,11.7123
"bdi",1977,12.46731
"bdi",1978,18.88461
"bdi",1979,23.50678
"bdi",1980,28.16496
"bdi",1981,28.56842
"bdi",1982,28.93811
"bdi",1983,30.93244
"bdi",1984,30.11621
"bdi",1985,29.17016
"bdi",1986,39.51408
"bdi",1987,39.42069
"bdi",1988,39.0385
"bdi",1989,39.06043
"bdi",1990,48.48197
"bdi",1991,46.26449
"bdi",1992,54.63212
"bdi",1993,37.59055
"bdi",1994,52.98549
"bdi",1995,48.12935
"bdi",1996,18.29465
"bdi",1997,9.2276
"bdi",1998,11.11317
"bdi",1999,11.96062
"bdi",2000,14.57808
"bdi",2001,21.24064
"bdi",2002,25.5
"bdi",2003,32.73354
"bdi",2004,49.95788
"bdi",2005,49.24771
"bdi",2006,56.28677
"bdi",2007,63.54876
"bdi",2008,63.37229
"bdi",2009,67.82282
"bdi",2010,71.58834
"bdi",2011,63.27633
"bdi",2012,56.24317
"bdi",2013,58.21033
"bdi",2014,52.10382
"bdi",2015,35.93787
"bdi",2016,70.51708
"cod",1960,5.38357
"cod",1961,5.82949
"cod",1962,7.54118
"cod",1963,6.7732
"cod",1964,7.51423
"cod",1965,8.1791
"cod",1966,5.21278
"cod",1967,5.10387
"cod",1968,4.05325
"cod",1969,4.30394
"cod",1970,4.46578
"cod",1971,5.21669
"cod",1972,5.7618
"cod",1973,6.40502
"cod",1974,8.0827
"cod",1975,11.26873
"cod",1976,8.19727
"cod",1977,10.70624
"cod",1978,12.64854
"cod",1979,16.18587
"cod",1980,16.36083
"cod",1981,14.50287
"cod",1982,12.50012
"cod",1983,10.92418
"cod",1984,10.31266
"cod",1985,10.21837
"cod",1986,13.73794
"cod",1987,21.36802
"cod",1988,17.00553
"cod",1989,21.81683
"cod",1990,25.87898
"cod",1991,13.23353
"cod",1992,7.19003
"cod",1993,4.57902
"cod",1994,6.07866
"cod",1995,4.68197
"cod",1996,3.88492
"cod",1997,3.60209
"cod",1998,2.83271
"cod",1999,2.95237
"cod",2000,3.79044
"cod",2001,5.09646
"cod",2002,23.60093
"cod",2003,105.41013
"cod",2004,36.18701
"cod",2005,34.36985
"cod",2006,38.85962
"cod",2007,23.07987
"cod",2008,29.2661
"cod",2009,37.85245
"cod",2010,53.9906
"cod",2011,82.83859
"cod",2012,41.26159
"cod",2013,36.23323
"cod",2014,32.55462
"cod",2015,34.10965
"cod",2016,26.76585
"ken",1960,2.60442
"ken",1961,7.56209
"ken",1962,5.69245
"ken",1963,6.24016
"ken",1964,6.16403
"ken",1965,7.58887
"ken",1966,5.64113
"ken",1967,3.61515
"ken",1968,5.78067
"ken",1969,5.13539
"ken",1970,5.09665
"ken",1971,5.7345
"ken",1972,5.94711
"ken",1973,7.5795
"ken",1974,8.96935
"ken",1975,9.25509
"ken",1976,11.04546
"ken",1977,11.06531
"ken",1978,16.2839
"ken",1979,22.23988
"ken",1980,24.26641
"ken",1981,26.51512
"ken",1982,27.59771
"ken",1983,21.71672
"ken",1984,21.56699
"ken",1985,21.71162
"ken",1986,21.7365
"ken",1987,26.38437
"ken",1988,38.04184
"ken",1989,46.82097
"ken",1990,50.47707
"ken",1991,37.9022
"ken",1992,35.44791
"ken",1993,35.55277
"ken",1994,25.53328
"ken",1995,26.8075
"ken",1996,21.18323
"ken",1997,15.49521
"ken",1998,13.94903
"ken",1999,10.17144
"ken",2000,16.34061
"ken",2001,14.61598
"ken",2002,11.68844
"ken",2003,15.32045
"ken",2004,18.70082
"ken",2005,20.98768
"ken",2006,25.41425
"ken",2007,34.90425
"ken",2008,34.82644
"ken",2009,44.2993
"ken",2010,39.44992
"ken",2011,58.34324
"ken",2012,60.79874
"ken",2013,73.76918
"ken",2014,57.818
"ken",2015,52.16713
"ken",2016,45.16796
"rwa",1960,2.56696
"rwa",1961,2.39645
"rwa",1962,3.62551
"rwa",1963,2.16567
"rwa",1964,2.28989
"rwa",1965,2.52712
"rwa",1966,3.58834
"rwa",1967,3.92883
"rwa",1968,4.55878
"rwa",1969,4.84811
"rwa",1970,5.79032
"rwa",1971,6.49633
"rwa",1972,7.55328
"rwa",1973,9.46294
"rwa",1974,11.00123
"rwa",1975,20.73138
"rwa",1976,17.50413
"rwa",1977,20.43199
"rwa",1978,25.86326
"rwa",1979,29.6312
"rwa",1980,29.97831
"rwa",1981,28.84272
"rwa",1982,27.37132
"rwa",1983,26.21257
"rwa",1984,27.6747
"rwa",1985,28.86061
"rwa",1986,31.99758
"rwa",1987,35.49693
"rwa",1988,34.83695
"rwa",1989,31.26789
"rwa",1990,39.79105
"rwa",1991,50.93197
"rwa",1992,52.06472
"rwa",1993,56.177
"rwa",1994,118.52435
"rwa",1995,117.18807
"rwa",1996,76.09112
"rwa",1997,35.22179
"rwa",1998,49.5948
"rwa",1999,49.14108
"rwa",2000,40.05381
"rwa",2001,36.57644
"rwa",2002,42.12528
"rwa",2003,38.70353
"rwa",2004,55.69467
"rwa",2005,63.69294
"rwa",2006,65.75623
"rwa",2007,82.56661
"rwa",2008,96.36215
"rwa",2009,93.63619
"rwa",2010,100.82033
"rwa",2011,120.12186
"rwa",2012,81.43961
"rwa",2013,98.17218
"rwa",2014,91.22939
"rwa",2015,93.32517
"rwa",2016,96.35907
"ssd",2011,41.71078
"ssd",2012,109.65351
"ssd",2013,125.18911
"ssd",2014,170.33431
"ssd",2015,140.95361
"ssd",2016,130.00859
"tza",1960,1.02834
"tza",1961,3.77793
"tza",1962,4.40008
"tza",1963,2.82212
"tza",1964,4.02589
"tza",1965,3.30636
"tza",1966,2.8599
"tza",1967,3.2331
"tza",1968,3.16638
"tza",1969,2.89386
"tza",1970,3.74627
"tza",1971,4.4248
"tza",1972,4.21601
