"geo","time","aid_received_percent_of_gni"
"bdi",1960,61.46939
"bdi",1961,51.35714
"bdi",1962,70.28571
"bdi",1963,44
"bdi",1964,57.78571
"bdi",1965,53.00704
"bdi",1966,79.75656
"bdi",1967,85.21611
"bdi",1968,86.44691
"bdi",1969,94.69917
"bdi",1970,160.66975
"bdi",1971,112.70869
"bdi",1972,328.04541
"bdi",1973,166.15122
"bdi",1974,266.95521
"bdi",1975,148.75696
"bdi",1976,107.47511
"bdi",1977,77.71066
"bdi",1978,86.28634
"bdi",1979,80.82668
"bdi",1980,90.79085
"bdi",1981,73.21094
"bdi",1982,85.60571
"bdi",1983,55.66806
"bdi",1984,75.91541
"bdi",1985,86.04762
"bdi",1986,136.71672
"bdi",1987,76.84929
"bdi",1988,123.20202
"bdi",1989,112.46342
"bdi",1990,159.53378
"bdi",1991,152.42003
"bdi",1992,268.43313
"bdi",1993,200.28692
"bdi",1994,482.24531
"bdi",1995,450.7425
"bdi",1996,154.90708
"bdi",1997,95.08392
"bdi",1998,113.59372
"bdi",1999,157.92297
"bdi",2000,385.42854
"bdi",2001,355.43401
"bdi",2002,527.46034
"bdi",2003,368.62592
"bdi",2004,378.89154
"bdi",2005,146.25498
"bdi",2006,154.5511
"bdi",2007,157.60981
"bdi",2008,121.10777
"bdi",2009,142.35019
"bdi",2010,101.45716
"bdi",2011,88.05108
"bdi",2012,74.72227
"bdi",2013,71.61851
"bdi",2014,59.90077
"bdi",2015,72.09921
"bdi",2016,146.2566
"cod",1960,35.25223
"cod",1961,41.35912
"cod",1962,80.73201
"cod",1963,9.9413
"cod",1964,23.81484
"cod",1965,20.83347
"cod",1966,24.67044
"cod",1967,23.06077
"cod",1968,17.43239
"cod",1969,12.97443
"cod",1970,12.27707
"cod",1971,10.42434
"cod",1972,10.57067
"cod",1973,10.55685
"cod",1974,10.97777
"cod",1975,14.14632
"cod",1976,13.83165
"cod",1977,9.82991
"cod",1978,17.21028
"cod",1979,21.63685
"cod",1980,30.08775
"cod",1981,29.78506
"cod",1982,30.5065
"cod",1983,30.23349
"cod",1984,36.42691
"cod",1985,33.94631
"cod",1986,39.45354
"cod",1987,62.08663
"cod",1988,43.15224
"cod",1989,56.5813
"cod",1990,105.86568
"cod",1992,48.14032
"cod",1993,95.13055
"cod",1994,53.24136
"cod",1995,36.8152
"cod",1996,10.33684
"cod",1997,103.68355
"cod",1998,97.31289
"cod",1999,93.72079
