"geo","time","aid_received_total_us_inflation_adjusted"
"bdi",1960,68250000
"bdi",1961,64680000
"bdi",1962,93280000
"bdi",1963,51090000
"bdi",1964,65310000
"bdi",1965,37840000
"bdi",1966,65130000
"bdi",1967,74910000
"bdi",1968,90160000
"bdi",1969,100570000
"bdi",1970,112380000
"bdi",1971,126800000
"bdi",1972,135440000
"bdi",1973,122010000
"bdi",1974,149650000
"bdi",1975,160940000
"bdi",1976,148840000
"bdi",1977,141170000
"bdi",1978,188960000
"bdi",1979,213390000
"bdi",1980,241550000
"bdi",1981,281420000
"bdi",1982,298600000
"bdi",1983,334130000
"bdi",1984,343920000
"bdi",1985,349320000
"bdi",1986,379460000
"bdi",1987,322280000
"bdi",1988,311200000
"bdi",1989,325950000
"bdi",1990,364690000
"bdi",1991,345620000
"bdi",1992,392790000
"bdi",1993,285070000
"bdi",1994,391210000
"bdi",1995,329800000
"bdi",1996,133260000
"bdi",1997,75400000
"bdi",1998,93800000
"bdi",1999,1.04e+08
"bdi",2000,135130000
"bdi",2001,212500000
"bdi",2002,241010000
"bdi",2003,276420000
"bdi",2004,391900000
"bdi",2005,390420000
"bdi",2006,444480000
"bdi",2007,470130000
"bdi",2008,458450000
"bdi",2009,526290000
"bdi",2010,575330000
"bdi",2011,498580000
"bdi",2012,469630000
"bdi",2013,493460000
"bdi",2014,455330000
"bdi",2015,366540000
"bdi",2016,737180000
"cod",1960,729840000
"cod",1961,765040000
"cod",1962,888850000
"cod",1963,859580000
"cod",1964,937280000
"cod",1965,1020130000
"cod",1966,642150000
"cod",1967,627700000
"cod",1968,507010000
"cod",1969,546560000
"cod",1970,557560000
"cod",1971,621880000
"cod",1972,621550000
"cod",1973,601050000
"cod",1974,690540000
"cod",1975,853720000
"cod",1976,625860000
"cod",1977,765310000
"cod",1978,790410000
"cod",1979,924590000
"cod",1980,871400000
"cod",1981,886330000
"cod",1982,825880000
"cod",1983,781570000
"cod",1984,788790000
"cod",1985,770870000
"cod",1986,845330000
"cod",1987,1123780000
"cod",1988,877290000
"cod",1989,1131430000
"cod",1990,1212580000
"cod",1991,639220000
"cod",1992,347930000
"cod",1993,234270000
"cod",1994,305550000
"cod",1995,216180000
"cod",1996,193820000
"cod",1997,205240000
"cod",1998,169270000
"cod",1999,181560000
"cod",2000,261550000
"cod",2001,366470000
"cod",2002,1600760000
"cod",2003,6493150000
"cod",2004,2060690000
"cod",2005,1923400000
"cod",2006,2344020000
"cod",2007,1265950000
"cod",2008,1595410000
"cod",2009,2233820000
"cod",2010,3204290000
"cod",2011,4971190000
"cod",2012,2594180000
"cod",2013,2338630000
"cod",2014,2175400000
"cod",2015,2599040000
"cod",2016,2124890000
"ken",1960,219740000
"ken",1961,622280000
"ken",1962,463630000
"ken",1963,526140000
"ken",1964,520560000
"ken",1965,595840000
"ken",1966,420380000
"ken",1967,284640000
"ken",1968,457710000
"ken",1969,410810000
"ken",1970,391160000
"ken",1971,413420000
"ken",1972,402090000
"ken",1973,448130000
"ken",1974,489630000
"ken",1975,435350000
"ken",1976,540240000
"ken",1977,500960000
"ken",1978,678580000
"ken",1979,819130000
"ken",1980,847310000
"ken",1981,1032520000
"ken",1982,1137420000
"ken",1983,925100000
"ken",1984,1013500000
"ken",1985,1039640000
"ken",1986,883360000
"ken",1987,931400000
"ken",1988,1262050000
"ken",1989,1624650000
"ken",1990,1627620000
"ken",1991,1172960000
"ken",1992,1093860000
"ken",1993,1152260000
"ken",1994,815420000
"ken",1995,764840000
"ken",1996,674800000
"ken",1997,554160000
"ken",1998,525410000
"ken",1999,384110000
"ken",2000,669100000
"ken",2001,661640000
"ken",2002,522700000
"ken",2003,632480000
"ken",2004,708110000
"ken",2005,801790000
"ken",2006,982630000
"ken",2007,1289100000
"ken",2008,1296230000
"ken",2009,1755200000
"ken",2010,1593590000
"ken",2011,2282730000
"ken",2012,2483970000
"ken",2013,3049920000
"ken",2014,2451390000
"ken",2015,2464180000
"ken",2016,2195930000
"rwa",1960,68250000
"rwa",1961,64610000
"rwa",1962,93210000
"rwa",1963,58540000
"rwa",1964,61160000
"rwa",1965,63800000
"rwa",1966,90270000
"rwa",1967,99070000
"rwa",1968,115320000
"rwa",1969,122930000
"rwa",1970,140580000
"rwa",1971,151360000
"rwa",1972,159470000
"rwa",1973,176130000
"rwa",1974,184560000
"rwa",1975,306800000
"rwa",1976,258120000
"rwa",1977,283350000
"rwa",1978,323710000
"rwa",1979,335180000
"rwa",1980,325790000
"rwa",1981,361210000
"rwa",1982,369860000
"rwa",1983,361730000
"rwa",1984,412690000
"rwa",1985,448230000
"rwa",1986,405640000
"rwa",1987,401490000
"rwa",1988,392050000
"rwa",1989,360490000
"rwa",1990,403340000
"rwa",1991,498960000
"rwa",1992,445100000
"rwa",1993,472030000
"rwa",1994,970820000
"rwa",1995,842570000
"rwa",1996,574650000
"rwa",1997,311680000
"rwa",1998,463730000
"rwa",1999,491060000
"rwa",2000,4.56e+08
"rwa",2001,441070000
"rwa",2002,494710000
"rwa",2003,406060000
"rwa",2004,536030000
"rwa",2005,606860000
"rwa",2006,622770000
"rwa",2007,740360000
"rwa",2008,854440000
"rwa",2009,885120000
"rwa",2010,981810000
"rwa",2011,1144710000
"rwa",2012,810080000
"rwa",2013,995940000
"rwa",2014,936500000
"rwa",2015,1085330000
"rwa",2016,1156750000
"ssd",2011,381600000
"ssd",2012,1097390000
"ssd",2013,1283050000
"ssd",2014,1818240000
"ssd",2015,1674830000
"ssd",2016,1606980000
"tza",1960,107410000
"tza",1961,379900000
"tza",1962,430260000
"tza",1963,284590000
"tza",1964,391430000
"tza",1965,301630000
"tza",1966,255080000
"tza",1967,281210000
"tza",1968,277050000
"tza",1969,238110000
"tza",1970,314020000
"tza",1971,351120000
"tza",1972,304070000
"tza",1973,416750000
"tza",1974,608680000
"tza",1975,984260000
"tza",1976,853320000
"tza",1977,1013010000
"tza",1978,1108260000
"tza",1979,1355090000
"tza",1980,1438790000
"tza",1981,1589950000
"tza",1982,1604480000
"tza",1983,1443060000
"tza",1984,1412430000
"tza",1985,1229920000
"tza",1986,1347170000
"tza",1987,1542660000
"tza",1988,1569710000
"tza",1989,1445640000
"tza",1990,1619340000
"tza",1991,1449970000
"tza",1992,1723440000
"tza",1993,1282340000
"tza",1994,1236570000
"tza",1995,988790000
"tza",1996,1024770000
"tza",1997,1223030000
"tza",1998,1300330000
"tza",1999,1305790000
"tza",2000,1390030000
"tza",2001,1731350000
"tza",2002,1746260000
"tza",2003,2046060000
"tza",2004,1911190000
"tza",2005,1574360000
"tza",2006,1934100000
"tza",2007,2652610000
"tza",2008,2110840000
"tza",2009,2967940000
"tza",2010,2807630000
"tza",2011,2192260000
"tza",2012,2593260000
"tza",2013,3142490000
"tza",2014,2419210000
"tza",2015,2582240000
"tza",2016,2330950000
"uga",1960,215970000
"uga",1961,216300000
"uga",1962,271040000
"uga",1963,184390000
"uga",1964,197180000
"uga",1965,162310000
"uga",1966,186050000
"uga",1967,166260000
"uga",1968,169130000
"uga",1969,193830000
"uga",1970,216840000
"uga",1971,188430000
"uga",1972,219200000
"uga",1973,97310000
"uga",1974,64870000
"uga",1975,178580000
"uga",1976,70590000
"uga",1977,54590000
"uga",1978,107070000
"uga",1979,115940000
"uga",1980,251100000
"uga",1981,310430000
"uga",1982,309410000
"uga",1983,326890000
"uga",1984,401330000
"uga",1985,438150000
"uga",1986,382860000
"uga",1987,507290000
"uga",1988,625330000
"uga",1989,820360000
"uga",1990,932130000
"uga",1991,897410000
"uga",1992,931970000
"uga",1993,823220000
"uga",1994,967780000
"uga",1995,982260000
"uga",1996,814920000
"uga",1997,1057360000
"uga",1998,870620000
"uga",1999,799870000
"uga",2000,1204070000
"uga",2001,1188100000
"uga",2002,1004320000
"uga",2003,1202820000
"uga",2004,1342830000
"uga",2005,1282980000
"uga",2006,1637200000
"uga",2007,1662660000
"uga",2008,1500120000
"uga",2009,1712370000
"uga",2010,1618750000
"uga",2011,1432390000
"uga",2012,1523530000
"uga",2013,1563740000
"uga",2014,1496510000
"uga",2015,1628200000
"uga",2016,1766140000
