"geo","time","all_forms_of_tb_deaths_per_100000_estimated"
"bdi",1990,43
"bdi",1991,49
"bdi",1992,56
"bdi",1993,61
"bdi",1994,65
"bdi",1995,68
"bdi",1996,71
"bdi",1997,71
"bdi",1998,86
"bdi",1999,81
"bdi",2000,87
"bdi",2001,98
"bdi",2002,106
"bdi",2003,110
"bdi",2004,110
"bdi",2005,109
"bdi",2006,107
"bdi",2007,102
"cod",1990,35
"cod",1991,39
"cod",1992,41
"cod",1993,44
"cod",1994,47
"cod",1995,51
"cod",1996,53
"cod",1997,58
"cod",1998,59
"cod",1999,65
"cod",2000,73
"cod",2001,79
"cod",2002,86
"cod",2003,87
"cod",2004,87
"cod",2005,86
"cod",2006,85
"cod",2007,82
"ken",1990,25
"ken",1991,27
"ken",1992,33
"ken",1993,41
"ken",1994,49
"ken",1995,61
"ken",1996,69
"ken",1997,83
"ken",1998,93
"ken",1999,102
"ken",2000,113
"ken",2001,105
"ken",2002,103
"ken",2003,100
"ken",2004,98
"ken",2005,90
"ken",2006,73
"ken",2007,65
"rwa",1990,67
"rwa",1991,73
"rwa",1992,76
"rwa",1993,79
"rwa",1994,82
"rwa",1995,85
"rwa",1996,89
"rwa",1997,92
"rwa",1998,96
"rwa",1999,105
"rwa",2000,118
"rwa",2001,130
"rwa",2002,138
"rwa",2003,141
"rwa",2004,142
"rwa",2005,138
"rwa",2006,131
"rwa",2007,128
"tza",1990,42
"tza",1991,48
"tza",1992,53
"tza",1993,58
"tza",1994,64
"tza",1995,69
"tza",1996,74
"tza",1997,80
"tza",1998,82
"tza",1999,86
"tza",2000,89
"tza",2001,88
"tza",2002,92
"tza",2003,91
"tza",2004,88
"tza",2005,86
"tza",2006,82
"tza",2007,78
"uga",1990,69
"uga",1991,106
"uga",1992,115
"uga",1993,125
"uga",1994,129
"uga",1995,133
"uga",1996,130
"uga",1997,99
"uga",1998,100
"uga",1999,98
"uga",2000,103
"uga",2001,104
"uga",2002,110
"uga",2003,114
"uga",2004,110
"uga",2005,107
"uga",2006,100
"uga",2007,93
