"geo","time","all_forms_of_tb_detection_rate_percent"
"bdi",1995,23
"bdi",1996,24
"bdi",1997,32
"bdi",1998,36
"bdi",1999,32
"bdi",2001,27
"bdi",2002,24
"bdi",2003,24
"bdi",2004,24
"bdi",2005,21
"bdi",2006,19
"bdi",2007,20
"cod",1995,34
"cod",1996,36
"cod",1997,33
"cod",1998,40
"cod",1999,37
"cod",2000,33
"cod",2001,33
"cod",2002,32
"cod",2003,36
"cod",2004,38
"cod",2005,39
"cod",2006,38
"cod",2007,39
"ken",1995,44
"ken",1996,46
"ken",1997,44
"ken",1998,47
"ken",1999,48
"ken",2000,49
"ken",2001,54
"ken",2002,56
"ken",2003,60
"ken",2004,64
"ken",2005,69
"ken",2006,77
"ken",2007,80
"rwa",1995,21
"rwa",1996,22
"rwa",1997,26
"rwa",1998,29
"rwa",1999,26
"rwa",2000,20
"rwa",2001,16
"rwa",2002,16
"rwa",2003,17
"rwa",2004,16
"rwa",2005,18
"rwa",2006,20
"rwa",2007,19
"tza",1995,47
"tza",1996,48
"tza",1997,46
"tza",1998,49
"tza",1999,47
"tza",2000,46
"tza",2001,48
"tza",2002,47
"tza",2003,47
"tza",2004,48
"tza",2005,47
"tza",2006,47
"tza",2007,48
"uga",1995,32
"uga",1996,38
"uga",1997,37
"uga",1998,37
"uga",1999,44
"uga",2000,34
"uga",2001,38
"uga",2002,38
"uga",2003,37
"uga",2004,39
"uga",2005,37
"uga",2006,38
"uga",2007,39
