"geo","time","all_forms_of_tb_existing_cases_per_100000_estimated"
"bdi",1990,288
"bdi",1991,302
"bdi",1992,292
"bdi",1993,293
"bdi",1994,305
"bdi",1995,322
"bdi",1996,339
"bdi",1997,346
"bdi",1998,424
"bdi",1999,412
"bdi",2000,455
"bdi",2001,522
"bdi",2002,581
"bdi",2003,619
"bdi",2004,639
"bdi",2005,654
"bdi",2006,657
"bdi",2007,647
"cod",1990,275
"cod",1991,306
"cod",1992,327
"cod",1993,352
"cod",1994,376
"cod",1995,411
"cod",1996,420
"cod",1997,466
"cod",1998,472
"cod",1999,528
"cod",2000,592
"cod",2001,643
"cod",2002,697
"cod",2003,708
"cod",2004,710
"cod",2005,702
"cod",2006,692
"cod",2007,666
"ken",1990,125
"ken",1991,120
"ken",1992,134
"ken",1993,152
"ken",1994,177
"ken",1995,207
"ken",1996,233
"ken",1997,277
"ken",1998,313
"ken",1999,351
"ken",2000,393
"ken",2001,384
"ken",2002,392
"ken",2003,402
"ken",2004,410
"ken",2005,388
"ken",2006,340
"ken",2007,319
"rwa",1990,190
"rwa",1991,211
"rwa",1992,226
"rwa",1993,243
"rwa",1994,259
"rwa",1995,278
"rwa",1996,297
"rwa",1997,316
"rwa",1998,339
"rwa",1999,383
"rwa",2000,442
"rwa",2001,503
"rwa",2002,549
"rwa",2003,581
"rwa",2004,607
"rwa",2005,607
"rwa",2006,595
"rwa",2007,590
"tza",1990,215
"tza",1991,228
"tza",1992,240
"tza",1993,252
"tza",1994,269
"tza",1995,283
"tza",1996,301
"tza",1997,324
"tza",1998,333
"tza",1999,347
"tza",2000,364
"tza",2001,367
"tza",2002,383
"tza",2003,380
"tza",2004,373
"tza",2005,364
"tza",2006,353
"tza",2007,337
"uga",1990,206
"uga",1991,313
"uga",1992,342
"uga",1993,377
"uga",1994,394
"uga",1995,418
"uga",1996,419
"uga",1997,342
"uga",1998,357
"uga",1999,359
"uga",2000,391
"uga",2001,411
"uga",2002,447
"uga",2003,476
"uga",2004,472
"uga",2005,469
"uga",2006,450
"uga",2007,426
