"geo","time","all_forms_of_tb_new_cases_per_100000_estimated"
"bdi",1990,154
"bdi",1991,171
"bdi",1992,182
"bdi",1993,196
"bdi",1994,208
"bdi",1995,223
"bdi",1996,235
"bdi",1997,252
"bdi",1998,272
"bdi",1999,295
"bdi",2000,321
"bdi",2001,347
"bdi",2002,371
"bdi",2003,387
"bdi",2004,391
"bdi",2005,387
"bdi",2006,377
"bdi",2007,367
"cod",1990,165
"cod",1991,182
"cod",1992,195
"cod",1993,209
"cod",1994,222
"cod",1995,238
"cod",1996,251
"cod",1997,269
"cod",1998,290
"cod",1999,315
"cod",2000,343
"cod",2001,371
"cod",2002,396
"cod",2003,413
"cod",2004,417
"cod",2005,413
"cod",2006,402
"cod",2007,392
"ken",1990,112
"ken",1991,114
"ken",1992,135
"ken",1993,160
"ken",1994,192
"ken",1995,224
"ken",1996,258
"ken",1997,302
"ken",1998,344
"ken",1999,382
"ken",2000,405
"ken",2001,408
"ken",2002,419
"ken",2003,436
"ken",2004,441
"ken",2005,406
"ken",2006,371
"ken",2007,353
"rwa",1990,167
"rwa",1991,185
"rwa",1992,197
"rwa",1993,212
"rwa",1994,225
"rwa",1995,241
"rwa",1996,254
"rwa",1997,273
"rwa",1998,294
"rwa",1999,319
"rwa",2000,348
"rwa",2001,376
"rwa",2002,402
"rwa",2003,419
"rwa",2004,423
"rwa",2005,418
"rwa",2006,408
"rwa",2007,397
"tza",1990,178
"tza",1991,196
"tza",1992,213
"tza",1993,229
"tza",1994,249
"tza",1995,271
"tza",1996,290
"tza",1997,308
"tza",1998,317
"tza",1999,327
"tza",2000,339
"tza",2001,346
"tza",2002,352
"tza",2003,344
"tza",2004,337
"tza",2005,325
"tza",2006,311
"tza",2007,297
"uga",1990,163
"uga",1991,250
"uga",1992,272
"uga",1993,296
"uga",1994,306
"uga",1995,319
"uga",1996,314
"uga",1997,320
"uga",1998,326
"uga",1999,324
"uga",2000,340
"uga",2001,360
"uga",2002,386
"uga",2003,396
"uga",2004,385
"uga",2005,370
"uga",2006,350
"uga",2007,330
