"geo","time","all_forms_of_tb_new_cases_per_100000_reported"
"bdi",1980,19
"bdi",1981,15
"bdi",1982,22
"bdi",1983,23
"bdi",1984,40
"bdi",1985,47
"bdi",1986,51
"bdi",1987,53
"bdi",1988,70
"bdi",1989,83
"bdi",1990,80
"bdi",1991,84
"bdi",1992,75
"bdi",1993,77
"bdi",1994,62
"bdi",1995,53
"bdi",1996,60
"bdi",1997,84
"bdi",1998,102
"bdi",1999,97
"bdi",2001,95
"bdi",2002,90
"bdi",2003,94
"bdi",2004,95
"bdi",2005,84
"bdi",2006,75
"bdi",2007,74
"cod",1980,18
"cod",1981,11
"cod",1982,33
"cod",1983,43
"cod",1984,65
"cod",1985,81
"cod",1986,83
"cod",1987,79
"cod",1988,86
"cod",1989,86
"cod",1990,56
"cod",1991,86
"cod",1992,92
"cod",1993,86
"cod",1994,87
"cod",1995,94
"cod",1996,99
"cod",1997,94
"cod",1998,121
"cod",1999,120
"cod",2000,120
"cod",2001,128
"cod",2002,132
"cod",2003,153
"cod",2004,164
"cod",2005,165
"cod",2006,158
"cod",2007,159
"ken",1980,68
"ken",1981,59
"ken",1983,66
"ken",1985,53
"ken",1986,49
"ken",1987,50
"ken",1988,50
"ken",1989,56
"ken",1990,50
"ken",1991,51
"ken",1992,58
"ken",1993,79
"ken",1994,86
"ken",1995,103
"ken",1996,124
"ken",1997,137
"ken",1998,165
"ken",1999,188
"ken",2000,205
"ken",2001,228
"ken",2002,244
"ken",2003,271
"ken",2004,290
"ken",2005,288
"ken",2006,296
"ken",2007,284
"rwa",1980,29
"rwa",1981,26
"rwa",1983,24
"rwa",1984,24
"rwa",1985,22
"rwa",1986,39
"rwa",1987,49
"rwa",1988,60
"rwa",1989,67
"rwa",1990,88
"rwa",1991,45
"rwa",1995,54
"rwa",1996,60
"rwa",1997,74
"rwa",1998,87
"rwa",1999,85
"rwa",2000,75
"rwa",2001,64
"rwa",2002,69
"rwa",2003,76
"rwa",2004,72
"rwa",2005,78
"rwa",2006,86
"rwa",2007,79
"tza",1980,61
"tza",1981,62
"tza",1982,58
"tza",1983,56
"tza",1984,56
"tza",1985,62
"tza",1986,67
"tza",1987,71
"tza",1988,74
"tza",1989,76
"tza",1990,87
"tza",1991,96
"tza",1992,105
"tza",1993,112
"tza",1994,120
"tza",1995,133
"tza",1996,145
"tza",1997,147
"tza",1998,159
"tza",1999,159
"tza",2000,161
"tza",2001,177
"tza",2002,169
"tza",2003,168
"tza",2004,167
"tza",2005,159
"tza",2006,150
"tza",2007,147
"uga",1980,8
"uga",1981,9
"uga",1982,4
"uga",1983,15
"uga",1986,9
"uga",1987,9
"uga",1988,19
"uga",1989,6
"uga",1990,83
"uga",1991,103
"uga",1992,108
"uga",1993,109
"uga",1994,131
"uga",1995,119
"uga",1996,124
"uga",1997,126
"uga",1998,126
"uga",1999,132
"uga",2000,123
"uga",2001,145
"uga",2002,155
"uga",2003,154
"uga",2004,156
"uga",2005,142
"uga",2006,136
"uga",2007,132
