"geo","time","all_forms_of_tb_number_of_deaths_estimated"
"bdi",1990,2441
"bdi",1991,2860
"bdi",1992,3318
"bdi",1993,3717
"bdi",1994,3991
"bdi",1995,4240
"bdi",1996,4461
"bdi",1997,4506
"bdi",1998,5558
"bdi",1999,5296
"bdi",2000,5823
"bdi",2001,6695
"bdi",2002,7471
"bdi",2003,7989
"bdi",2004,8311
"bdi",2005,8589
"bdi",2006,8709
"bdi",2007,8685
"cod",1990,13310
"cod",1991,15290
"cod",1992,16950
"cod",1993,18830
"cod",1994,20760
"cod",1995,23320
"cod",1996,24420
"cod",1997,27540
"cod",1998,28440
"cod",1999,32350
"cod",2000,37030
"cod",2001,41100
"cod",2002,45860
"cod",2003,48030
"cod",2004,49410
"cod",2005,50410
"cod",2006,51360
"cod",2007,51100
"ken",1990,5957
"ken",1991,6568
"ken",1992,8314
"ken",1993,10460
"ken",1994,13160
"ken",1995,16570
"ken",1996,19390
"ken",1997,23870
"ken",1998,27500
"ken",1999,31050
"ken",2000,35460
"ken",2001,33620
"ken",2002,33790
"ken",2003,33750
"ken",2004,33900
"ken",2005,32100
"ken",2006,26870
"ken",2007,24440
"rwa",1990,4917
"rwa",1991,5141
"rwa",1992,5015
"rwa",1993,4831
"rwa",1994,4716
"rwa",1995,4816
"rwa",1996,5203
"rwa",1997,5826
"rwa",1998,6738
"rwa",1999,8062
"rwa",2000,9629
"rwa",2001,11110
"rwa",2002,12060
"rwa",2003,12560
"rwa",2004,12900
"rwa",2005,12710
"rwa",2006,12370
"rwa",2007,12400
"tza",1990,10820
"tza",1991,12670
"tza",1992,14520
"tza",1993,16420
"tza",1994,18590
"tza",1995,20490
"tza",1996,22640
"tza",1997,25250
"tza",1998,26450
"tza",1999,28270
"tza",2000,30220
"tza",2001,30570
"tza",2002,32810
"tza",2003,33150
"tza",2004,33030
"tza",2005,32930
"tza",2006,32490
"tza",2007,31500
"uga",1990,12330
"uga",1991,19650
"uga",1992,22140
"uga",1993,24880
"uga",1994,26430
"uga",1995,28280
"uga",1996,28490
"uga",1997,22300
"uga",1998,23340
"uga",1999,23380
"uga",2000,25510
"uga",2001,26420
"uga",2002,28810
"uga",2003,30980
"uga",2004,30890
"uga",2005,30980
"uga",2006,29950
"uga",2007,28690
