"geo","time","all_forms_of_tb_number_of_existing_cases_estimated"
"bdi",1990,16410
"bdi",1991,17600
"bdi",1992,17390
"bdi",1993,17740
"bdi",1994,18760
"bdi",1995,20120
"bdi",1996,21380
"bdi",1997,22060
"bdi",1998,27360
"bdi",1999,26920
"bdi",2000,30320
"bdi",2001,35710
"bdi",2002,40970
"bdi",2003,45120
"bdi",2004,48350
"bdi",2005,51420
"bdi",2006,53660
"bdi",2007,55040
"cod",1990,104500
"cod",1991,120400
"cod",1992,133900
"cod",1993,149400
"cod",1994,165200
"cod",1995,186400
"cod",1996,195400
"cod",1997,221700
"cod",1998,228900
"cod",1999,261400
"cod",2000,299900
"cod",2001,334400
"cod",2002,373200
"cod",2003,390800
"cod",2004,403900
"cod",2005,412200
"cod",2006,419500
"cod",2007,417100
"ken",1990,29420
"ken",1991,29020
"ken",1992,33480
"ken",1993,39250
"ken",1994,46990
"ken",1995,56630
"ken",1996,65700
"ken",1997,80020
"ken",1998,93030
"ken",1999,107000
"ken",2000,122900
"ken",2001,123300
"ken",2002,129200
"ken",2003,135900
"ken",2004,142000
"ken",2005,138200
"ken",2006,124300
"ken",2007,119800
"rwa",1990,13860
"rwa",1991,14840
"rwa",1992,14900
"rwa",1993,14840
"rwa",1994,14900
"rwa",1995,15710
"rwa",1996,17420
"rwa",1997,20090
"rwa",1998,23750
"rwa",1999,29330
"rwa",2000,36120
"rwa",2001,42910
"rwa",2002,48080
"rwa",2003,51800
"rwa",2004,54960
"rwa",2005,56060
"rwa",2006,56310
"rwa",2007,57390
"tza",1990,54770
"tza",1991,60030
"tza",1992,65320
"tza",1993,71020
"tza",1994,78180
"tza",1995,84570
"tza",1996,92530
"tza",1997,102100
"tza",1998,107300
"tza",1999,114500
"tza",2000,123100
"tza",2001,127200
"tza",2002,136500
"tza",2003,138900
"tza",2004,139800
"tza",2005,140200
"tza",2006,139200
"tza",2007,136300
"uga",1990,36790
"uga",1991,58000
"uga",1992,65670
"uga",1993,74820
"uga",1994,81050
"uga",1995,88760
"uga",1996,91790
"uga",1997,77300
"uga",1998,83030
"uga",1999,86090
"uga",2000,96620
"uga",2001,104600
"uga",2002,117500
"uga",2003,129200
"uga",2004,132400
"uga",2005,135800
"uga",2006,134600
"uga",2007,131600
