"geo","time","all_forms_of_tb_number_of_new_cases_estimated"
"bdi",1990,8776
"bdi",1991,9954
"bdi",1992,10860
"bdi",1993,11850
"bdi",1994,12830
"bdi",1995,13900
"bdi",1996,14840
"bdi",1997,16090
"bdi",1998,17540
"bdi",1999,19280
"bdi",2000,21430
"bdi",2001,23760
"bdi",2002,26170
"bdi",2003,28240
"bdi",2004,29600
"bdi",2005,30380
"bdi",2006,30790
"bdi",2007,31220
"cod",1990,62430
"cod",1991,71790
"cod",1992,79670
"cod",1993,88660
"cod",1994,97840
"cod",1995,107700
"cod",1996,116600
"cod",1997,128000
"cod",1998,140800
"cod",1999,155800
"cod",2000,173800
"cod",2001,193000
"cod",2002,212100
"cod",2003,228000
"cod",2004,237600
"cod",2005,242300
"cod",2006,243900
"cod",2007,245300
"ken",1990,26260
"ken",1991,27620
"ken",1992,33700
"ken",1993,41290
"ken",1994,51000
"ken",1995,61310
"ken",1996,72750
"ken",1997,87460
"ken",1998,102200
"ken",1999,116300
"ken",2000,126500
"ken",2001,130800
"ken",2002,137800
"ken",2003,147300
"ken",2004,152900
"ken",2005,144600
"ken",2006,135400
"ken",2007,132400
"rwa",1990,12160
"rwa",1991,13030
"rwa",1992,13040
"rwa",1993,12920
"rwa",1994,12940
"rwa",1995,13590
"rwa",1996,14920
"rwa",1997,17370
"rwa",1998,20650
"rwa",1999,24440
"rwa",2000,28420
"rwa",2001,32060
"rwa",2002,35190
"rwa",2003,37330
"rwa",2004,38300
"rwa",2005,38610
"rwa",2006,38570
"rwa",2007,38610
"tza",1990,45410
"tza",1991,51690
"tza",1992,57990
"tza",1993,64560
"tza",1994,72320
"tza",1995,81160
"tza",1996,89160
"tza",1997,96910
"tza",1998,102400
"tza",1999,107900
"tza",2000,114800
"tza",2001,120300
"tza",2002,125200
"tza",2003,125800
"tza",2004,126400
"tza",2005,124900
"tza",2006,122700
"tza",2007,120300
"uga",1990,29080
"uga",1991,46180
"uga",1992,52110
"uga",1993,58810
"uga",1994,62850
"uga",1995,67740
"uga",1996,68810
"uga",1997,72160
"uga",1998,75860
"uga",1999,77620
"uga",2000,83980
"uga",2001,91600
"uga",2002,101500
"uga",2003,107400
"uga",2004,107800
"uga",2005,107000
"uga",2006,104500
"uga",2007,101800
