"geo","time","all_forms_of_tb_number_of_new_cases_reported"
"bdi",1980,789
"bdi",1981,643
"bdi",1982,951
"bdi",1983,1053
"bdi",1984,1904
"bdi",1985,2317
"bdi",1986,2569
"bdi",1987,2739
"bdi",1988,3745
"bdi",1989,4608
"bdi",1990,4575
"bdi",1991,4883
"bdi",1992,4464
"bdi",1993,4677
"bdi",1994,3840
"bdi",1995,3326
"bdi",1996,3796
"bdi",1997,5335
"bdi",1998,6546
"bdi",1999,6365
"bdi",2001,6478
"bdi",2002,6371
"bdi",2003,6871
"bdi",2004,7164
"bdi",2005,6585
"bdi",2006,6114
"bdi",2007,6284
"cod",1980,5122
"cod",1981,3051
"cod",1982,9905
"cod",1983,13020
"cod",1984,20420
"cod",1985,26080
"cod",1986,27660
"cod",1987,27100
"cod",1988,30270
"cod",1989,31320
"cod",1990,21130
"cod",1991,33780
"cod",1992,37660
"cod",1993,36650
"cod",1994,38480
"cod",1995,42820
"cod",1996,46000
"cod",1997,44780
"cod",1998,58920
"cod",1999,59530
"cod",2000,60630
"cod",2001,66750
"cod",2002,70620
"cod",2003,84690
"cod",2004,93340
"cod",2005,97080
"cod",2006,95670
"cod",2007,99810
"ken",1980,11050
"ken",1981,10030
"ken",1983,11970
"ken",1985,10460
"ken",1986,10020
"ken",1987,10520
"ken",1988,10960
"ken",1989,12590
"ken",1990,11790
"ken",1991,12320
"ken",1992,14600
"ken",1993,20450
"ken",1994,22930
"ken",1995,28140
"ken",1996,34980
"ken",1997,39740
"ken",1998,48940
"ken",1999,57270
"ken",2000,64160
"ken",2001,73020
"ken",2002,80180
"ken",2003,91520
"ken",2004,100600
"ken",2005,102700
"ken",2006,108300
"ken",2007,106400
"rwa",1980,1495
"rwa",1981,1386
"rwa",1983,1364
"rwa",1984,1419
"rwa",1985,1327
"rwa",1986,2460
"rwa",1987,3287
"rwa",1988,4145
"rwa",1989,4741
"rwa",1990,6387
"rwa",1991,3200
"rwa",1995,3054
"rwa",1996,3535
"rwa",1997,4710
"rwa",1998,6112
"rwa",1999,6483
"rwa",2000,6093
"rwa",2001,5473
"rwa",2002,6011
"rwa",2003,6812
"rwa",2004,6487
"rwa",2005,7220
"rwa",2006,8117
"rwa",2007,7638
"tza",1980,11480
"tza",1981,12120
"tza",1982,11750
"tza",1983,11750
"tza",1984,12090
"tza",1985,13700
"tza",1986,15450
"tza",1987,16920
"tza",1988,18210
"tza",1989,19260
"tza",1990,22250
"tza",1991,25210
"tza",1992,28460
"tza",1993,31460
"tza",1994,34800
"tza",1995,39850
"tza",1996,44420
"tza",1997,46430
"tza",1998,51230
"tza",1999,52440
"tza",2000,54440
"tza",2001,61600
"tza",2002,60310
"tza",2003,61580
"tza",2004,62510
"tza",2005,61020
"tza",2006,59280
"tza",2007,59370
"uga",1980,1058
"uga",1981,1170
"uga",1982,497
"uga",1983,2029
"uga",1986,1392
"uga",1987,1464
"uga",1988,3066
"uga",1989,1045
"uga",1990,14740
"uga",1991,19020
"uga",1992,20660
"uga",1993,21580
"uga",1994,26990
"uga",1995,25320
"uga",1996,27200
"uga",1997,28350
"uga",1998,29230
"uga",1999,31600
"uga",2000,30370
"uga",2001,36830
"uga",2002,40700
"uga",2003,41800
"uga",2004,43720
"uga",2005,41040
"uga",2006,40780
"uga",2007,40910
