"geo","time","alternative_gdp_per_capita_ppp_pwt_7_1"
"bdi",1960,347.7
"bdi",1961,291.4
"bdi",1962,312
"bdi",1963,333.2
"bdi",1964,327.4
"bdi",1965,344
"bdi",1966,343.9
"bdi",1967,379.1
"bdi",1968,375.2
"bdi",1969,357.2
"bdi",1970,441.1
"bdi",1971,437.6
"bdi",1972,437.6
"bdi",1973,460.2
"bdi",1974,438.7
"bdi",1975,454.3
"bdi",1976,487.1
"bdi",1977,529.1
"bdi",1978,534.3
"bdi",1979,514.1
"bdi",1980,495.1
"bdi",1981,508.9
"bdi",1982,518.1
"bdi",1983,524
"bdi",1984,505.3
"bdi",1985,546.7
"bdi",1986,546.7
"bdi",1987,562.5
"bdi",1988,567.7
"bdi",1989,571.3
"bdi",1990,590.8
"bdi",1991,604.3
"bdi",1992,600.4
"bdi",1993,581.8
"bdi",1994,535.8
"bdi",1995,459.9
"bdi",1996,421.7
"bdi",1997,403
"bdi",1998,418
"bdi",1999,399.3
"bdi",2000,389.4
"bdi",2001,384.2
"bdi",2002,396.2
"bdi",2003,377.9
"bdi",2004,378.7
"bdi",2005,372.6
"bdi",2006,375.6
"bdi",2007,393.6
"bdi",2008,398.4
"bdi",2009,396.1
"bdi",2010,395.9
"cod",1950,520.8
"cod",1951,619.2
"cod",1952,679.8
"cod",1953,746.3
"cod",1954,756.7
"cod",1955,791.4
"cod",1956,810.5
"cod",1957,793.3
"cod",1958,733.6
"cod",1959,695.3
"cod",1960,691.3
"cod",1961,607.8
"cod",1962,681.5
"cod",1963,765.9
"cod",1964,743.2
"cod",1965,731.8
"cod",1966,752.6
"cod",1967,709.1
"cod",1968,696.2
"cod",1969,769.5
"cod",1970,738.2
"cod",1971,825.9
"cod",1972,795.5
"cod",1973,818
"cod",1974,820.4
"cod",1975,735.2
"cod",1976,667.6
"cod",1977,739.4
"cod",1978,597.4
"cod",1979,633.8
"cod",1980,670
"cod",1981,638.8
"cod",1982,585.6
"cod",1983,606
"cod",1984,642.3
"cod",1985,641.4
"cod",1986,637
"cod",1987,636.1
"cod",1988,619
"cod",1989,609.8
"cod",1990,467.9
"cod",1991,422.1
"cod",1992,363.6
"cod",1993,302.8
"cod",1994,279.8
"cod",1995,273.7
"cod",1996,258.6
"cod",1997,242.1
"cod",1998,228.5
"cod",1999,206.1
"cod",2000,180
"cod",2001,187
"cod",2002,201.7
"cod",2003,181.8
"cod",2004,195.7
"cod",2005,207.5
"cod",2006,213.8
"cod",2007,222.4
"cod",2008,230.6
"cod",2009,231.4
"cod",2010,240.5
"ken",1950,971.3
"ken",1951,1121
"ken",1952,1022
"ken",1953,948.1
"ken",1954,1001
"ken",1955,1025
"ken",1956,1040
"ken",1957,1059
"ken",1958,1034
"ken",1959,968.4
"ken",1960,1019
"ken",1961,964.6
"ken",1962,1015
"ken",1963,1020
"ken",1964,1050
"ken",1965,1070
"ken",1966,1150
"ken",1967,1161
"ken",1968,1102
"ken",1969,1133
"ken",1970,1022
"ken",1971,1048
"ken",1972,1073
"ken",1973,1040
"ken",1974,1099
"ken",1975,1035
"ken",1976,1005
"ken",1977,1050
"ken",1978,1125
"ken",1979,1115
"ken",1980,1136
"ken",1981,1103
"ken",1982,1085
"ken",1983,1040
"ken",1984,1043
"ken",1985,1009
"ken",1986,1080
"ken",1987,1113
"ken",1988,1150
"ken",1989,1172
"ken",1990,1180
"ken",1991,1160
"ken",1992,1105
"ken",1993,1084
"ken",1994,1101
"ken",1995,1121
"ken",1996,1136
"ken",1997,1090
"ken",1998,1112
"ken",1999,1133
"ken",2000,1112
"ken",2001,1094
"ken",2002,1104
"ken",2003,1132
"ken",2004,1126
"ken",2005,1144
"ken",2006,1161
"ken",2007,1204
"ken",2008,1169
"ken",2009,1161
"ken",2010,1246
"rwa",1960,758.4
"rwa",1961,727.5
"rwa",1962,776.4
"rwa",1963,691.8
"rwa",1964,588.7
"rwa",1965,599.5
"rwa",1966,592.4
"rwa",1967,644.4
"rwa",1968,645.6
"rwa",1969,709.3
"rwa",1970,714.6
"rwa",1971,691.4
"rwa",1972,678.5
"rwa",1973,731.2
"rwa",1974,596
"rwa",1975,691.6
"rwa",1976,763.6
"rwa",1977,792.3
"rwa",1978,725.7
"rwa",1979,747.6
"rwa",1980,724.4
"rwa",1981,913.4
"rwa",1982,759
"rwa",1983,809
"rwa",1984,670.3
"rwa",1985,681.7
"rwa",1986,690
"rwa",1987,697.8
"rwa",1988,644.6
"rwa",1989,644.8
"rwa",1990,714.9
"rwa",1991,768.1
