"geo","time","alternative_gdp_per_capita_ppp_wb"
"bdi",1990,1087.48873
"bdi",1991,1115.73855
"bdi",1992,1103.29911
"bdi",1993,1014.69065
"bdi",1994,959.17383
"bdi",1995,869.80803
"bdi",1996,789.75167
"bdi",1997,768.16839
"bdi",1998,794.99807
"bdi",1999,775.36411
"bdi",2000,754.09628
"bdi",2001,751.38891
"bdi",2002,763.1772
"bdi",2003,730.90295
"bdi",2004,741.76625
"bdi",2005,724.16001
"bdi",2006,738.09249
"bdi",2007,747.67647
"bdi",2008,759.33993
"bdi",2009,760.06172
"bdi",2010,763.83193
"bdi",2011,771.50942
"bdi",2012,778.73548
"bdi",2013,790.71452
"bdi",2014,803.17284
"bdi",2015,748.41527
"bdi",2016,721.17656
"bdi",2017,702.22531
"cod",1990,1386.83075
"cod",1991,1224.06488
"cod",1992,1053.55057
"cod",1993,876.72837
"cod",1994,812.40861
"cod",1995,792.09382
"cod",1996,762.45511
"cod",1997,702.23052
"cod",1998,675.25898
"cod",1999,631.52194
"cod",2000,573.17085
"cod",2001,545.8516
"cod",2002,545.68877
"cod",2003,558.70154
"cod",2004,577.86074
"cod",2005,594.07703
"cod",2006,605.86317
"cod",2007,623.12867
"cod",2008,640.47831
"cod",2009,637.27515
"cod",2010,660.21096
"cod",2011,682.43216
"cod",2012,706.79796
"cod",2013,741.61843
"cod",2014,785.34734
"cod",2015,812.40337
"cod",2016,805.06426
"cod",2017,808.13321
"ken",1990,2380.49538
"ken",1991,2337.1297
"ken",1992,2245.60011
"ken",1993,2184.391
"ken",1994,2174.82013
"ken",1995,2204.38989
"ken",1996,2230.44807
"ken",1997,2178.62692
"ken",1998,2188.65023
"ken",1999,2178.33049
"ken",2000,2132.1619
"ken",2001,2153.1263
"ken",2002,2106.72565
"ken",2003,2110.25322
"ken",2004,2158.26793
"ken",2005,2224.031
"ken",2006,2303.83126
"ken",2007,2394.83764
"ken",2008,2335.25241
"ken",2009,2347.19799
"ken",2010,2476.01074
"ken",2011,2556.96287
"ken",2012,2602.59769
"ken",2013,2683.04583
"ken",2014,2753.23613
"ken",2015,2835.99661
"ken",2016,2926.5325
"ken",2017,2993.02845
"rwa",1990,872.52852
"rwa",1991,872.7888
"rwa",1992,972.2903
"rwa",1993,950.45351
"rwa",1994,496.08401
"rwa",1995,679.54032
"rwa",1996,742.71248
"rwa",1997,792.78417
"rwa",1998,797.31701
"rwa",1999,773.34741
"rwa",2000,792.92358
"rwa",2001,828.83561
"rwa",2002,915.44781
"rwa",2003,920.07317
"rwa",2004,973.11634
"rwa",2005,1043.86077
"rwa",2006,1113.57136
"rwa",2007,1168.02084
"rwa",2008,1263.5111
"rwa",2009,1306.22755
"rwa",2010,1365.17424
"rwa",2011,1436.86894
"rwa",2012,1521.62645
"rwa",2013,1552.75177
"rwa",2014,1629.86887
"rwa",2015,1731.04342
"rwa",2016,1790.25475
"rwa",2017,1854.21079
"ssd",2011,3373.96139
"ssd",2012,1550.26928
"ssd",2013,1940.42851
"ssd",2014,1935.8794
"ssd",2015,1875.38007
"ssd",2016,1569.88835
"tza",1990,1472.58375
"tza",1991,1454.33064
"tza",1992,1414.30672
"tza",1993,1384.17718
"tza",1994,1361.41235
"tza",1995,1368.21162
"tza",1996,1390.9708
"tza",1997,1402.61959
"tza",1998,1418.13301
"tza",1999,1449.36707
"tza",2000,1481.5279
"tza",2001,1528.50044
"tza",2002,1593.24487
"tza",2003,1655.22116
"tza",2004,1733.51733
"tza",2005,1820.07786
"tza",2006,1847.60265
"tza",2007,1942.48862
"tza",2008,1986.91495
"tza",2009,2028.60981
"tza",2010,2090.58322
"tza",2011,2186.13158
"tza",2012,2227.82871
"tza",2013,2316.44306
"tza",2014,2402.09935
"tza",2015,2490.9571
"tza",2016,2583.58967
"tza",2017,2683.30402
"uga",1990,769.45248
"uga",1991,785.10741
"uga",1992,785.28569
"uga",1993,823.19699
"uga",1994,848.09497
"uga",1995,916.24487
"uga",1996,968.64361
"uga",1997,987.13832
"uga",1998,1004.06603
"uga",1999,1051.31204
"uga",2000,1049.77862
"uga",2001,1067.9612
"uga",2002,1122.24963
"uga",2003,1154.20071
"uga",2004,1190.57444
"uga",2005,1222.70322
"uga",2006,1308.42164
"uga",2007,1370.2746
"uga",2008,1439.11055
"uga",2009,1485.02709
"uga",2010,1515.86641
"uga",2011,1602.54481
"uga",2012,1608.4398
"uga",2013,1610.81091
"uga",2014,1637.27508
"uga",2015,1665.94991
"uga",2016,1687.08274
"uga",2017,1697.70651
