"geo","time","alternative_gdppercapita_ppp_inflation_adjusted_from_pwt"
"bdi",1960,663.6
"bdi",1961,556.9
"bdi",1962,596
"bdi",1963,637
"bdi",1964,610.6
"bdi",1965,638
"bdi",1966,630
"bdi",1967,689.9
"bdi",1968,680.7
"bdi",1969,639.8
"bdi",1970,805.9
"bdi",1971,805.7
"bdi",1972,782.2
"bdi",1973,825.7
"bdi",1974,794.3
"bdi",1975,800.8
"bdi",1976,852.5
"bdi",1977,922
"bdi",1978,914.1
"bdi",1979,911.4
"bdi",1980,894.7
"bdi",1981,933.2
"bdi",1982,905.6
"bdi",1983,881.3
"bdi",1984,857.6
"bdi",1985,924.2
"bdi",1986,936.7
"bdi",1987,939.6
"bdi",1988,1053
"bdi",1989,975.7
"bdi",1990,1066
"bdi",1991,1101
"bdi",1992,1104
"bdi",1993,922.7
"bdi",1994,848.2
"bdi",1995,850
"bdi",1996,767.7
"bdi",1997,759.2
"bdi",1998,780.1
"bdi",1999,823.6
"bdi",2000,698.8
"bdi",2001,715.3
"bdi",2002,760.5
"bdi",2003,763.7
"cod",1970,1419
"cod",1971,1493
"cod",1972,1453
"cod",1973,1537
"cod",1974,1479
"cod",1975,1372
"cod",1976,1214
"cod",1977,1168
"cod",1978,1137
"cod",1979,1166
"cod",1980,1154
"cod",1981,1099
"cod",1982,931.4
"cod",1983,988.2
"cod",1984,958.9
"cod",1985,954.8
"cod",1986,986.2
"cod",1987,958.8
"cod",1988,927.7
"cod",1989,884.3
"cod",1990,973.7
"cod",1991,892
"cod",1992,694.6
"cod",1993,560.4
"cod",1994,546.2
"cod",1995,498.1
"cod",1996,488.3
"cod",1997,479.8
"cod",1998,466.2
"cod",1999,409.2
"cod",2000,359.1
"cod",2001,348.1
"cod",2002,338.1
"cod",2003,435.5
"cod",2004,419.8
"ken",1950,1096
"ken",1951,1263
"ken",1952,1150
"ken",1953,1060
"ken",1954,1107
"ken",1955,1122
"ken",1956,1156
"ken",1957,1183
"ken",1958,1173
"ken",1959,1101
"ken",1960,1159
"ken",1961,1111
"ken",1962,1176
"ken",1963,1182
"ken",1964,1223
"ken",1965,1243
"ken",1966,1328
"ken",1967,1338
"ken",1968,1255
"ken",1969,1295
"ken",1970,1134
"ken",1971,1157
"ken",1972,1206
"ken",1973,1161
"ken",1974,1229
"ken",1975,1181
"ken",1976,1143
"ken",1977,1175
"ken",1978,1237
"ken",1979,1251
"ken",1980,1261
"ken",1981,1237
"ken",1982,1237
"ken",1983,1195
"ken",1984,1195
"ken",1985,1149
"ken",1986,1237
"ken",1987,1266
"ken",1988,1307
"ken",1989,1333
"ken",1990,1351
"ken",1991,1336
"ken",1992,1280
"ken",1993,1258
"ken",1994,1261
"ken",1995,1281
"ken",1996,1301
"ken",1997,1305
"ken",1998,1285
"ken",1999,1253
"ken",2000,1268
"ken",2001,1257
"ken",2002,1216
"ken",2003,1218
"rwa",1960,1023
"rwa",1961,969.3
"rwa",1962,1062
"rwa",1963,922
"rwa",1964,813.6
"rwa",1965,855.8
"rwa",1966,890.5
"rwa",1967,922
"rwa",1968,935.5
"rwa",1969,1010
"rwa",1970,1057
"rwa",1971,1023
"rwa",1972,993.6
"rwa",1973,1019
"rwa",1974,985.2
"rwa",1975,925
"rwa",1976,1089
"rwa",1977,1075
"rwa",1978,1147
"rwa",1979,1246
"rwa",1980,1255
"rwa",1981,1339
"rwa",1982,1290
"rwa",1983,1344
"rwa",1984,1191
"rwa",1985,1215
"rwa",1986,1258
"rwa",1987,1228
"rwa",1988,1189
"rwa",1989,1218
"rwa",1990,1006
"rwa",1991,1017
"rwa",1992,1040
"rwa",1993,901.3
"rwa",1994,521.8
"rwa",1995,840.8
"rwa",1996,927.8
"rwa",1997,858.9
"rwa",1998,943.2
"rwa",1999,975.3
"rwa",2000,1018
"rwa",2001,1072
"rwa",2002,1149
"rwa",2003,1297
"tza",1960,497.8
"tza",1961,452.1
"tza",1962,494.6
"tza",1963,498.5
"tza",1964,565.5
"tza",1965,556
"tza",1966,571.6
"tza",1967,583.7
"tza",1968,615.5
"tza",1969,613.2
"tza",1970,576.1
"tza",1971,558.6
"tza",1972,581
"tza",1973,572.4
"tza",1974,564.5
"tza",1975,580.4
"tza",1976,600.8
"tza",1977,581.6
"tza",1978,570.5
"tza",1979,571.2
"tza",1980,570.5
"tza",1981,554.9
"tza",1982,538.2
"tza",1983,512.4
"tza",1984,510
"tza",1985,502.2
"tza",1986,495.8
"tza",1987,495.7
"tza",1988,495.8
"tza",1989,493.5
"tza",1990,498.3
"tza",1991,515.1
"tza",1992,498.9
"tza",1993,492.8
"tza",1994,474.4
"tza",1995,484.7
"tza",1996,491.3
"tza",1997,773.1
"tza",1998,800.8
"tza",1999,819.1
"tza",2000,816.7
"tza",2001,848.2
"tza",2002,898.7
"tza",2003,911.9
"uga",1950,846.8
"uga",1951,903.1
"uga",1952,947.4
"uga",1953,860
"uga",1954,834
"uga",1955,846.2
"uga",1956,873.5
"uga",1957,908
"uga",1958,854.2
"uga",1959,890.7
"uga",1960,873.9
"uga",1961,813.6
"uga",1962,878.1
"uga",1963,922.6
"uga",1964,925
"uga",1965,939.6
"uga",1966,985.2
"uga",1967,1019
"uga",1968,1030
"uga",1969,1059
"uga",1970,1059
"uga",1971,1024
"uga",1972,1067
"uga",1973,1076
"uga",1974,1040
"uga",1975,1034
"uga",1976,1018
"uga",1977,1020
"uga",1978,972.5
"uga",1979,786.5
"uga",1980,749.5
"uga",1981,665.9
"uga",1982,703.4
"uga",1983,740.6
"uga",1984,733.6
"uga",1985,681.4
"uga",1986,673.6
"uga",1987,646.6
"uga",1988,644.9
"uga",1989,672.5
"uga",1990,709.3
"uga",1991,729.4
"uga",1992,735.9
"uga",1993,770.9
"uga",1994,898.5
"uga",1995,863.8
"uga",1996,908.5
"uga",1997,950.1
"uga",1998,977.4
"uga",1999,1032
"uga",2000,1058
"uga",2001,1076
"uga",2002,1093
"uga",2003,1114
