"geo","time","annual_hiv_deaths_number_all_ages"
"bdi",1990,3900
"bdi",1991,4900
"bdi",1992,6000
"bdi",1993,7300
"bdi",1994,8600
"bdi",1995,9800
"bdi",1996,11000
"bdi",1997,12000
"bdi",1998,12000
"bdi",1999,13000
"bdi",2000,14000
"bdi",2001,14000
"bdi",2002,15000
"bdi",2003,15000
"bdi",2004,15000
"bdi",2005,15000
"bdi",2006,15000
"bdi",2007,15000
"bdi",2008,15000
"bdi",2009,15000
"ken",1990,10000
"ken",1991,16000
"ken",1992,24000
"ken",1993,34000
"ken",1994,46000
"ken",1995,60000
"ken",1996,74000
"ken",1997,87000
"ken",1998,100000
"ken",1999,110000
"ken",2000,120000
"ken",2001,120000
"ken",2002,130000
"ken",2003,130000
"ken",2004,130000
"ken",2005,120000
"ken",2006,110000
"ken",2007,99000
"ken",2008,91000
"ken",2009,80000
"rwa",1990,14000
"rwa",1991,14000
"rwa",1992,15000
"rwa",1993,15000
"rwa",1994,16000
"rwa",1995,16000
"rwa",1996,17000
"rwa",1997,18000
"rwa",1998,20000
"rwa",1999,21000
"rwa",2000,21000
"rwa",2001,21000
"rwa",2002,21000
"rwa",2003,21000
"rwa",2004,21000
"rwa",2005,20000
"rwa",2006,16000
"rwa",2007,12000
"rwa",2008,9600
"rwa",2009,8500
"rwa",2010,7300
"rwa",2011,6400
"ssd",2011,11000
"tza",1990,22000
"tza",1991,30000
"tza",1992,40000
"tza",1993,51000
"tza",1994,63000
"tza",1995,76000
"tza",1996,89000
"tza",1997,100000
"tza",1998,110000
"tza",1999,120000
"tza",2000,120000
"tza",2001,130000
"tza",2002,130000
"tza",2003,130000
"tza",2004,130000
"tza",2005,130000
"tza",2006,130000
"tza",2007,120000
"tza",2008,100000
"tza",2009,96000
"tza",2010,91000
"tza",2011,84000
"uga",1990,85000
"uga",1991,95000
"uga",1992,100000
"uga",1993,110000
"uga",1994,110000
"uga",1995,110000
"uga",1996,110000
"uga",1997,110000
"uga",1998,110000
"uga",1999,110000
"uga",2000,100000
"uga",2001,100000
"uga",2002,97000
"uga",2003,93000
"uga",2004,89000
"uga",2005,82000
"uga",2006,74000
"uga",2007,74000
"uga",2008,74000
"uga",2009,69000
"uga",2010,66000
"uga",2011,62000
