"geo","time","armed_forces_personnel_percent_of_labor_force"
"bdi",1990,0.46526
"bdi",1991,0.46337
"bdi",1992,0.49957
"bdi",1993,0.49704
"bdi",1994,0.64699
"bdi",1995,0.55338
"bdi",1996,0.83214
"bdi",1997,0.83104
"bdi",1998,1.63933
"bdi",1999,1.69961
"bdi",2000,1.67623
"bdi",2001,1.81981
"bdi",2002,1.75515
"bdi",2003,1.85378
"bdi",2004,2.57736
"bdi",2005,2.50984
"bdi",2007,1.45153
"bdi",2008,1.40147
"bdi",2009,1.35618
"bdi",2010,1.31292
"bdi",2011,1.28145
"bdi",2012,1.24958
"bdi",2013,1.22096
"bdi",2014,1.19192
"bdi",2015,0.92676
"bdi",2016,1.11652
"cod",1990,0.40376
"cod",1991,0.42475
"cod",1992,0.30639
"cod",1993,0.26182
"cod",1994,0.25245
"cod",1995,0.39764
"cod",1996,0.38725
"cod",1997,0.44712
"cod",1998,0.49383
"cod",1999,0.51491
"cod",2000,0.50169
"cod",2001,0.42798
"cod",2002,0.41597
"cod",2003,0.48507
"cod",2004,0.30781
"cod",2005,0.30296
"cod",2007,0.62652
"cod",2008,0.64072
"cod",2009,0.65296
"cod",2010,0.63192
"cod",2011,0.51677
"cod",2012,0.50029
"cod",2013,0.48423
"cod",2014,0.46859
"cod",2015,0.45335
"cod",2016,0.4388
"ken",1990,0.22698
"ken",1991,0.21884
"ken",1992,0.25301
"ken",1993,0.24375
"ken",1994,0.21543
"ken",1995,0.276
"ken",1996,0.26724
"ken",1997,0.25909
"ken",1998,0.25138
"ken",1999,0.24378
"ken",2000,0.22267
"ken",2001,0.23718
"ken",2002,0.23347
"ken",2003,0.22749
"ken",2004,0.22355
"ken",2005,0.2209
"ken",2007,0.20678
"ken",2008,0.2
"ken",2009,0.19434
"ken",2010,0.18819
"ken",2011,0.18207
"ken",2012,0.17623
"ken",2013,0.17062
"ken",2014,0.16525
"ken",2015,0.16014
"ken",2016,0.15522
"rwa",1990,0.18272
"rwa",1991,0.92978
"rwa",1992,0.96259
"rwa",1993,0.99998
"rwa",1994,1.02156
"rwa",1995,1.59407
"rwa",1996,1.31244
"rwa",1997,1.91451
"rwa",1998,1.55377
"rwa",1999,1.45721
"rwa",2000,1.94904
"rwa",2001,1.94581
"rwa",2002,1.91084
"rwa",2003,1.42054
"rwa",2004,1.20571
"rwa",2005,1.17625
"rwa",2007,0.7348
"rwa",2008,0.71459
"rwa",2009,0.69475
"rwa",2010,0.67544
"rwa",2011,0.65739
"rwa",2012,0.63947
"rwa",2013,0.62172
"rwa",2014,0.60465
"rwa",2015,0.58829
"rwa",2016,0.57223
"ssd",2010,3.35245
"ssd",2011,4.83857
"ssd",2012,4.66471
"ssd",2013,3.96827
"ssd",2014,3.83658
"ssd",2015,3.71248
"ssd",2016,3.59857
"tza",1990,0.34822
"tza",1991,0.33703
"tza",1992,0.37458
"tza",1993,0.36188
"tza",1994,0.38031
"tza",1995,0.26513
"tza",1996,0.25783
"tza",1997,0.25095
"tza",1998,0.24025
"tza",1999,0.23387
"tza",2000,0.22754
"tza",2001,0.17759
"tza",2002,0.17275
"tza",2003,0.16797
"tza",2004,0.16092
"tza",2005,0.15622
"tza",2007,0.14696
"tza",2008,0.14232
"tza",2009,0.13978
"tza",2010,0.13538
"tza",2011,0.13119
"tza",2012,0.12685
"tza",2013,0.12285
"tza",2014,0.1191
"tza",2015,0.11536
"tza",2016,0.11171
"uga",1990,0.94976
"uga",1991,0.92176
"uga",1992,1.04461
"uga",1993,1.01437
"uga",1994,0.84387
"uga",1995,0.70258
"uga",1996,0.6843
"uga",1997,0.60101
"uga",1998,0.52105
"uga",1999,0.50547
"uga",2000,0.59708
"uga",2001,0.6488
"uga",2002,0.62724
"uga",2003,0.65906
"uga",2004,0.56588
"uga",2005,0.46612
"uga",2007,0.43297
"uga",2008,0.41674
"uga",2009,0.39922
"uga",2010,0.38396
"uga",2011,0.36942
"uga",2012,0.35527
"uga",2013,0.3425
"uga",2014,0.33022
"uga",2015,0.31568
"uga",2016,0.30459
