"geo","time","arms_imports_us_inflation_adjusted"
"bdi",1966,5e+06
"bdi",1967,2e+06
"bdi",1969,3e+06
"bdi",1973,0
"bdi",1980,1e+06
"bdi",1981,5e+06
"bdi",1982,3e+06
"bdi",1983,9e+06
"bdi",1984,2e+06
"bdi",1989,6e+06
"bdi",1990,6e+06
"bdi",2001,1e+06
"bdi",2002,3e+06
"bdi",2009,1e+06
"bdi",2010,2e+06
"bdi",2012,5e+06
"bdi",2015,1e+06
"bdi",2016,2e+06
"cod",1960,2e+06
"cod",1961,9e+06
"cod",1962,1.3e+07
"cod",1963,3.2e+07
"cod",1964,8.3e+07
"cod",1965,3.1e+07
"cod",1966,2.6e+07
"cod",1967,1.6e+07
"cod",1968,7e+06
"cod",1969,2.8e+07
"cod",1970,1.9e+07
"cod",1971,1.55e+08
"cod",1972,1.5e+07
"cod",1973,5e+06
"cod",1974,1.1e+07
"cod",1975,3.91e+08
"cod",1976,1.32e+08
"cod",1977,3.1e+07
"cod",1978,3.8e+07
"cod",1979,1.5e+07
"cod",1980,1e+07
"cod",1981,1.2e+07
"cod",1982,1.5e+07
"cod",1983,5e+06
"cod",1984,1.6e+07
"cod",1985,1e+06
"cod",1986,1e+06
"cod",1987,3.6e+07
"cod",1988,1e+06
"cod",1990,4e+06
"cod",1992,2e+06
"cod",1995,0
"cod",1996,6.1e+07
"cod",1997,6e+06
"cod",1998,1e+07
"cod",1999,4.6e+07
"cod",2000,8.8e+07
"cod",2001,1.5e+07
"cod",2002,1.2e+07
"cod",2005,1.9e+07
"cod",2006,1.7e+07
"cod",2008,1.8e+07
"cod",2009,4.1e+07
"cod",2010,1.51e+08
"cod",2012,1e+07
"cod",2013,1e+06
"cod",2015,1e+06
"cod",2016,4.3e+07
"ken",1964,6e+06
"ken",1965,1.5e+07
"ken",1966,1.9e+07
"ken",1967,2e+06
"ken",1968,2e+06
"ken",1969,3e+06
"ken",1970,0
"ken",1971,2e+07
"ken",1972,9e+06
"ken",1973,2e+06
"ken",1974,2.8e+07
"ken",1975,2.5e+07
"ken",1976,1.7e+07
"ken",1977,5.8e+07
"ken",1978,2.11e+08
"ken",1979,5.6e+07
"ken",1980,1.19e+08
"ken",1981,1.44e+08
"ken",1982,9.1e+07
"ken",1983,2e+07
"ken",1984,1.2e+07
"ken",1985,6e+06
"ken",1986,2.6e+07
"ken",1987,1.78e+08
"ken",1989,2.3e+07
"ken",1990,4.2e+07
"ken",1991,1.4e+07
"ken",1994,3e+07
"ken",1997,6.1e+07
"ken",2000,1.5e+07
"ken",2007,1e+07
"ken",2009,3.4e+07
"ken",2010,1.16e+08
"ken",2011,1.4e+07
"ken",2012,6.2e+07
"ken",2013,1e+06
"ken",2014,1.7e+07
"ken",2015,3e+07
"ken",2016,2.8e+07
"ken",2017,1.3e+07
"rwa",1962,5e+06
"rwa",1963,0
"rwa",1964,0
"rwa",1965,0
"rwa",1973,4e+06
"rwa",1974,1e+06
"rwa",1975,3e+06
"rwa",1977,1e+06
"rwa",1983,3e+06
"rwa",1984,6e+06
"rwa",1985,3e+06
"rwa",1986,2e+06
"rwa",1988,2e+06
"rwa",1990,1e+06
"rwa",1991,2e+06
"rwa",1992,5e+06
"rwa",1996,1e+06
"rwa",1997,2e+06
"rwa",1998,9e+06
"rwa",1999,2e+07
"rwa",2000,1.4e+07
"rwa",2006,2e+06
"rwa",2007,2e+07
"rwa",2008,8e+06
"rwa",2009,1.1e+07
"rwa",2012,5e+06
"rwa",2013,1.5e+07
"rwa",2014,1.4e+07
"rwa",2015,2.7e+07
"ssd",2007,3.7e+07
"ssd",2008,4.4e+07
"ssd",2009,1e+06
"ssd",2011,6.1e+07
"ssd",2012,2e+06
"ssd",2013,9e+06
"ssd",2014,3.5e+07
"ssd",2015,1.8e+07
"ssd",2016,8e+06
"tza",1964,4e+06
"tza",1965,4e+06
"tza",1966,2.1e+07
"tza",1967,1e+06
"tza",1970,1.1e+07
