"geo","time","art_coverage_percent_cd4_l_350"
"bdi",2004,4
"bdi",2005,8
"bdi",2006,9
"bdi",2007,12
"bdi",2008,16
"bdi",2009,35
"bdi",2010,45
"bdi",2011,54
"ken",2004,4
"ken",2005,9
"ken",2006,18
"ken",2007,25
"ken",2008,36
"ken",2009,51
"ken",2010,61
"ken",2011,72
"rwa",2004,9
"rwa",2005,24
"rwa",2006,44
"rwa",2007,60
"rwa",2008,76
"rwa",2009,77
"rwa",2010,84
"rwa",2011,82
"ssd",2011,6
"tza",2004,0
"tza",2005,3
"tza",2006,9
"tza",2007,21
"tza",2008,24
"tza",2009,32
"tza",2010,38
"tza",2011,40
"uga",2004,9
"uga",2005,16
"uga",2006,20
"uga",2007,24
"uga",2008,31
"uga",2009,41
"uga",2010,45
"uga",2011,54
