"geo","time","at_least_basic_sanitation_overall_access_percent"
"bdi",2000,41.45097
"bdi",2001,42.09094
"bdi",2002,42.73143
"bdi",2003,43.37256
"bdi",2004,44.01437
"bdi",2005,44.65688
"bdi",2006,45.30006
"bdi",2007,45.94402
"bdi",2008,46.58867
"bdi",2009,47.23423
"bdi",2010,47.88057
"bdi",2011,48.52778
"bdi",2012,49.17591
"bdi",2013,49.82499
"bdi",2014,50.47507
"bdi",2015,50.46032
"cod",2000,22.36226
"cod",2001,22.17339
"cod",2002,21.98618
"cod",2003,21.80064
"cod",2004,21.61677
"cod",2005,21.43463
"cod",2006,21.25428
"cod",2007,21.07571
"cod",2008,20.89901
"cod",2009,20.72408
"cod",2010,20.551
"cod",2011,20.37981
"cod",2012,20.21047
"cod",2013,20.04297
"cod",2014,19.87739
"cod",2015,19.71369
"ken",2000,31.0068
"ken",2001,30.91426
"ken",2002,30.8237
"ken",2003,30.73517
"ken",2004,30.6487
"ken",2005,30.56423
"ken",2006,30.4819
"ken",2007,30.40173
"ken",2008,30.32377
"ken",2009,30.24793
"ken",2010,30.17438
"ken",2011,30.10332
"ken",2012,30.03476
"ken",2013,29.96875
"ken",2014,29.90535
"ken",2015,29.84468
"rwa",2000,44.2498
"rwa",2001,45.64818
"rwa",2002,47.02498
"rwa",2003,48.35937
"rwa",2004,49.66972
"rwa",2005,50.95736
"rwa",2006,52.22116
"rwa",2007,53.45982
"rwa",2008,54.67194
"rwa",2009,55.85567
"rwa",2010,57.01069
"rwa",2011,58.13663
"rwa",2012,59.23332
"rwa",2013,60.30064
"rwa",2014,61.33879
"rwa",2015,62.34783
"ssd",2011,7.0065
"ssd",2012,7.83028
"ssd",2013,8.66183
"ssd",2014,9.50154
"ssd",2015,10.35011
"tza",2000,6.51251
"tza",2001,7.55024
"tza",2002,8.59497
"tza",2003,9.66443
"tza",2004,10.74863
"tza",2005,11.84498
"tza",2006,12.95385
"tza",2007,14.07542
"tza",2008,15.21022
"tza",2009,16.35801
"tza",2010,17.51961
"tza",2011,18.69487
"tza",2012,19.88436
"tza",2013,21.08785
"tza",2014,22.3044
"tza",2015,23.53407
"uga",2000,15.44016
"uga",2001,15.67101
"uga",2002,15.90154
"uga",2003,16.152
"uga",2004,16.40701
"uga",2005,16.66105
"uga",2006,16.91437
"uga",2007,17.16677
"uga",2008,17.41823
"uga",2009,17.66869
"uga",2010,17.91823
"uga",2011,18.1667
"uga",2012,18.41427
"uga",2013,18.66089
"uga",2014,18.90651
"uga",2015,19.15095
