"geo","time","at_least_basic_sanitation_rural_access_percent"
"bdi",2000,42.12634
"bdi",2001,42.76454
"bdi",2002,43.40274
"bdi",2003,44.04094
"bdi",2004,44.67913
"bdi",2005,45.31733
"bdi",2006,45.95553
"bdi",2007,46.59373
"bdi",2008,47.23193
"bdi",2009,47.87012
"bdi",2010,48.50832
"bdi",2011,49.14652
"bdi",2012,49.78472
"bdi",2013,50.42292
"bdi",2014,51.06111
"bdi",2015,51.06111
"cod",2000,21.45678
"cod",2001,21.19612
"cod",2002,20.93545
"cod",2003,20.67479
"cod",2004,20.41412
"cod",2005,20.15346
"cod",2006,19.8928
"cod",2007,19.63213
"cod",2008,19.37147
"cod",2009,19.11081
"cod",2010,18.85014
"cod",2011,18.58948
"cod",2012,18.32882
"cod",2013,18.06815
"cod",2014,17.80749
"cod",2015,17.54683
"ken",2000,30.31025
"ken",2001,30.15352
"ken",2002,29.99678
"ken",2003,29.84004
"ken",2004,29.6833
"ken",2005,29.52656
"ken",2006,29.36983
"ken",2007,29.21309
"ken",2008,29.05635
"ken",2009,28.89961
"ken",2010,28.74288
"ken",2011,28.58614
"ken",2012,28.4294
"ken",2013,28.27266
"ken",2014,28.11592
"ken",2015,27.95919
"rwa",2000,41.94489
"rwa",2001,43.44202
"rwa",2002,44.93914
"rwa",2003,46.43626
"rwa",2004,47.93338
"rwa",2005,49.43051
"rwa",2006,50.92763
"rwa",2007,52.42475
"rwa",2008,53.92188
"rwa",2009,55.419
"rwa",2010,56.91612
"rwa",2011,58.41324
"rwa",2012,59.91037
"rwa",2013,61.40749
"rwa",2014,62.90461
"rwa",2015,64.40173
"ssd",2011,4.32299
"ssd",2012,4.83353
"ssd",2013,5.34408
"ssd",2014,5.85462
"ssd",2015,6.36517
"tza",2000,5.07248
"tza",2001,5.88214
"tza",2002,6.6918
"tza",2003,7.50146
"tza",2004,8.31113
"tza",2005,9.12079
"tza",2006,9.93045
"tza",2007,10.74011
"tza",2008,11.54977
"tza",2009,12.35943
"tza",2010,13.16909
"tza",2011,13.97876
"tza",2012,14.78842
"tza",2013,15.59808
"tza",2014,16.40774
"tza",2015,17.2174
"uga",2000,13.6283
"uga",2001,13.88013
"uga",2002,14.13197
"uga",2003,14.38381
"uga",2004,14.63565
"uga",2005,14.88748
"uga",2006,15.13932
"uga",2007,15.39116
"uga",2008,15.64299
"uga",2009,15.89483
"uga",2010,16.14667
"uga",2011,16.39851
"uga",2012,16.65034
"uga",2013,16.90218
"uga",2014,17.15402
"uga",2015,17.40585
