"geo","time","at_least_basic_sanitation_urban_access_percent"
"bdi",2000,33.936
"bdi",2001,34.80329
"bdi",2002,35.67059
"bdi",2003,36.53789
"bdi",2004,37.40518
"bdi",2005,38.27248
"bdi",2006,39.13977
"bdi",2007,40.00707
"bdi",2008,40.87437
"bdi",2009,41.74166
"bdi",2010,42.60896
"bdi",2011,43.47626
"bdi",2012,44.34355
"bdi",2013,45.21085
"bdi",2014,46.07815
"bdi",2015,46.07815
"cod",2000,24.03487
"cod",2001,23.94228
"cod",2002,23.84969
"cod",2003,23.75711
"cod",2004,23.66452
"cod",2005,23.57193
"cod",2006,23.47934
"cod",2007,23.38675
"cod",2008,23.29416
"cod",2009,23.20157
"cod",2010,23.10899
"cod",2011,23.0164
"cod",2012,22.92381
"cod",2013,22.83122
"cod",2014,22.73863
"cod",2015,22.64604
"ken",2000,33.8119
"ken",2001,33.91231
"ken",2002,34.01272
"ken",2003,34.11313
"ken",2004,34.21355
"ken",2005,34.31396
"ken",2006,34.41437
"ken",2007,34.51478
"ken",2008,34.61519
"ken",2009,34.7156
"ken",2010,34.81601
"ken",2011,34.91643
"ken",2012,35.01684
"ken",2013,35.11725
"ken",2014,35.21766
"ken",2015,35.31807
"rwa",2000,57.38714
"rwa",2001,57.37952
"rwa",2002,57.3719
"rwa",2003,57.36428
"rwa",2004,57.35666
"rwa",2005,57.34904
"rwa",2006,57.34142
"rwa",2007,57.3338
"rwa",2008,57.32618
"rwa",2009,57.31856
"rwa",2010,57.31093
"rwa",2011,57.30331
"rwa",2012,57.29569
"rwa",2013,57.28807
"rwa",2014,57.28045
"rwa",2015,57.27283
"ssd",2011,19.21318
"ssd",2012,21.29917
"ssd",2013,23.38517
"ssd",2014,25.47117
"ssd",2015,27.55716
"tza",2000,11.52741
"tza",2001,13.23903
"tza",2002,14.95066
"tza",2003,16.66228
"tza",2004,18.37391
"tza",2005,20.08553
"tza",2006,21.79716
"tza",2007,23.50878
"tza",2008,25.22041
"tza",2009,26.93203
"tza",2010,28.64366
"tza",2011,30.35529
"tza",2012,32.06691
"tza",2013,33.77854
"tza",2014,35.49016
"tza",2015,37.20179
"uga",2000,28.62464
"uga",2001,28.59929
"uga",2002,28.57393
"uga",2003,28.54858
"uga",2004,28.52322
"uga",2005,28.49787
"uga",2006,28.47251
"uga",2007,28.44716
"uga",2008,28.4218
"uga",2009,28.39644
"uga",2010,28.37109
"uga",2011,28.34573
"uga",2012,28.32038
"uga",2013,28.29502
"uga",2014,28.26967
"uga",2015,28.24431
