"geo","time","at_least_basic_water_source_overall_access_percent"
"bdi",2000,52.44398
"bdi",2001,52.66431
"bdi",2002,52.88787
"bdi",2003,53.11437
"bdi",2004,53.34385
"bdi",2005,53.57635
"bdi",2006,53.81226
"bdi",2007,54.05129
"bdi",2008,54.29418
"bdi",2009,54.53993
"bdi",2010,54.78964
"bdi",2011,55.04301
"bdi",2012,55.30009
"bdi",2013,55.56094
"bdi",2014,55.82561
"bdi",2015,55.93412
"cod",2000,34.37136
"cod",2001,34.86762
"cod",2002,35.36378
"cod",2003,35.85984
"cod",2004,36.35577
"cod",2005,36.85206
"cod",2006,37.34919
"cod",2007,37.84664
"cod",2008,38.34537
"cod",2009,38.84388
"cod",2010,39.34264
"cod",2011,39.84212
"cod",2012,40.34131
"cod",2013,40.8402
"cod",2014,41.33926
"cod",2015,41.83799
"ken",2000,46.38813
"ken",2001,47.24221
"ken",2002,48.09003
"ken",2003,48.93141
"ken",2004,49.76616
"ken",2005,50.59317
"ken",2006,51.41322
"ken",2007,52.22613
"ken",2008,53.03169
"ken",2009,53.82891
"ken",2010,54.61847
"ken",2011,55.40133
"ken",2012,56.17683
"ken",2013,56.94469
"ken",2014,57.70465
"ken",2015,58.45678
"rwa",2000,46.98788
"rwa",2001,47.64969
"rwa",2002,48.32236
"rwa",2003,48.95347
"rwa",2004,49.58408
"rwa",2005,50.22046
"rwa",2006,50.86309
"rwa",2007,51.5121
"rwa",2008,52.16736
"rwa",2009,52.82166
"rwa",2010,53.47555
"rwa",2011,54.12812
"rwa",2012,54.77819
"rwa",2013,55.42602
"rwa",2014,56.06989
"rwa",2015,56.71011
"ssd",2011,42.74828
"ssd",2012,44.66051
"ssd",2013,46.57505
"ssd",2014,48.49188
"ssd",2015,50.41121
"tza",2000,31.59367
"tza",2001,32.74107
"tza",2002,33.88802
"tza",2003,35.12581
"tza",2004,36.38042
"tza",2005,37.63491
"tza",2006,38.88965
"tza",2007,40.14404
"tza",2008,41.39888
"tza",2009,42.65222
"tza",2010,43.90575
"tza",2011,45.158
"tza",2012,46.40976
"tza",2013,47.65957
"tza",2014,48.90475
"tza",2015,50.14528
"uga",2000,30.00813
"uga",2001,30.53428
"uga",2002,31.06012
"uga",2003,31.65072
"uga",2004,32.25818
"uga",2005,32.86499
"uga",2006,33.47198
"uga",2007,34.07862
"uga",2008,34.68486
"uga",2009,35.29062
"uga",2010,35.89626
"uga",2011,36.50128
"uga",2012,37.10645
"uga",2013,37.71166
"uga",2014,38.31684
"uga",2015,38.92147
