"geo","time","at_least_basic_water_source_rural_access_percent"
"bdi",2000,49.75089
"bdi",2001,49.87683
"bdi",2002,50.00278
"bdi",2003,50.12872
"bdi",2004,50.25466
"bdi",2005,50.3806
"bdi",2006,50.50655
"bdi",2007,50.63249
"bdi",2008,50.75843
"bdi",2009,50.88438
"bdi",2010,51.01032
"bdi",2011,51.13626
"bdi",2012,51.26221
"bdi",2013,51.38815
"bdi",2014,51.51409
"bdi",2015,51.51409
"cod",2000,16.46243
"cod",2001,16.7833
"cod",2002,17.10417
"cod",2003,17.42504
"cod",2004,17.7459
"cod",2005,18.06677
"cod",2006,18.38764
"cod",2007,18.70851
"cod",2008,19.02937
"cod",2009,19.35024
"cod",2010,19.67111
"cod",2011,19.99198
"cod",2012,20.31285
"cod",2013,20.63371
"cod",2014,20.95458
"cod",2015,21.27545
"ken",2000,35.94111
"ken",2001,36.86815
"ken",2002,37.79519
"ken",2003,38.72224
"ken",2004,39.64928
"ken",2005,40.57632
"ken",2006,41.50336
"ken",2007,42.43041
"ken",2008,43.35745
"ken",2009,44.28449
"ken",2010,45.21153
"ken",2011,46.13858
"ken",2012,47.06562
"ken",2013,47.99266
"ken",2014,48.91971
"ken",2015,49.84675
"rwa",2000,42.38748
"rwa",2001,42.79614
"rwa",2002,43.20481
"rwa",2003,43.61348
"rwa",2004,44.02215
"rwa",2005,44.43081
"rwa",2006,44.83948
"rwa",2007,45.24815
"rwa",2008,45.65682
"rwa",2009,46.06549
"rwa",2010,46.47415
"rwa",2011,46.88282
"rwa",2012,47.29149
"rwa",2013,47.70016
"rwa",2014,48.10882
"rwa",2015,48.51749
"ssd",2011,40.9246
"ssd",2012,42.76679
"ssd",2013,44.60899
"ssd",2014,46.45119
"ssd",2015,48.29338
"tza",2000,20.7157
"tza",2001,21.77378
"tza",2002,22.83186
"tza",2003,23.88994
"tza",2004,24.94802
"tza",2005,26.0061
"tza",2006,27.06418
"tza",2007,28.12226
"tza",2008,29.18034
"tza",2009,30.23842
"tza",2010,31.2965
"tza",2011,32.35458
"tza",2012,33.41266
"tza",2013,34.47074
"tza",2014,35.52882
"tza",2015,36.5869
"uga",2000,24.34791
"uga",2001,24.88874
"uga",2002,25.42958
"uga",2003,25.97041
"uga",2004,26.51124
"uga",2005,27.05208
"uga",2006,27.59291
"uga",2007,28.13374
"uga",2008,28.67458
"uga",2009,29.21541
"uga",2010,29.75624
"uga",2011,30.29708
"uga",2012,30.83791
"uga",2013,31.37874
"uga",2014,31.91958
"uga",2015,32.46041
