"geo","time","at_least_basic_water_source_urban_access_percent"
"bdi",2000,82.41024
"bdi",2001,82.8219
"bdi",2002,83.23356
"bdi",2003,83.64522
"bdi",2004,84.05689
"bdi",2005,84.46855
"bdi",2006,84.88021
"bdi",2007,85.29188
"bdi",2008,85.70354
"bdi",2009,86.1152
"bdi",2010,86.52686
"bdi",2011,86.93853
"bdi",2012,87.35019
"bdi",2013,87.76185
"bdi",2014,88.17352
"bdi",2015,88.17352
"cod",2000,67.45305
"cod",2001,67.6005
"cod",2002,67.74794
"cod",2003,67.89539
"cod",2004,68.04283
"cod",2005,68.19028
"cod",2006,68.33772
"cod",2007,68.48517
"cod",2008,68.63262
"cod",2009,68.78006
"cod",2010,68.92751
"cod",2011,69.07495
"cod",2012,69.2224
"cod",2013,69.36985
"cod",2014,69.51729
"cod",2015,69.66474
"ken",2000,88.45984
"ken",2001,88.1259
"ken",2002,87.79196
"ken",2003,87.45803
"ken",2004,87.12409
"ken",2005,86.79016
"ken",2006,86.45622
"ken",2007,86.12228
"ken",2008,85.78835
"ken",2009,85.45441
"ken",2010,85.12048
"ken",2011,84.78654
"ken",2012,84.4526
"ken",2013,84.11867
"ken",2014,83.78473
"ken",2015,83.4508
"rwa",2000,73.2089
"rwa",2001,73.45852
"rwa",2002,73.70814
"rwa",2003,73.95776
"rwa",2004,74.20739
"rwa",2005,74.45701
"rwa",2006,74.70663
"rwa",2007,74.95625
"rwa",2008,75.20587
"rwa",2009,75.45549
"rwa",2010,75.70511
"rwa",2011,75.95473
"rwa",2012,76.20435
"rwa",2013,76.45397
"rwa",2014,76.70359
"rwa",2015,76.95321
"ssd",2011,51.0438
"ssd",2012,53.17185
"ssd",2013,55.29991
"ssd",2014,57.42797
"ssd",2015,59.55602
"tza",2000,69.47618
"tza",2001,70.14326
"tza",2002,70.81033
"tza",2003,71.47741
"tza",2004,72.14448
"tza",2005,72.81156
"tza",2006,73.47863
"tza",2007,74.14571
"tza",2008,74.81278
"tza",2009,75.47986
"tza",2010,76.14694
"tza",2011,76.81401
"tza",2012,77.48109
"tza",2013,78.14816
"tza",2014,78.81524
"tza",2015,79.48231
"uga",2000,71.19629
"uga",2001,71.28912
"uga",2002,71.38194
"uga",2003,71.47477
"uga",2004,71.5676
"uga",2005,71.66043
"uga",2006,71.75325
"uga",2007,71.84608
"uga",2008,71.93891
"uga",2009,72.03174
"uga",2010,72.12456
"uga",2011,72.21739
"uga",2012,72.31022
"uga",2013,72.40305
"uga",2014,72.49587
"uga",2015,72.5887
