"geo","time","biomass_stock_in_forest_tons"
"bdi",1990,62630000
"bdi",2000,39260000
"bdi",2005,37390000
"bdi",2010,52390000
"bdi",2015,57080000
"cod",1990,4.3474e+10
"cod",2000,4.2631e+10
"cod",2005,4.2208e+10
"cod",2010,4.1787e+10
"cod",2015,4.1365e+10
"ken",1990,1.368e+09
"ken",2000,1.029e+09
"ken",2005,1.169e+09
"ken",2010,1.259e+09
"ken",2015,1.347e+09
"rwa",1990,74900000
"rwa",2000,37400000
"rwa",2005,73500000
"rwa",2010,8.4e+07
"rwa",2015,9.1e+07
"tza",1990,14048150000
"tza",2000,13043280000
"tza",2005,12540840000
"tza",2010,12038400000
"tza",2015,11571130000
"uga",1990,364500000
"uga",2000,297200000
"uga",2005,263700000
"uga",2010,213900000
"uga",2015,162700000
