"geo","time","blood_pressure_sbp_men_mmhg"
"bdi",1980,129.7
"bdi",1981,129.7
"bdi",1982,129.7
"bdi",1983,129.7
"bdi",1984,129.7
"bdi",1985,129.7
"bdi",1986,129.8
"bdi",1987,129.9
"bdi",1988,130.1
"bdi",1989,130.2
"bdi",1990,130.4
"bdi",1991,130.6
"bdi",1992,130.7
"bdi",1993,130.8
"bdi",1994,130.9
"bdi",1995,131
"bdi",1996,131.1
"bdi",1997,131.1
"bdi",1998,131.3
"bdi",1999,131.5
"bdi",2000,131.7
"bdi",2001,132
"bdi",2002,132.4
"bdi",2003,132.8
"bdi",2004,133.2
"bdi",2005,133.7
"bdi",2006,134.1
"bdi",2007,134.6
"bdi",2008,135.1
"cod",1980,134
"cod",1981,133.7
"cod",1982,133.3
"cod",1983,133
"cod",1984,132.7
"cod",1985,132.4
"cod",1986,132.2
"cod",1987,132
"cod",1988,131.9
"cod",1989,131.7
"cod",1990,131.6
"cod",1991,131.4
"cod",1992,131.2
"cod",1993,131
"cod",1994,130.8
"cod",1995,130.6
"cod",1996,130.4
"cod",1997,130.3
"cod",1998,130.3
"cod",1999,130.3
"cod",2000,130.4
"cod",2001,130.5
"cod",2002,130.7
"cod",2003,130.9
"cod",2004,131.2
"cod",2005,131.5
"cod",2006,131.9
"cod",2007,132.3
"cod",2008,132.7
"ken",1980,128.2
"ken",1981,128.1
"ken",1982,127.9
"ken",1983,127.7
"ken",1984,127.6
"ken",1985,127.4
"ken",1986,127.4
"ken",1987,127.4
"ken",1988,127.5
"ken",1989,127.6
"ken",1990,127.7
"ken",1991,127.9
"ken",1992,128
"ken",1993,128.1
"ken",1994,128.1
"ken",1995,128.2
"ken",1996,128.2
"ken",1997,128.3
"ken",1998,128.5
"ken",1999,128.7
"ken",2000,128.9
"ken",2001,129.1
"ken",2002,129.5
"ken",2003,129.8
"ken",2004,130.3
"ken",2005,130.7
"ken",2006,131.2
"ken",2007,131.6
"ken",2008,132.1
"rwa",1980,131.8
"rwa",1981,131.9
"rwa",1982,132
"rwa",1983,132
"rwa",1984,132
"rwa",1985,131.9
"rwa",1986,131.9
"rwa",1987,132
"rwa",1988,132
"rwa",1989,132.1
"rwa",1990,132.1
"rwa",1991,132.1
"rwa",1992,132.1
"rwa",1993,132.1
"rwa",1994,131.9
"rwa",1995,131.9
"rwa",1996,132
"rwa",1997,132.1
"rwa",1998,132.3
"rwa",1999,132.5
"rwa",2000,132.8
"rwa",2001,133.1
"rwa",2002,133.5
"rwa",2003,133.9
"rwa",2004,134.3
"rwa",2005,134.7
"rwa",2006,135.1
"rwa",2007,135.5
"rwa",2008,136
"tza",1980,126.4
"tza",1981,126.3
"tza",1982,126.2
"tza",1983,126.1
"tza",1984,126.1
"tza",1985,126
"tza",1986,126
"tza",1987,126
"tza",1988,126.1
"tza",1989,126.2
"tza",1990,126.4
"tza",1991,126.6
"tza",1992,126.7
"tza",1993,126.9
"tza",1994,127.1
"tza",1995,127.2
"tza",1996,127.3
"tza",1997,127.5
"tza",1998,127.7
"tza",1999,127.9
"tza",2000,128.2
"tza",2001,128.5
"tza",2002,128.8
"tza",2003,129.2
"tza",2004,129.7
"tza",2005,130.2
"tza",2006,130.6
"tza",2007,131.1
"tza",2008,131.6
"uga",1980,130.7
"uga",1981,130.6
"uga",1982,130.5
"uga",1983,130.5
"uga",1984,130.4
"uga",1985,130.4
"uga",1986,130.4
"uga",1987,130.4
"uga",1988,130.5
"uga",1989,130.6
"uga",1990,130.7
"uga",1991,130.8
"uga",1992,130.9
"uga",1993,131
"uga",1994,131.2
"uga",1995,131.3
"uga",1996,131.5
"uga",1997,131.7
"uga",1998,131.9
"uga",1999,132.1
"uga",2000,132.4
"uga",2001,132.8
"uga",2002,133.1
"uga",2003,133.5
"uga",2004,133.8
"uga",2005,134.2
"uga",2006,134.7
"uga",2007,135.1
"uga",2008,135.6
