"geo","time","blood_pressure_sbp_women_mmhg"
"bdi",1980,127
"bdi",1981,127.2
"bdi",1982,127.4
"bdi",1983,127.6
"bdi",1984,127.6
"bdi",1985,127.9
"bdi",1986,128.1
"bdi",1987,128.4
"bdi",1988,128.7
"bdi",1989,128.9
"bdi",1990,129.2
"bdi",1991,129.5
"bdi",1992,129.8
"bdi",1993,130.1
"bdi",1994,130.2
"bdi",1995,130.3
"bdi",1996,130.5
"bdi",1997,130.7
"bdi",1998,130.9
"bdi",1999,131.1
"bdi",2000,131.3
"bdi",2001,131.6
"bdi",2002,131.9
"bdi",2003,132.2
"bdi",2004,132.6
"bdi",2005,133
"bdi",2006,133.4
"bdi",2007,133.8
"bdi",2008,134.2
"cod",1980,129.7
"cod",1981,129.6
"cod",1982,129.5
"cod",1983,129.4
"cod",1984,129.4
"cod",1985,129.3
"cod",1986,129.3
"cod",1987,129.3
"cod",1988,129.3
"cod",1989,129.3
"cod",1990,129.3
"cod",1991,129.3
"cod",1992,129.2
"cod",1993,129.1
"cod",1994,129
"cod",1995,128.8
"cod",1996,128.6
"cod",1997,128.4
"cod",1998,128.3
"cod",1999,128.2
"cod",2000,128.1
"cod",2001,128.1
"cod",2002,128.1
"cod",2003,128.3
"cod",2004,128.4
"cod",2005,128.6
"cod",2006,128.9
"cod",2007,129.1
"cod",2008,129.4
"ken",1980,123.7
"ken",1981,123.8
"ken",1982,123.8
"ken",1983,123.9
"ken",1984,123.9
"ken",1985,124
"ken",1986,124.1
"ken",1987,124.3
"ken",1988,124.4
"ken",1989,124.7
"ken",1990,124.9
"ken",1991,125.1
"ken",1992,125.3
"ken",1993,125.5
"ken",1994,125.7
"ken",1995,126
"ken",1996,126.2
"ken",1997,126.5
"ken",1998,126.7
"ken",1999,127
"ken",2000,127.3
"ken",2001,127.6
"ken",2002,127.9
"ken",2003,128.1
"ken",2004,128.5
"ken",2005,128.8
"ken",2006,129.2
"ken",2007,129.6
"ken",2008,129.9
"rwa",1980,129.2
"rwa",1981,129.4
"rwa",1982,129.7
"rwa",1983,130
"rwa",1984,130.1
"rwa",1985,130.4
"rwa",1986,130.5
"rwa",1987,130.6
"rwa",1988,130.7
"rwa",1989,130.9
"rwa",1990,130.9
"rwa",1991,130.9
"rwa",1992,131
"rwa",1993,131.1
"rwa",1994,130.9
"rwa",1995,131.1
"rwa",1996,131.2
"rwa",1997,131.4
"rwa",1998,131.6
"rwa",1999,131.9
"rwa",2000,132.2
"rwa",2001,132.5
"rwa",2002,132.9
"rwa",2003,133.3
"rwa",2004,133.6
"rwa",2005,133.9
"rwa",2006,134.3
"rwa",2007,134.7
"rwa",2008,135.1
"tza",1980,122.6
"tza",1981,122.9
"tza",1982,123.2
"tza",1983,123.5
"tza",1984,123.8
"tza",1985,124.1
"tza",1986,124.3
"tza",1987,124.6
"tza",1988,124.9
"tza",1989,125.3
"tza",1990,125.6
"tza",1991,125.9
"tza",1992,126.1
"tza",1993,126.4
"tza",1994,126.6
"tza",1995,126.7
"tza",1996,126.9
"tza",1997,127.1
"tza",1998,127.3
"tza",1999,127.6
"tza",2000,127.9
"tza",2001,128.2
"tza",2002,128.5
"tza",2003,128.9
"tza",2004,129.3
"tza",2005,129.6
"tza",2006,130.1
"tza",2007,130.5
"tza",2008,130.8
"uga",1980,126.3
"uga",1981,126.5
"uga",1982,126.7
"uga",1983,127.1
"uga",1984,127.3
"uga",1985,127.6
"uga",1986,127.8
"uga",1987,128.1
"uga",1988,128.5
"uga",1989,128.8
"uga",1990,129.2
"uga",1991,129.5
"uga",1992,129.8
"uga",1993,130.1
"uga",1994,130.4
"uga",1995,130.7
"uga",1996,130.9
"uga",1997,131.2
"uga",1998,131.5
"uga",1999,131.7
"uga",2000,132
"uga",2001,132.4
"uga",2002,132.7
"uga",2003,133.1
"uga",2004,133.4
"uga",2005,133.7
"uga",2006,134
"uga",2007,134.2
"uga",2008,134.5
