"geo","time","body_mass_index_bmi_women_kgperm2"
"bdi",1980,19.17
"bdi",1981,19.26
"bdi",1982,19.35
"bdi",1983,19.43
"bdi",1984,19.53
"bdi",1985,19.62
"bdi",1986,19.71
"bdi",1987,19.79
"bdi",1988,19.89
"bdi",1989,19.99
"bdi",1990,20.07
"bdi",1991,20.16
"bdi",1992,20.24
"bdi",1993,20.3
"bdi",1994,20.36
"bdi",1995,20.41
"bdi",1996,20.45
"bdi",1997,20.49
"bdi",1998,20.54
"bdi",1999,20.61
"bdi",2000,20.67
"bdi",2001,20.74
"bdi",2002,20.82
"bdi",2003,20.9
"bdi",2004,20.98
"bdi",2005,21.06
"bdi",2006,21.13
"bdi",2007,21.2
"bdi",2008,21.28
"cod",1980,19.78
"cod",1981,19.84
"cod",1982,19.89
"cod",1983,19.95
"cod",1984,20.01
"cod",1985,20.08
"cod",1986,20.16
"cod",1987,20.24
"cod",1988,20.33
"cod",1989,20.41
"cod",1990,20.49
"cod",1991,20.55
"cod",1992,20.6
"cod",1993,20.62
"cod",1994,20.64
"cod",1995,20.65
"cod",1996,20.67
"cod",1997,20.69
"cod",1998,20.72
"cod",1999,20.76
"cod",2000,20.8
"cod",2001,20.85
"cod",2002,20.91
"cod",2003,21.01
"cod",2004,21.12
"cod",2005,21.24
"cod",2006,21.38
"cod",2007,21.52
"cod",2008,21.67
"ken",1980,20.76
"ken",1981,20.87
"ken",1982,20.98
"ken",1983,21.07
"ken",1984,21.14
"ken",1985,21.23
"ken",1986,21.32
"ken",1987,21.42
"ken",1988,21.5
"ken",1989,21.59
"ken",1990,21.67
"ken",1991,21.77
"ken",1992,21.85
"ken",1993,21.92
"ken",1994,22
"ken",1995,22.07
"ken",1996,22.14
"ken",1997,22.22
"ken",1998,22.29
"ken",1999,22.38
"ken",2000,22.47
"ken",2001,22.56
"ken",2002,22.62
"ken",2003,22.7
"ken",2004,22.77
"ken",2005,22.84
"ken",2006,22.91
"ken",2007,22.99
"ken",2008,23.06
"rwa",1980,20.5
"rwa",1981,20.59
"rwa",1982,20.68
"rwa",1983,20.77
"rwa",1984,20.82
"rwa",1985,20.87
"rwa",1986,20.92
"rwa",1987,20.95
"rwa",1988,20.98
"rwa",1989,21.01
"rwa",1990,21.03
"rwa",1991,21.07
"rwa",1992,21.11
"rwa",1993,21.15
"rwa",1994,21.12
"rwa",1995,21.14
"rwa",1996,21.18
"rwa",1997,21.21
"rwa",1998,21.26
"rwa",1999,21.32
"rwa",2000,21.4
"rwa",2001,21.48
"rwa",2002,21.56
"rwa",2003,21.65
"rwa",2004,21.75
"rwa",2005,21.84
"rwa",2006,21.92
"rwa",2007,22
"rwa",2008,22.07
"tza",1980,20.91
"tza",1981,21
"tza",1982,21.08
"tza",1983,21.14
"tza",1984,21.2
"tza",1985,21.26
"tza",1986,21.33
"tza",1987,21.4
"tza",1988,21.48
"tza",1989,21.56
"tza",1990,21.64
"tza",1991,21.72
"tza",1992,21.79
"tza",1993,21.86
"tza",1994,21.92
"tza",1995,21.99
"tza",1996,22.05
"tza",1997,22.13
"tza",1998,22.21
"tza",1999,22.29
"tza",2000,22.35
"tza",2001,22.44
"tza",2002,22.53
"tza",2003,22.6
"tza",2004,22.7
"tza",2005,22.8
"tza",2006,22.89
"tza",2007,22.99
"tza",2008,23.08
"uga",1980,20.51
"uga",1981,20.51
"uga",1982,20.53
"uga",1983,20.56
"uga",1984,20.59
"uga",1985,20.61
"uga",1986,20.65
"uga",1987,20.69
"uga",1988,20.74
"uga",1989,20.81
"uga",1990,20.9
"uga",1991,20.98
"uga",1992,21.06
"uga",1993,21.15
"uga",1994,21.25
"uga",1995,21.35
"uga",1996,21.45
"uga",1997,21.55
"uga",1998,21.65
"uga",1999,21.73
"uga",2000,21.81
"uga",2001,21.88
"uga",2002,21.96
"uga",2003,22.04
"uga",2004,22.12
"uga",2005,22.21
"uga",2006,22.3
"uga",2007,22.39
"uga",2008,22.48
