"geo","time","breast_cancer_deaths_per_100000_women"
"bdi",1990,21.72
"bdi",1991,21.63
"bdi",1992,21.59
"bdi",1993,21.51
"bdi",1994,21.45
"bdi",1995,21.39
"bdi",1996,21.49
"bdi",1997,20.99
"bdi",1998,20.55
"bdi",1999,19.85
"bdi",2000,19.35
"bdi",2001,18.43
"bdi",2002,17.81
"bdi",2003,17.41
"bdi",2004,17.22
"bdi",2005,16.96
"bdi",2006,16.68
"bdi",2007,16.31
"bdi",2008,16.14
"bdi",2009,16.05
"bdi",2010,16.2
"bdi",2011,16.36
"bdi",2012,16.44
"bdi",2013,16.48
"bdi",2014,16.55
"bdi",2015,16.58
"bdi",2016,16.55
"cod",1990,15.77
"cod",1991,15.89
"cod",1992,15.86
"cod",1993,15.64
"cod",1994,15.68
"cod",1995,15.88
"cod",1996,16.89
"cod",1997,15.57
"cod",1998,15.73
"cod",1999,15.47
"cod",2000,15.54
"cod",2001,16.1
"cod",2002,15.99
"cod",2003,16.32
"cod",2004,16.06
"cod",2005,15.82
"cod",2006,15.97
"cod",2007,16.17
"cod",2008,16.28
"cod",2009,16.21
"cod",2010,16.12
"cod",2011,16.19
"cod",2012,16.37
"cod",2013,16.25
"cod",2014,16.19
"cod",2015,16.22
"cod",2016,16.18
"ken",1990,9.13
"ken",1991,9.39
"ken",1992,9.78
"ken",1993,10.05
"ken",1994,10.41
"ken",1995,10.61
"ken",1996,10.63
"ken",1997,11
"ken",1998,11.15
"ken",1999,10.84
"ken",2000,10.91
"ken",2001,10.24
"ken",2002,9.74
"ken",2003,9.23
"ken",2004,8.82
"ken",2005,8.46
"ken",2006,8.17
"ken",2007,8.12
"ken",2008,8.12
"ken",2009,8.1
"ken",2010,8.14
"ken",2011,8.25
"ken",2012,8.29
"ken",2013,8.34
"ken",2014,8.41
"ken",2015,8.46
"ken",2016,8.6
"rwa",1990,18.05
"rwa",1991,18.97
"rwa",1992,18.85
"rwa",1993,18.74
"rwa",1994,18.82
"rwa",1995,18.79
"rwa",1996,18.78
"rwa",1997,18.52
"rwa",1998,18.29
"rwa",1999,17.84
"rwa",2000,16.98
"rwa",2001,16.1
"rwa",2002,15.29
"rwa",2003,14.74
"rwa",2004,14.25
"rwa",2005,13.82
"rwa",2006,13.82
"rwa",2007,13.74
"rwa",2008,13.88
"rwa",2009,14.16
"rwa",2010,14.52
"rwa",2011,14.76
"rwa",2012,14.92
"rwa",2013,15.3
"rwa",2014,15.6
"rwa",2015,15.91
"rwa",2016,16.04
"ssd",1990,11.34
"ssd",1991,11.42
"ssd",1992,11.7
"ssd",1993,11.99
"ssd",1994,12.26
"ssd",1995,12.47
"ssd",1996,12.61
"ssd",1997,12.38
"ssd",1998,12.4
"ssd",1999,12.28
"ssd",2000,12.1
"ssd",2001,11.66
"ssd",2002,11.36
"ssd",2003,11.41
"ssd",2004,11.49
"ssd",2005,11.53
"ssd",2006,11.69
"ssd",2007,11.76
"ssd",2008,11.69
"ssd",2009,11.67
"ssd",2010,11.59
"ssd",2011,11.57
"ssd",2012,11.78
"ssd",2013,11.96
"ssd",2014,12.17
"ssd",2015,12.36
"ssd",2016,12.51
"tza",1990,12.54
"tza",1991,12.55
"tza",1992,12.75
"tza",1993,12.87
"tza",1994,13.18
"tza",1995,13.4
"tza",1996,13.49
"tza",1997,13.75
"tza",1998,14.08
"tza",1999,13.89
"tza",2000,13.55
"tza",2001,13.03
"tza",2002,12.63
"tza",2003,12.74
"tza",2004,12.62
"tza",2005,12.54
"tza",2006,12.5
"tza",2007,12.5
"tza",2008,12.45
"tza",2009,12.49
"tza",2010,12.44
"tza",2011,12.53
"tza",2012,12.66
"tza",2013,12.99
"tza",2014,13.19
"tza",2015,13.37
"tza",2016,13.4
"uga",1990,24.43
"uga",1991,25.19
"uga",1992,25.31
"uga",1993,25.47
"uga",1994,25.85
"uga",1995,26.16
"uga",1996,25.49
"uga",1997,25.15
"uga",1998,25.07
"uga",1999,24.92
"uga",2000,25.44
"uga",2001,25.59
"uga",2002,25.52
"uga",2003,25.85
"uga",2004,26.41
"uga",2005,26.62
"uga",2006,27.04
"uga",2007,26.94
"uga",2008,26.63
"uga",2009,26.36
"uga",2010,26.52
"uga",2011,26.46
"uga",2012,26.82
"uga",2013,27.53
"uga",2014,27.71
"uga",2015,27.76
"uga",2016,27.71
