"geo","time","breast_cancer_new_cases_per_100000_women"
"bdi",1990,23.13
"bdi",1991,23.16
"bdi",1992,23.2
"bdi",1993,23.24
"bdi",1994,23.28
"bdi",1995,23.34
"bdi",1996,23.01
"bdi",1997,22.7
"bdi",1998,22.39
"bdi",1999,22.09
"bdi",2000,21.8
"bdi",2001,21.12
"bdi",2002,20.48
"bdi",2003,19.86
"bdi",2004,19.27
"bdi",2005,18.72
"bdi",2006,18.42
"bdi",2007,18.12
"bdi",2008,17.83
"bdi",2009,17.55
"bdi",2010,17.29
"bdi",2011,17.37
"bdi",2012,17.46
"bdi",2013,17.55
"bdi",2014,17.64
"bdi",2015,17.74
"bdi",2016,17.84
"cod",1990,17.78
"cod",1991,17.8
"cod",1992,17.84
"cod",1993,17.87
"cod",1994,17.91
"cod",1995,17.96
"cod",1996,17.87
"cod",1997,17.79
"cod",1998,17.71
"cod",1999,17.63
"cod",2000,17.57
"cod",2001,17.49
"cod",2002,17.42
"cod",2003,17.35
"cod",2004,17.28
"cod",2005,17.23
"cod",2006,17.27
"cod",2007,17.3
"cod",2008,17.34
"cod",2009,17.39
"cod",2010,17.44
"cod",2011,17.42
"cod",2012,17.4
"cod",2013,17.39
"cod",2014,17.38
"cod",2015,17.37
"cod",2016,17.37
"ken",1990,13.06
"ken",1991,13.41
"ken",1992,13.78
"ken",1993,14.16
"ken",1994,14.58
"ken",1995,15.02
"ken",1996,15.23
"ken",1997,15.46
"ken",1998,15.7
"ken",1999,15.95
"ken",2000,16.2
"ken",2001,15.43
"ken",2002,14.73
"ken",2003,14.11
"ken",2004,13.54
"ken",2005,13.04
"ken",2006,13.07
"ken",2007,13.1
"ken",2008,13.15
"ken",2009,13.2
"ken",2010,13.25
"ken",2011,13.45
"ken",2012,13.67
"ken",2013,13.9
"ken",2014,14.13
"ken",2015,14.37
"ken",2016,14.62
"rwa",1990,20.02
"rwa",1991,20.46
"rwa",1992,20.91
"rwa",1993,21.38
"rwa",1994,21.86
"rwa",1995,22.36
"rwa",1996,21.64
"rwa",1997,20.95
"rwa",1998,20.3
"rwa",1999,19.68
"rwa",2000,19.09
"rwa",2001,18.1
"rwa",2002,17.19
"rwa",2003,16.34
"rwa",2004,15.55
"rwa",2005,14.83
"rwa",2006,14.94
"rwa",2007,15.04
"rwa",2008,15.15
"rwa",2009,15.27
"rwa",2010,15.39
"rwa",2011,15.73
"rwa",2012,16.09
"rwa",2013,16.46
"rwa",2014,16.85
"rwa",2015,17.24
"rwa",2016,17.66
"ssd",1990,13.26
"ssd",1991,13.32
"ssd",1992,13.38
"ssd",1993,13.44
"ssd",1994,13.5
"ssd",1995,13.57
"ssd",1996,13.5
"ssd",1997,13.44
"ssd",1998,13.39
"ssd",1999,13.33
"ssd",2000,13.28
"ssd",2001,13.19
"ssd",2002,13.1
"ssd",2003,13.02
"ssd",2004,12.94
"ssd",2005,12.86
"ssd",2006,12.86
"ssd",2007,12.86
"ssd",2008,12.87
"ssd",2009,12.87
"ssd",2010,12.87
"ssd",2011,12.99
"ssd",2012,13.1
"ssd",2013,13.22
"ssd",2014,13.34
"ssd",2015,13.47
"ssd",2016,13.6
"tza",1990,11.1
"tza",1991,11.25
"tza",1992,11.4
"tza",1993,11.56
"tza",1994,11.72
"tza",1995,11.89
"tza",1996,12.01
"tza",1997,12.14
"tza",1998,12.27
"tza",1999,12.4
"tza",2000,12.54
"tza",2001,12.48
"tza",2002,12.43
"tza",2003,12.38
"tza",2004,12.32
"tza",2005,12.27
"tza",2006,12.33
"tza",2007,12.37
"tza",2008,12.43
"tza",2009,12.48
"tza",2010,12.54
"tza",2011,12.73
"tza",2012,12.93
"tza",2013,13.14
"tza",2014,13.36
"tza",2015,13.57
"tza",2016,13.8
"uga",1990,25.06
"uga",1991,25.48
"uga",1992,25.93
"uga",1993,26.38
"uga",1994,26.85
"uga",1995,27.33
"uga",1996,27.6
"uga",1997,27.89
"uga",1998,28.18
"uga",1999,28.47
"uga",2000,28.78
"uga",2001,29.28
"uga",2002,29.79
"uga",2003,30.32
"uga",2004,30.87
"uga",2005,31.43
"uga",2006,31.41
"uga",2007,31.38
"uga",2008,31.36
"uga",2009,31.34
"uga",2010,31.33
"uga",2011,31.58
"uga",2012,31.85
"uga",2013,32.12
"uga",2014,32.39
"uga",2015,32.66
"uga",2016,32.96
