"geo","time","breast_cancer_number_of_female_deaths"
"bdi",1990,282.68
"bdi",1991,286.34
"bdi",1992,291.07
"bdi",1993,295.19
"bdi",1994,299.36
"bdi",1995,303.19
"bdi",1996,306.96
"bdi",1997,300.29
"bdi",1998,294.66
"bdi",1999,286.41
"bdi",2000,281.85
"bdi",2001,273.2
"bdi",2002,270.41
"bdi",2003,272.39
"bdi",2004,278.58
"bdi",2005,284.22
"bdi",2006,288.74
"bdi",2007,292.02
"bdi",2008,299.24
"bdi",2009,308.85
"bdi",2010,324.04
"bdi",2011,337.57
"bdi",2012,350.25
"bdi",2013,362.48
"bdi",2014,376.4
"bdi",2015,390.75
"bdi",2016,404.19
"cod",1990,1336.17
"cod",1991,1388.85
"cod",1992,1431.26
"cod",1993,1457.15
"cod",1994,1506.85
"cod",1995,1576.13
"cod",1996,1717.84
"cod",1997,1607.5
"cod",1998,1657.12
"cod",1999,1665.16
"cod",2000,1713.29
"cod",2001,1816.64
"cod",2002,1847.59
"cod",2003,1939.84
"cod",2004,1956.9
"cod",2005,1982.28
"cod",2006,2051.01
"cod",2007,2133.23
"cod",2008,2209.97
"cod",2009,2267.03
"cod",2010,2323.12
"cod",2011,2396.79
"cod",2012,2494.45
"cod",2013,2547.51
"cod",2014,2619.2
"cod",2015,2710.61
"cod",2016,2788.33
"ken",1990,400.27
"ken",1991,424.4
"ken",1992,457.17
"ken",1993,486.83
"ken",1994,523.01
"ken",1995,552.94
"ken",1996,573.52
"ken",1997,613.8
"ken",1998,642.95
"ken",1999,645.19
"ken",2000,671.86
"ken",2001,647.6
"ken",2002,634.13
"ken",2003,617.37
"ken",2004,606.79
"ken",2005,600.11
"ken",2006,595.13
"ken",2007,609.02
"ken",2008,628.22
"ken",2009,647.47
"ken",2010,674.39
"ken",2011,707.68
"ken",2012,737.97
"ken",2013,771.79
"ken",2014,809.02
"ken",2015,845.34
"ken",2016,887.73
"rwa",1990,255.46
"rwa",1991,263.23
"rwa",1992,252.23
"rwa",1993,241.57
"rwa",1994,237.76
"rwa",1995,238.12
"rwa",1996,250.78
"rwa",1997,265.15
"rwa",1998,285.91
"rwa",1999,300.63
"rwa",2000,302.99
"rwa",2001,296.75
"rwa",2002,289.09
"rwa",2003,282.94
"rwa",2004,278.96
"rwa",2005,278.17
"rwa",2006,287.95
"rwa",2007,296.9
"rwa",2008,311.16
"rwa",2009,329.36
"rwa",2010,350.37
"rwa",2011,368.23
"rwa",2012,384.91
"rwa",2013,410.23
"rwa",2014,435.62
"rwa",2015,463
"rwa",2016,485.48
"ssd",1990,154.96
"ssd",1991,154.15
"ssd",1992,155.06
"ssd",1993,155.65
"ssd",1994,157.45
"ssd",1995,160.24
"ssd",1996,164.88
"ssd",1997,166.63
"ssd",1998,174.87
"ssd",1999,181.7
"ssd",2000,187.43
"ssd",2001,186.45
"ssd",2002,187.95
"ssd",2003,196.18
"ssd",2004,205.63
"ssd",2005,214.85
"ssd",2006,226.99
"ssd",2007,238.25
"ssd",2008,247.8
"ssd",2009,259.56
"ssd",2010,270.51
"ssd",2011,282.08
"ssd",2012,300.49
"ssd",2013,319.25
"ssd",2014,339.33
"ssd",2015,359.13
"ssd",2016,376.13
"tza",1990,690.43
"tza",1991,712.37
"tza",1992,746.88
"tza",1993,779.49
"tza",1994,824.97
"tza",1995,866
"tza",1996,893.19
"tza",1997,932.81
"tza",1998,979.19
"tza",1999,987.64
"tza",2000,984.43
"tza",2001,966.99
"tza",2002,954.9
"tza",2003,985.33
"tza",2004,997.4
"tza",2005,1015.85
"tza",2006,1042.53
"tza",2007,1075.65
"tza",2008,1108.02
"tza",2009,1149.38
"tza",2010,1182.18
"tza",2011,1229.34
"tza",2012,1283.04
"tza",2013,1363.14
"tza",2014,1434.07
"tza",2015,1507.34
"tza",2016,1564.61
"uga",1990,897.06
"uga",1991,956.08
"uga",1992,984.32
"uga",1993,1016.49
"uga",1994,1057.98
"uga",1995,1097.21
"uga",1996,1092.3
"uga",1997,1097.89
"uga",1998,1118.82
"uga",1999,1136.76
"uga",2000,1189.43
"uga",2001,1222.99
"uga",2002,1243.2
"uga",2003,1287.68
"uga",2004,1350.63
"uga",2005,1398.43
"uga",2006,1459.23
"uga",2007,1495.28
"uga",2008,1517.57
"uga",2009,1549.7
"uga",2010,1607.6
"uga",2011,1651.8
"uga",2012,1725.94
"uga",2013,1828.86
"uga",2014,1902.16
"uga",2015,1972.98
"uga",2016,2038.11
