"geo","time","breast_cancer_number_of_new_female_cases"
"bdi",1990,323.35
"bdi",1991,330.02
"bdi",1992,337.13
"bdi",1993,344.23
"bdi",1994,351.04
"bdi",1995,357.57
"bdi",1996,354.53
"bdi",1997,350.96
"bdi",1998,347.49
"bdi",1999,344.78
"bdi",2000,343.43
"bdi",2001,339.61
"bdi",2002,338.12
"bdi",2003,338.44
"bdi",2004,339.78
"bdi",2005,341.9
"bdi",2006,347.91
"bdi",2007,354.32
"bdi",2008,361.38
"bdi",2009,368.94
"bdi",2010,377.16
"bdi",2011,391.25
"bdi",2012,406.48
"bdi",2013,422.61
"bdi",2014,440.04
"bdi",2015,458.95
"bdi",2016,478.82
"cod",1990,1628.18
"cod",1991,1679.95
"cod",1992,1739.47
"cod",1993,1803
"cod",1994,1866.88
"cod",1995,1930.28
"cod",1996,1961.11
"cod",1997,1990.04
"cod",1998,2019.08
"cod",1999,2051.84
"cod",2000,2091.32
"cod",2001,2126.67
"cod",2002,2169.46
"cod",2003,2218.64
"cod",2004,2272.59
"cod",2005,2332.8
"cod",2006,2400.66
"cod",2007,2473.33
"cod",2008,2554.9
"cod",2009,2641.93
"cod",2010,2735.42
"cod",2011,2810.35
"cod",2012,2891.91
"cod",2013,2978.81
"cod",2014,3071.81
"cod",2015,3171.1
"cod",2016,3270.25
"ken",1990,615.22
"ken",1991,653.15
"ken",1992,696.1
"ken",1993,743.82
"ken",1994,795.88
"ken",1995,852.86
"ken",1996,896.43
"ken",1997,941.55
"ken",1998,988.69
"ken",1999,1038.77
"ken",2000,1092.17
"ken",2001,1071.85
"ken",2002,1055.89
"ken",2003,1043.34
"ken",2004,1033.25
"ken",2005,1025.79
"ken",2006,1059.15
"ken",2007,1094.96
"ken",2008,1134.77
"ken",2009,1178
"ken",2010,1223.31
"ken",2011,1287.85
"ken",2012,1358.89
"ken",2013,1435.9
"ken",2014,1519.35
"ken",2015,1609.47
"ken",2016,1705.58
"rwa",1990,311.64
"rwa",1991,312.24
"rwa",1992,309.16
"rwa",1993,306.12
"rwa",1994,308.22
"rwa",1995,318.73
"rwa",1996,323.71
"rwa",1997,336.11
"rwa",1998,353.57
"rwa",1999,368.49
"rwa",2000,378.35
"rwa",2001,372.28
"rwa",2002,363.52
"rwa",2003,352.53
"rwa",2004,343.13
"rwa",2005,336.31
"rwa",2006,349.97
"rwa",2007,365.08
"rwa",2008,381.44
"rwa",2009,398.55
"rwa",2010,416.47
"rwa",2011,440.09
"rwa",2012,466.04
"rwa",2013,495.12
"rwa",2014,526.73
"rwa",2015,560.95
"rwa",2016,597.07
"ssd",1990,198.61
"ssd",1991,196.7
"ssd",1992,193.84
"ssd",1993,191.16
"ssd",1994,189.98
"ssd",1995,191.18
"ssd",1996,194.03
"ssd",1997,200.19
"ssd",1998,208.65
"ssd",1999,217.79
"ssd",2000,226.88
"ssd",2001,233.44
"ssd",2002,240.12
"ssd",2003,247.28
"ssd",2004,255.24
"ssd",2005,264.33
"ssd",2006,275.12
"ssd",2007,286.92
"ssd",2008,300.12
"ssd",2009,314.4
"ssd",2010,329.79
"ssd",2011,347.49
"ssd",2012,366.75
"ssd",2013,387.06
"ssd",2014,407.79
"ssd",2015,428.61
"ssd",2016,447.62
"tza",1990,670.27
"tza",1991,699.57
"tza",1992,731.85
"tza",1993,766.57
"tza",1994,802.8
"tza",1995,840.39
"tza",1996,870.2
"tza",1997,900.78
"tza",1998,932.72
"tza",1999,965.99
"tza",2000,1001.1
"tza",2001,1019.27
"tza",2002,1037.82
"tza",2003,1057.11
"tza",2004,1078.58
"tza",2005,1103.24
"tza",2006,1140.64
"tza",2007,1182.4
"tza",2008,1228.94
"tza",2009,1276.95
"tza",2010,1326.19
"tza",2011,1393.72
"tza",2012,1464.86
"tza",2013,1540.28
"tza",2014,1620.75
"tza",2015,1706.94
"tza",2016,1797.16
"uga",1990,1014.92
"uga",1991,1059.77
"uga",1992,1106.69
"uga",1993,1155.72
"uga",1994,1206.9
"uga",1995,1260.91
"uga",1996,1300.43
"uga",1997,1342.35
"uga",1998,1386.82
"uga",1999,1433.19
"uga",2000,1481.81
"uga",2001,1541.46
"uga",2002,1604.95
"uga",2003,1672.87
"uga",2004,1745.31
"uga",2005,1823.01
"uga",2006,1871.7
"uga",2007,1924.48
"uga",2008,1982.39
"uga",2009,2043.81
"uga",2010,2108.97
"uga",2011,2193.27
"uga",2012,2284.3
"uga",2013,2381.33
"uga",2014,2486.32
"uga",2015,2599.8
"uga",2016,2720.33
