"geo","time","broadband_subscribers"
"bdi",2008,160
"bdi",2009,160
"bdi",2010,352
"bdi",2011,497
"bdi",2012,702
"bdi",2013,1534
"bdi",2014,1700
"bdi",2015,3639
"bdi",2016,3945
"bdi",2017,3914
"cod",2010,0
"cod",2013,450
"cod",2014,500
"cod",2015,1000
"cod",2016,1000
"cod",2017,1000
"ken",2005,5399
"ken",2006,17723
"ken",2007,17737
"ken",2008,3282
"ken",2009,18200
"ken",2010,6866
"ken",2011,54144
"ken",2012,54348
"ken",2013,74144
"ken",2014,101813
"ken",2015,135107
"ken",2016,152992
"ken",2017,288303
"rwa",2004,1148
"rwa",2005,1180
"rwa",2006,1704
"rwa",2007,2543
"rwa",2008,1120
"rwa",2009,2214
"rwa",2010,3942
"rwa",2011,8645
"rwa",2012,5498
"rwa",2013,2781
"rwa",2014,2917
"rwa",2015,21125
"rwa",2016,21721
"rwa",2017,21780
"ssd",2010,2
"ssd",2011,4
"ssd",2012,17
"ssd",2013,100
"ssd",2014,100
"ssd",2015,150
"ssd",2016,150
"tza",2005,2589
"tza",2006,2998
"tza",2007,3394
"tza",2008,6422
"tza",2009,6947
"tza",2010,7554
"tza",2011,28268
"tza",2012,41325
"tza",2013,56425
"tza",2014,84600
"tza",2015,106000
"tza",2016,1848167
"tza",2017,1848167
"uga",2005,850
"uga",2006,1210
"uga",2007,1860
"uga",2008,4798
"uga",2009,6000
"uga",2010,14000
"uga",2011,35514
"uga",2012,38400
"uga",2013,41500
"uga",2014,55198
"uga",2015,80724
"uga",2016,108259
"uga",2017,145765
