"geo","time","broadband_subscribers_per_100_people"
"bdi",2008,0.00195
"bdi",2009,0.00188
"bdi",2010,0.00402
"bdi",2011,0.0055
"bdi",2012,0.00753
"bdi",2013,0.01598
"bdi",2014,0.01719
"bdi",2015,0.03568
"bdi",2016,0.03749
"bdi",2017,0.03603
"cod",2010,0
"cod",2013,0.00063
"cod",2014,0.00068
"cod",2015,0.00131
"cod",2016,0.00127
"cod",2017,0.00123
"ken",2005,0.01498
"ken",2006,0.04783
"ken",2007,0.04657
"ken",2008,0.00838
"ken",2009,0.04523
"ken",2010,0.0166
"ken",2011,0.12744
"ken",2012,0.12452
"ken",2013,0.1654
"ken",2014,0.22122
"ken",2015,0.28602
"ken",2016,0.3157
"ken",2017,0.58009
"rwa",2004,0.01302
"rwa",2005,0.01312
"rwa",2006,0.01851
"rwa",2007,0.02692
"rwa",2008,0.01154
"rwa",2009,0.02219
"rwa",2010,0.03847
"rwa",2011,0.08221
"rwa",2012,0.05096
"rwa",2013,0.02513
"rwa",2014,0.02571
"rwa",2015,0.18165
"rwa",2016,0.18226
"rwa",2017,0.1784
"ssd",2010,2e-05
"ssd",2011,4e-05
"ssd",2012,0.00016
"ssd",2013,0.00089
"ssd",2014,0.00087
"ssd",2015,0.00126
"ssd",2016,0.00123
"tza",2005,0.00657
"tza",2006,0.00738
"tza",2007,0.0081
"tza",2008,0.01484
"tza",2009,0.01555
"tza",2010,0.01639
"tza",2011,0.05942
"tza",2012,0.08419
"tza",2013,0.11143
"tza",2014,0.16196
"tza",2015,0.19673
"tza",2016,3.3257
"tza",2017,3.22486
"uga",2005,0.00298
"uga",2006,0.00409
"uga",2007,0.00608
"uga",2008,0.01515
"uga",2009,0.01831
"uga",2010,0.04128
"uga",2011,0.1012
"uga",2012,0.10577
"uga",2013,0.11051
"uga",2014,0.14214
"uga",2015,0.20108
"uga",2016,0.26094
"uga",2017,0.34007
