"geo","time","burns_deaths_per_100000_people"
"bdi",1990,16.41
"bdi",1991,16.33
"bdi",1992,16.25
"bdi",1993,16.15
"bdi",1994,16.02
"bdi",1995,15.91
"bdi",1996,15.69
"bdi",1997,15.24
"bdi",1998,14.73
"bdi",1999,13.96
"bdi",2000,13.37
"bdi",2001,12.45
"bdi",2002,11.9
"bdi",2003,11.38
"bdi",2004,10.95
"bdi",2005,10.65
"bdi",2006,10.22
"bdi",2007,9.88
"bdi",2008,9.6
"bdi",2009,9.32
"bdi",2010,9.16
"bdi",2011,9.15
"bdi",2012,9.12
"bdi",2013,9.11
"bdi",2014,9.07
"bdi",2015,9.01
"bdi",2016,8.96
"cod",1990,7.31
"cod",1991,7.3
"cod",1992,7.23
"cod",1993,7.07
"cod",1994,7.03
"cod",1995,7.04
"cod",1996,7.19
"cod",1997,6.94
"cod",1998,6.93
"cod",1999,6.84
"cod",2000,7.15
"cod",2001,6.84
"cod",2002,6.7
"cod",2003,6.74
"cod",2004,6.53
"cod",2005,6.4
"cod",2006,6.34
"cod",2007,6.29
"cod",2008,6.26
"cod",2009,6.21
"cod",2010,6.16
"cod",2011,6.13
"cod",2012,6.14
"cod",2013,6.07
"cod",2014,6
"cod",2015,5.96
"cod",2016,5.87
"ken",1990,6.79
"ken",1991,6.79
"ken",1992,6.84
"ken",1993,6.84
"ken",1994,6.81
"ken",1995,6.74
"ken",1996,6.65
"ken",1997,6.61
"ken",1998,6.68
"ken",1999,6.39
"ken",2000,6.35
"ken",2001,6.45
"ken",2002,6.12
"ken",2003,6.11
"ken",2004,5.98
"ken",2005,5.83
"ken",2006,5.69
"ken",2007,5.61
"ken",2008,5.51
"ken",2009,5.62
"ken",2010,5.4
"ken",2011,5.37
"ken",2012,5.31
"ken",2013,5.23
"ken",2014,5.14
"ken",2015,5.06
"ken",2016,5.07
"rwa",1990,13.36
"rwa",1991,13.67
"rwa",1992,13.85
"rwa",1993,14.04
"rwa",1994,14.28
"rwa",1995,14.48
"rwa",1996,14.38
"rwa",1997,14.14
"rwa",1998,13.66
"rwa",1999,12.87
"rwa",2000,12.03
"rwa",2001,11.14
"rwa",2002,10.42
"rwa",2003,9.83
"rwa",2004,9.49
"rwa",2005,9.01
"rwa",2006,8.59
"rwa",2007,8.22
"rwa",2008,7.89
"rwa",2009,7.63
"rwa",2010,7.44
"rwa",2011,7.27
"rwa",2012,7.14
"rwa",2013,7.06
"rwa",2014,7.01
"rwa",2015,6.92
"rwa",2016,6.87
"ssd",1990,11.38
"ssd",1991,11.19
"ssd",1992,11.22
"ssd",1993,11.28
"ssd",1994,11.32
"ssd",1995,11.31
"ssd",1996,11.23
"ssd",1997,10.94
"ssd",1998,11.76
"ssd",1999,10.61
"ssd",2000,10.36
"ssd",2001,9.89
"ssd",2002,9.53
"ssd",2003,9.41
"ssd",2004,9.35
"ssd",2005,9.38
"ssd",2006,9.37
"ssd",2007,9.37
"ssd",2008,9.25
"ssd",2009,9.11
"ssd",2010,8.88
"ssd",2011,8.68
"ssd",2012,8.57
"ssd",2013,8.55
"ssd",2014,8.51
"ssd",2015,8.5
"ssd",2016,8.46
"tza",1990,10.52
"tza",1991,10.35
"tza",1992,10.28
"tza",1993,10.17
"tza",1994,10.32
"tza",1995,9.93
"tza",1996,9.74
"tza",1997,9.58
"tza",1998,9.46
"tza",1999,9.25
"tza",2000,8.95
"tza",2001,8.64
"tza",2002,8.42
"tza",2003,8.39
"tza",2004,8.34
"tza",2005,8.22
"tza",2006,8.09
"tza",2007,8.04
"tza",2008,7.94
"tza",2009,7.82
"tza",2010,7.67
"tza",2011,7.58
"tza",2012,7.55
"tza",2013,7.51
"tza",2014,7.36
"tza",2015,7.27
"tza",2016,7.17
"uga",1990,11.74
"uga",1991,11.83
"uga",1992,11.65
"uga",1993,11.55
"uga",1994,11.47
"uga",1995,11.29
"uga",1996,11.17
"uga",1997,10.89
"uga",1998,10.73
"uga",1999,10.48
"uga",2000,10.34
"uga",2001,10.39
"uga",2002,9.96
"uga",2003,9.74
"uga",2004,9.55
"uga",2005,9.36
"uga",2006,9.28
"uga",2007,9.11
"uga",2008,8.88
"uga",2009,8.69
"uga",2010,8.5
"uga",2011,8.37
"uga",2012,8.34
"uga",2013,8.34
"uga",2014,8.2
"uga",2015,7.98
"uga",2016,7.87
