"geo","time","cell_phones_per_100_people"
"bdi",1960,0
"bdi",1965,0
"bdi",1970,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,0
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,0
"bdi",1993,0.00612
"bdi",1994,0.00644
"bdi",1995,0.00946
"bdi",1996,0.00929
"bdi",1997,0.01013
"bdi",1998,0.01002
"bdi",1999,0.01274
"bdi",2000,0.25497
"bdi",2001,0.50971
"bdi",2002,0.77133
"bdi",2003,0.92045
"bdi",2004,1.40008
"bdi",2005,2.06108
"bdi",2006,2.60575
"bdi",2007,3.40069
"bdi",2008,5.85203
"bdi",2009,10.84634
"bdi",2010,19.14044
"bdi",2011,21.17083
"bdi",2012,24.11154
"bdi",2013,26.42481
"bdi",2014,32.28189
"bdi",2015,49.00053
"bdi",2016,50.90989
"bdi",2017,54.4963
"cod",1960,0
"cod",1965,0
"cod",1970,0
"cod",1975,0
"cod",1976,0
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,0
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,0
"cod",1995,0.02043
"cod",1996,0.01683
"cod",1997,0.02031
"cod",1998,0.0223
"cod",1999,0.02614
"cod",2000,0.03186
"cod",2001,0.30995
"cod",2002,1.12369
"cod",2003,2.42503
"cod",2004,3.75366
"cod",2005,5.01556
"cod",2006,7.80905
"cod",2007,11.28428
"cod",2008,16.46021
"cod",2009,15.15565
"cod",2010,18.31951
"cod",2011,23.45081
"cod",2012,29.12882
"cod",2013,39.58703
"cod",2014,50.32762
"cod",2015,49.54653
"cod",2016,36.6913
"cod",2017,43.3614
"ken",1960,0
"ken",1965,0
"ken",1970,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,0
"ken",1992,0.00441
"ken",1993,0.00451
"ken",1994,0.0075
"ken",1995,0.00833
"ken",1996,0.01004
"ken",1997,0.02337
"ken",1998,0.03613
"ken",1999,0.07764
"ken",2000,0.40509
"ken",2001,1.85635
"ken",2002,3.57416
"ken",2003,4.66084
"ken",2004,7.25919
"ken",2005,12.79387
"ken",2006,19.81083
"ken",2007,29.7995
"ken",2008,41.64555
"ken",2009,48.12601
"ken",2010,60.38404
"ken",2011,66.09287
"ken",2012,70.41037
"ken",2013,71.00656
"ken",2014,73.07589
"ken",2015,79.84532
"ken",2016,80.43939
"ken",2017,86.14734
"rwa",1960,0
"rwa",1965,0
"rwa",1970,0
"rwa",1975,0
"rwa",1976,0
"rwa",1977,0
"rwa",1978,0
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,0
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,0
"rwa",1990,0
"rwa",1991,0
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,0
"rwa",1997,0
"rwa",1998,0.07082
"rwa",1999,0.14487
"rwa",2000,0.48594
"rwa",2001,0.78037
"rwa",2002,0.96519
"rwa",2003,1.50593
"rwa",2004,1.55664
"rwa",2005,2.47981
"rwa",2006,3.41279
"rwa",2007,6.72287
"rwa",2008,13.62396
"rwa",2009,24.34743
"rwa",2010,34.63273
