"geo","time","cell_phones_total"
"bdi",1960,0
"bdi",1965,0
"bdi",1970,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,0
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,0
"bdi",1993,353
"bdi",1994,378
"bdi",1995,564
"bdi",1996,561
"bdi",1997,619
"bdi",1998,620
"bdi",1999,800
"bdi",2000,16320
"bdi",2001,33416
"bdi",2002,52000
"bdi",2003,64000
"bdi",2004,100560
"bdi",2005,153000
"bdi",2006,2e+05
"bdi",2007,270000
"bdi",2008,480584
"bdi",2009,920749
"bdi",2010,1678029
"bdi",2011,1914586
"bdi",2012,2247126
"bdi",2013,2536831
"bdi",2014,3193257
"bdi",2015,4997696
"bdi",2016,5357816
"bdi",2017,5920612
"cod",1960,0
"cod",1965,0
"cod",1970,0
"cod",1975,0
"cod",1976,0
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,0
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,0
"cod",1995,8500
"cod",1996,7200
"cod",1997,8900
"cod",1998,10000
"cod",1999,12000
"cod",2000,15000
"cod",2001,150000
"cod",2002,560000
"cod",2003,1246225
"cod",2004,1990722
"cod",2005,2746094
"cod",2006,4415470
"cod",2007,6592000
"cod",2008,9937622
"cod",2009,9458557
"cod",2010,11820348
"cod",2011,15644877
"cod",2012,20092678
"cod",2013,28231900
"cod",2014,37102958
"cod",2015,37752782
"cod",2016,28889317
"cod",2017,35270156
"ken",1960,0
"ken",1965,0
"ken",1970,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,0
"ken",1992,1100
"ken",1993,1162
"ken",1994,1990
"ken",1995,2279
"ken",1996,2826
"ken",1997,6767
"ken",1998,10756
"ken",1999,23757
"ken",2000,127404
"ken",2001,6e+05
"ken",2002,1187122
"ken",2003,1590785
"ken",2004,2546157
"ken",2005,4611970
"ken",2006,7340317
"ken",2007,11349412
"ken",2008,16303573
"ken",2009,19364559
"ken",2010,24968891
"ken",2011,28080771
"ken",2012,30731754
"ken",2013,31830003
"ken",2014,33632631
"ken",2015,37715944
"ken",2016,38982188
"ken",2017,42815109
"rwa",1960,0
"rwa",1965,0
"rwa",1970,0
"rwa",1975,0
"rwa",1976,0
"rwa",1977,0
"rwa",1978,0
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,0
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,0
"rwa",1990,0
"rwa",1991,0
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,0
"rwa",1997,0
"rwa",1998,5000
"rwa",1999,11000
"rwa",2000,39000
"rwa",2001,65000
"rwa",2002,82391
"rwa",2003,130720
"rwa",2004,137271
"rwa",2005,222978
"rwa",2006,314201
"rwa",2007,635137
"rwa",2008,1322637
"rwa",2009,2429252
"rwa",2010,3548761
"rwa",2011,4446194
"rwa",2012,5690751
"rwa",2013,6689158
"rwa",2014,7747019
"rwa",2015,8759619
"rwa",2016,8921533
"rwa",2017,8819217
"ssd",2010,1500000
"ssd",2011,1800000
"ssd",2012,2300000
"ssd",2013,2853228
"ssd",2014,2876097
