"geo","time","central_bank_discount_rate_annual_percent"
"bdi",1974,6
"bdi",1975,6
"bdi",1976,6
"bdi",1977,6
"bdi",1978,6
"bdi",1979,7
"bdi",1980,7
"bdi",1981,7
"bdi",1982,7
"bdi",1983,7
"bdi",1984,7
"bdi",1985,7
"bdi",1986,5
"bdi",1987,7
"bdi",1988,7
"bdi",1989,7
"bdi",1990,9
"bdi",1991,10
"bdi",1992,11
"bdi",1993,10
"bdi",1994,10
"bdi",1995,10
"bdi",1996,10
"bdi",1997,12
"bdi",1998,12
"bdi",1999,12
"bdi",2000,14
"bdi",2001,14
"bdi",2002,16
"bdi",2003,15
"bdi",2004,15
"bdi",2005,15
"bdi",2006,11
"cod",1978,12
"cod",1979,12
"cod",1980,12
"cod",1981,12
"cod",1982,15
"cod",1983,20
"cod",1984,20
"cod",1985,26
"cod",1986,26
"cod",1987,29
"cod",1988,37
"cod",1989,50
"cod",1990,45
"cod",1991,55
"cod",1992,55
"cod",1993,95
"cod",1994,145
"cod",1995,125
"cod",1996,238
"cod",1997,13
"cod",1998,22
"cod",1999,120
"cod",2000,120
"cod",2001,140
"cod",2002,24
"cod",2003,8
"ken",1967,7
"ken",1968,7
"ken",1969,7
"ken",1970,7
"ken",1971,7
"ken",1972,7
"ken",1973,7
"ken",1974,7
"ken",1975,7
"ken",1976,7
"ken",1977,7
"ken",1978,8
"ken",1979,8
"ken",1980,8
"ken",1981,13
"ken",1982,15
"ken",1983,15
"ken",1984,13
"ken",1985,13
"ken",1986,13
"ken",1987,13
"ken",1988,16
"ken",1989,17
"ken",1990,19
"ken",1991,20
"ken",1992,20
"ken",1993,46
"ken",1994,22
"ken",1995,25
"ken",1996,27
"ken",1997,32
"ken",1998,17
"ken",1999,26
"rwa",1964,5
"rwa",1965,5
"rwa",1966,5
"rwa",1967,5
"rwa",1968,5
"rwa",1969,5
"rwa",1970,5
"rwa",1971,5
"rwa",1972,5
"rwa",1973,5
"rwa",1974,5
"rwa",1975,5
"rwa",1976,5
"rwa",1977,5
"rwa",1978,5
"rwa",1979,9
"rwa",1980,9
"rwa",1981,9
"rwa",1982,9
"rwa",1983,9
"rwa",1984,9
"rwa",1985,9
"rwa",1986,9
"rwa",1987,9
"rwa",1988,9
"rwa",1989,9
"rwa",1990,14
"rwa",1991,14
"rwa",1992,11
"rwa",1993,11
"rwa",1994,11
"rwa",1995,16
"rwa",1996,16
"rwa",1997,11
"rwa",1998,11
"rwa",1999,11
"rwa",2000,12
"rwa",2001,13
"rwa",2002,13
"rwa",2003,15
"rwa",2004,15
"rwa",2005,13
"tza",1972,4
"tza",1973,4
"tza",1974,5
"tza",1975,5
"tza",1976,5
"tza",1977,5
"tza",1978,5
"tza",1979,5
"tza",1980,5
"tza",1981,4
"tza",1982,4
"tza",1983,4
"tza",1984,4
"tza",1985,5
"tza",1986,8
"tza",1987,13
"tza",1988,15
"tza",1989,16
"tza",1992,15
"tza",1993,15
"tza",1994,68
"tza",1995,48
"tza",1996,19
"tza",1997,16
"tza",1998,18
"tza",1999,20
"tza",2000,11
"tza",2001,9
"tza",2002,9
"tza",2003,12
"tza",2004,14
"tza",2005,19
"tza",2006,20
"uga",1980,8
"uga",1981,10
"uga",1982,11
"uga",1983,16
"uga",1984,24
"uga",1985,24
"uga",1986,36
"uga",1987,31
"uga",1988,45
"uga",1989,55
"uga",1990,50
"uga",1991,46
"uga",1992,41
"uga",1993,24
"uga",1994,15
"uga",1995,13
"uga",1996,16
"uga",1997,14
"uga",1998,9
"uga",1999,16
"uga",2000,19
"uga",2001,9
"uga",2002,13
"uga",2003,26
"uga",2004,16
"uga",2005,14
"uga",2006,16
