"geo","time","cervical_cancer_deaths_per_100000_women"
"bdi",1990,51.71
"bdi",1991,51.21
"bdi",1992,50.93
"bdi",1993,50.7
"bdi",1994,50.71
"bdi",1995,50.84
"bdi",1996,51.36
"bdi",1997,50.47
"bdi",1998,49.59
"bdi",1999,48.39
"bdi",2000,47.38
"bdi",2001,45.13
"bdi",2002,43.44
"bdi",2003,42.21
"bdi",2004,41.37
"bdi",2005,40.4
"bdi",2006,39.3
"bdi",2007,38.06
"bdi",2008,37.3
"bdi",2009,36.76
"bdi",2010,36.63
"bdi",2011,36.59
"bdi",2012,36.41
"bdi",2013,36.16
"bdi",2014,35.92
"bdi",2015,35.64
"bdi",2016,35.4
"cod",1990,25.8
"cod",1991,25.89
"cod",1992,25.74
"cod",1993,25.35
"cod",1994,25.41
"cod",1995,25.7
"cod",1996,27.41
"cod",1997,25.32
"cod",1998,25.63
"cod",1999,25.2
"cod",2000,25.47
"cod",2001,26.31
"cod",2002,26.1
"cod",2003,26.59
"cod",2004,26.03
"cod",2005,25.54
"cod",2006,25.67
"cod",2007,25.87
"cod",2008,25.85
"cod",2009,25.53
"cod",2010,25.12
"cod",2011,24.92
"cod",2012,24.86
"cod",2013,24.44
"cod",2014,24.16
"cod",2015,23.88
"cod",2016,23.6
"ken",1990,19.84
"ken",1991,19.94
"ken",1992,20.3
"ken",1993,20.44
"ken",1994,20.78
"ken",1995,20.72
"ken",1996,20.29
"ken",1997,20.59
"ken",1998,20.44
"ken",1999,19.82
"ken",2000,19.62
"ken",2001,18.75
"ken",2002,19.97
"ken",2003,19.61
"ken",2004,18.93
"ken",2005,18.12
"ken",2006,17.35
"ken",2007,16.96
"ken",2008,16.68
"ken",2009,16.32
"ken",2010,16.07
"ken",2011,15.91
"ken",2012,15.64
"ken",2013,15.42
"ken",2014,15.22
"ken",2015,15.02
"ken",2016,14.91
"rwa",1990,43.46
"rwa",1991,44.49
"rwa",1992,43.53
"rwa",1993,42.95
"rwa",1994,43.04
"rwa",1995,42.98
"rwa",1996,42.82
"rwa",1997,42.06
"rwa",1998,41.34
"rwa",1999,40.43
"rwa",2000,38.45
"rwa",2001,36.22
"rwa",2002,34.02
"rwa",2003,32.32
"rwa",2004,30.7
"rwa",2005,29.16
"rwa",2006,28.39
"rwa",2007,27.5
"rwa",2008,27.01
"rwa",2009,26.75
"rwa",2010,26.65
"rwa",2011,26.33
"rwa",2012,25.9
"rwa",2013,25.88
"rwa",2014,25.75
"rwa",2015,25.65
"rwa",2016,25.67
"ssd",1990,42.84
"ssd",1991,42.75
"ssd",1992,43.43
"ssd",1993,44.11
"ssd",1994,44.79
"ssd",1995,45.26
"ssd",1996,45.04
"ssd",1997,43.93
"ssd",1998,43.69
"ssd",1999,42.77
"ssd",2000,41.81
"ssd",2001,39.99
"ssd",2002,38.78
"ssd",2003,38.67
"ssd",2004,38.55
"ssd",2005,38.39
"ssd",2006,38.18
"ssd",2007,37.84
"ssd",2008,37.37
"ssd",2009,36.83
"ssd",2010,36.31
"ssd",2011,36.06
"ssd",2012,36.19
"ssd",2013,36.64
"ssd",2014,37.08
"ssd",2015,37.41
"ssd",2016,37.73
"tza",1990,37.87
"tza",1991,37.59
"tza",1992,38.05
"tza",1993,38.32
"tza",1994,39.13
"tza",1995,39.37
"tza",1996,39.08
"tza",1997,39.26
"tza",1998,39.66
"tza",1999,38.91
"tza",2000,37.77
"tza",2001,35.99
"tza",2002,34.6
"tza",2003,34.65
"tza",2004,33.99
"tza",2005,33.44
"tza",2006,32.9
"tza",2007,32.63
"tza",2008,32.18
"tza",2009,31.93
"tza",2010,31.36
"tza",2011,31.06
"tza",2012,30.89
"tza",2013,31.16
"tza",2014,31.07
"tza",2015,30.87
"tza",2016,30.57
"uga",1990,40.57
"uga",1991,41.3
"uga",1992,40.3
"uga",1993,40.77
"uga",1994,42.19
"uga",1995,41.72
"uga",1996,39.51
"uga",1997,38.52
"uga",1998,38
"uga",1999,37.51
"uga",2000,38.34
"uga",2001,38.08
"uga",2002,37.97
"uga",2003,37.85
"uga",2004,38.41
"uga",2005,39.04
"uga",2006,39.74
"uga",2007,39.35
"uga",2008,37.91
"uga",2009,37.29
"uga",2010,37.1
"uga",2011,37.03
"uga",2012,36.85
"uga",2013,36.82
"uga",2014,36.23
"uga",2015,35.46
"uga",2016,34.93
