"geo","time","cervical_cancer_new_cases_per_100000_women"
"bdi",1990,74.7
"bdi",1991,74.45
"bdi",1992,74.35
"bdi",1993,74.36
"bdi",1994,74.52
"bdi",1995,74.75
"bdi",1996,75.24
"bdi",1997,74.13
"bdi",1998,72.97
"bdi",1999,71.91
"bdi",2000,70.78
"bdi",2001,67.51
"bdi",2002,64.68
"bdi",2003,62.34
"bdi",2004,60.35
"bdi",2005,58.39
"bdi",2006,56.08
"bdi",2007,53.91
"bdi",2008,52.4
"bdi",2009,51.44
"bdi",2010,50.7
"bdi",2011,50.22
"bdi",2012,49.82
"bdi",2013,49.51
"bdi",2014,49.2
"bdi",2015,49.03
"bdi",2016,48.98
"cod",1990,41.53
"cod",1991,41.37
"cod",1992,41.17
"cod",1993,40.83
"cod",1994,41.1
"cod",1995,41.11
"cod",1996,43.05
"cod",1997,40.65
"cod",1998,40.61
"cod",1999,39.62
"cod",2000,39.93
"cod",2001,40.33
"cod",2002,39.68
"cod",2003,39.87
"cod",2004,39.06
"cod",2005,38.32
"cod",2006,38.28
"cod",2007,38.49
"cod",2008,38.27
"cod",2009,37.76
"cod",2010,37.37
"cod",2011,37
"cod",2012,36.66
"cod",2013,36.01
"cod",2014,35.39
"cod",2015,34.8
"cod",2016,34.26
"ken",1990,37.42
"ken",1991,37.27
"ken",1992,37.4
"ken",1993,37.35
"ken",1994,37.53
"ken",1995,37.29
"ken",1996,36.61
"ken",1997,36.79
"ken",1998,36.42
"ken",1999,35.67
"ken",2000,35.24
"ken",2001,33.92
"ken",2002,36.12
"ken",2003,35.28
"ken",2004,34.4
"ken",2005,33.35
"ken",2006,32.26
"ken",2007,31.54
"ken",2008,31.04
"ken",2009,30.42
"ken",2010,29.97
"ken",2011,29.49
"ken",2012,29.03
"ken",2013,28.63
"ken",2014,28.26
"ken",2015,27.87
"ken",2016,27.53
"rwa",1990,65.21
"rwa",1991,67.04
"rwa",1992,66.85
"rwa",1993,67.29
"rwa",1994,68.4
"rwa",1995,69.22
"rwa",1996,68.59
"rwa",1997,66.54
"rwa",1998,63.83
"rwa",1999,61.07
"rwa",2000,57.08
"rwa",2001,52.81
"rwa",2002,48.93
"rwa",2003,45.86
"rwa",2004,43.02
"rwa",2005,40.6
"rwa",2006,38.9
"rwa",2007,37.52
"rwa",2008,36.65
"rwa",2009,36.03
"rwa",2010,35.7
"rwa",2011,35.28
"rwa",2012,34.86
"rwa",2013,34.81
"rwa",2014,34.68
"rwa",2015,34.6
"rwa",2016,34.61
"ssd",1990,73.57
"ssd",1991,72.86
"ssd",1992,72.56
"ssd",1993,72.08
"ssd",1994,71.79
"ssd",1995,71.59
"ssd",1996,69.74
"ssd",1997,68.54
"ssd",1998,67.05
"ssd",1999,64.56
"ssd",2000,62.8
"ssd",2001,60.93
"ssd",2002,59.78
"ssd",2003,58.84
"ssd",2004,57.67
"ssd",2005,56.98
"ssd",2006,55.32
"ssd",2007,54.02
"ssd",2008,53.69
"ssd",2009,52.94
"ssd",2010,52.91
"ssd",2011,52.94
"ssd",2012,52.52
"ssd",2013,52.95
"ssd",2014,53.2
"ssd",2015,53.45
"ssd",2016,53.68
"tza",1990,46.18
"tza",1991,45.9
"tza",1992,46.31
"tza",1993,46.47
"tza",1994,47.14
"tza",1995,47.45
"tza",1996,47.18
"tza",1997,47.24
"tza",1998,47.47
"tza",1999,47.08
"tza",2000,46.27
"tza",2001,44.87
"tza",2002,43.71
"tza",2003,43.55
"tza",2004,42.93
"tza",2005,42.44
"tza",2006,41.61
"tza",2007,41.29
"tza",2008,40.82
"tza",2009,40.57
"tza",2010,40.02
"tza",2011,39.56
"tza",2012,39.27
"tza",2013,39.26
"tza",2014,39.07
"tza",2015,38.76
"tza",2016,38.37
"uga",1990,54.95
"uga",1991,55.19
"uga",1992,54.12
"uga",1993,55.07
"uga",1994,57.4
"uga",1995,57.58
"uga",1996,54.65
"uga",1997,53.94
"uga",1998,53.74
"uga",1999,53.79
"uga",2000,55.52
"uga",2001,55.3
"uga",2002,55.64
"uga",2003,55.77
"uga",2004,56.33
"uga",2005,57.14
"uga",2006,57.49
"uga",2007,56.6
"uga",2008,54.65
"uga",2009,53.42
"uga",2010,52.99
"uga",2011,52.52
"uga",2012,52.12
"uga",2013,51.32
"uga",2014,50.46
"uga",2015,49.59
"uga",2016,48.92
