"geo","time","cervical_cancer_number_of_female_deaths"
"bdi",1990,668.2
"bdi",1991,673.01
"bdi",1992,681.5
"bdi",1993,690.8
"bdi",1994,702.95
"bdi",1995,715.88
"bdi",1996,729.1
"bdi",1997,717.91
"bdi",1998,707.49
"bdi",1999,694.35
"bdi",2000,686.17
"bdi",2001,664.88
"bdi",2002,655.58
"bdi",2003,656.38
"bdi",2004,665.08
"bdi",2005,672.5
"bdi",2006,675.28
"bdi",2007,675.84
"bdi",2008,685.56
"bdi",2009,700.91
"bdi",2010,726.24
"bdi",2011,749.09
"bdi",2012,770.75
"bdi",2013,791.42
"bdi",2014,813.99
"bdi",2015,836.77
"bdi",2016,860.95
"cod",1990,2224.64
"cod",1991,2303.45
"cod",1992,2363.35
"cod",1993,2402.34
"cod",1994,2483.17
"cod",1995,2593.58
"cod",1996,2831.69
"cod",1997,2656.54
"cod",1998,2745.2
"cod",1999,2759.47
"cod",2000,2856.19
"cod",2001,3021.18
"cod",2002,3071.63
"cod",2003,3217.73
"cod",2004,3230.66
"cod",2005,3258.39
"cod",2006,3360.05
"cod",2007,3477.16
"cod",2008,3574.41
"cod",2009,3636.44
"cod",2010,3688
"cod",2011,3758.42
"cod",2012,3859.25
"cod",2013,3905.46
"cod",2014,3982.55
"cod",2015,4066.98
"cod",2016,4144.74
"ken",1990,870.27
"ken",1991,900.91
"ken",1992,947.76
"ken",1993,987.71
"ken",1994,1040.45
"ken",1995,1074.75
"ken",1996,1088.2
"ken",1997,1140.09
"ken",1998,1168.25
"ken",1999,1170.06
"ken",2000,1196.54
"ken",2001,1180.78
"ken",2002,1296.82
"ken",2003,1314.03
"ken",2004,1309.67
"ken",2005,1295.07
"ken",2006,1276.13
"ken",2007,1285.23
"ken",2008,1305.99
"ken",2009,1322.65
"ken",2010,1348.95
"ken",2011,1382.01
"ken",2012,1409.28
"ken",2013,1442.73
"ken",2014,1481.27
"ken",2015,1521.94
"ken",2016,1568.1
"rwa",1990,614.03
"rwa",1991,615.62
"rwa",1992,580.35
"rwa",1993,551.35
"rwa",1994,540.63
"rwa",1995,540.77
"rwa",1996,568.01
"rwa",1997,595.96
"rwa",1998,633.26
"rwa",1999,661.04
"rwa",2000,662.47
"rwa",2001,649.6
"rwa",2002,634.47
"rwa",2003,620.91
"rwa",2004,607.29
"rwa",2005,594.13
"rwa",2006,596.57
"rwa",2007,595.25
"rwa",2008,601.9
"rwa",2009,615.44
"rwa",2010,635.19
"rwa",2011,649.67
"rwa",2012,663.47
"rwa",2013,691.93
"rwa",2014,718.6
"rwa",2015,746.05
"rwa",2016,774.9
"ssd",1990,583.35
"ssd",1991,576.11
"ssd",1992,575.2
"ssd",1993,573.57
"ssd",1994,576.59
"ssd",1995,583.67
"ssd",1996,592.5
"ssd",1997,596.02
"ssd",1998,621.75
"ssd",1999,639.42
"ssd",2000,655.55
"ssd",2001,648.47
"ssd",2002,651.15
"ssd",2003,675.19
"ssd",2004,700.52
"ssd",2005,726.3
"ssd",2006,752.15
"ssd",2007,776.91
"ssd",2008,801.73
"ssd",2009,828.13
"ssd",2010,856.06
"ssd",2011,886.9
"ssd",2012,930.49
"ssd",2013,984.52
"ssd",2014,1039.81
"ssd",2015,1092.71
"ssd",2016,1140.57
"tza",1990,2154.75
"tza",1991,2202.59
"tza",1992,2299.58
"tza",1993,2392.94
"tza",1994,2524.26
"tza",1995,2620.47
"tza",1996,2661.58
"tza",1997,2736.7
"tza",1998,2831.41
"tza",1999,2836.18
"tza",2000,2811.47
"tza",2001,2731.58
"tza",2002,2678.15
"tza",2003,2744.58
"tza",2004,2756.95
"tza",2005,2783.23
"tza",2006,2810.77
"tza",2007,2867.73
"tza",2008,2916.68
"tza",2009,2986.81
"tza",2010,3024.14
"tza",2011,3090.4
"tza",2012,3170.74
"tza",2013,3307.33
"tza",2014,3411.61
"tza",2015,3512.33
"tza",2016,3598.25
"uga",1990,1450.42
"uga",1991,1524
"uga",1992,1524.79
"uga",1993,1584.15
"uga",1994,1685.33
"uga",1995,1713.01
"uga",1996,1651.45
"uga",1997,1636.89
"uga",1998,1651.22
"uga",1999,1660.43
"uga",2000,1735.95
"uga",2001,1761.02
"uga",2002,1791.6
"uga",2003,1824.49
"uga",2004,1895.35
"uga",2005,1973.31
"uga",2006,2054.38
"uga",2007,2085.72
"uga",2008,2062.78
"uga",2009,2087.44
"uga",2010,2140.32
"uga",2011,2200.87
"uga",2012,2261.62
"uga",2013,2330.45
"uga",2014,2370
"uga",2015,2398.72
"uga",2016,2441.99
