"geo","time","cervical_cancer_number_of_new_female_cases"
"bdi",1990,1098.86
"bdi",1991,1117.79
"bdi",1992,1139.85
"bdi",1993,1163.4
"bdi",1994,1187.85
"bdi",1995,1211.37
"bdi",1996,1227.35
"bdi",1997,1212.66
"bdi",1998,1196.84
"bdi",1999,1184.54
"bdi",2000,1174.89
"bdi",2001,1143.54
"bdi",2002,1125.15
"bdi",2003,1119.55
"bdi",2004,1122.65
"bdi",2005,1126.41
"bdi",2006,1118.63
"bdi",2007,1113.39
"bdi",2008,1122.29
"bdi",2009,1144.82
"bdi",2010,1174.58
"bdi",2011,1203.5
"bdi",2012,1236.27
"bdi",2013,1273.51
"bdi",2014,1313.16
"bdi",2015,1359.5
"bdi",2016,1409.27
"cod",1990,4234.71
"cod",1991,4348.4
"cod",1992,4471.84
"cod",1993,4587.81
"cod",1994,4770.28
"cod",1995,4918.7
"cod",1996,5261.27
"cod",1997,5068.86
"cod",1998,5162.39
"cod",1999,5146.16
"cod",2000,5308.07
"cod",2001,5481.76
"cod",2002,5530.31
"cod",2003,5709.34
"cod",2004,5754.94
"cod",2005,5817.84
"cod",2006,5969.86
"cod",2007,6178.89
"cod",2008,6333.52
"cod",2009,6448.04
"cod",2010,6591.27
"cod",2011,6727.3
"cod",2012,6872.81
"cod",2013,6963.11
"cod",2014,7068.26
"cod",2015,7185.63
"cod",2016,7303.11
"ken",1990,1821.12
"ken",1991,1876.56
"ken",1992,1953.45
"ken",1993,2027.45
"ken",1994,2117.48
"ken",1995,2186.4
"ken",1996,2225.55
"ken",1997,2312.7
"ken",1998,2364.53
"ken",1999,2391.99
"ken",2000,2440.58
"ken",2001,2426.88
"ken",2002,2660.02
"ken",2003,2679.64
"ken",2004,2695.16
"ken",2005,2695.78
"ken",2006,2685.61
"ken",2007,2708.84
"ken",2008,2755.95
"ken",2009,2795.41
"ken",2010,2852.78
"ken",2011,2909.66
"ken",2012,2974.81
"ken",2013,3050.13
"ken",2014,3131.91
"ken",2015,3216.12
"ken",2016,3305.85
"rwa",1990,1085.55
"rwa",1991,1098.86
"rwa",1992,1062.36
"rwa",1993,1036.67
"rwa",1994,1038.27
"rwa",1995,1062.18
"rwa",1996,1105.32
"rwa",1997,1145.5
"rwa",1998,1181.17
"rwa",1999,1202.92
"rwa",2000,1181.92
"rwa",2001,1138.33
"rwa",2002,1093.29
"rwa",2003,1055.93
"rwa",2004,1020.22
"rwa",2005,992.01
"rwa",2006,980.67
"rwa",2007,975.8
"rwa",2008,983.28
"rwa",2009,998.75
"rwa",2010,1025.31
"rwa",2011,1048.02
"rwa",2012,1075.01
"rwa",2013,1117.01
"rwa",2014,1158.18
"rwa",2015,1202.17
"rwa",2016,1248.62
"ssd",1990,1170.84
"ssd",1991,1146.02
"ssd",1992,1119.3
"ssd",1993,1090.78
"ssd",1994,1074.24
"ssd",1995,1071.67
"ssd",1996,1065.78
"ssd",1997,1086.02
"ssd",1998,1112.26
"ssd",1999,1122.63
"ssd",2000,1142.16
"ssd",2001,1148.94
"ssd",2002,1168.01
"ssd",2003,1192.14
"ssd",2004,1214.89
"ssd",2005,1250.8
"ssd",2006,1263.65
"ssd",2007,1286.71
"ssd",2008,1336.28
"ssd",2009,1379.17
"ssd",2010,1444.03
"ssd",2011,1508.47
"ssd",2012,1564.68
"ssd",2013,1649.04
"ssd",2014,1728.84
"ssd",2015,1809.02
"ssd",2016,1880.04
"tza",1990,3051.84
"tza",1991,3122.46
"tza",1992,3247.15
"tza",1993,3361.99
"tza",1994,3517.9
"tza",1995,3649.6
"tza",1996,3715.16
"tza",1997,3805.44
"tza",1998,3910.64
"tza",1999,3967.19
"tza",2000,3989.69
"tza",2001,3955.71
"tza",2002,3940.41
"tza",2003,4018.93
"tza",2004,4062.24
"tza",2005,4125.6
"tza",2006,4157.52
"tza",2007,4250.61
"tza",2008,4340.67
"tza",2009,4456.55
"tza",2010,4540.03
"tza",2011,4639.85
"tza",2012,4760.87
"tza",2013,4922.17
"tza",2014,5069.19
"tza",2015,5209.43
"tza",2016,5339.39
"uga",1990,2307.05
"uga",1991,2383.47
"uga",1992,2398.53
"uga",1993,2506.61
"uga",1994,2683.4
"uga",1995,2760.69
"uga",1996,2671.09
"uga",1997,2687.12
"uga",1998,2732.74
"uga",1999,2788.35
"uga",2000,2939.27
"uga",2001,2991.37
"uga",2002,3078.16
"uga",2003,3157.67
"uga",2004,3268.56
"uga",2005,3403.59
"uga",2006,3512.23
"uga",2007,3555.56
"uga",2008,3539.73
"uga",2009,3569.93
"uga",2010,3657.31
"uga",2011,3746.15
"uga",2012,3847.4
"uga",2013,3917.31
"uga",2014,3994.33
"uga",2015,4075.03
"uga",2016,4172.97
