"geo","time","child_mortality_0_5_year_olds_dying_per_1000_born"
"bdi",1800,423.95
"bdi",1801,423.95
"bdi",1802,423.95
"bdi",1803,423.95
"bdi",1804,423.95
"bdi",1805,423.95
"bdi",1806,423.95
"bdi",1807,423.95
"bdi",1808,423.95
"bdi",1809,423.95
"bdi",1810,423.95
"bdi",1811,423.95
"bdi",1812,423.95
"bdi",1813,423.95
"bdi",1814,423.95
"bdi",1815,423.95
"bdi",1816,423.95
"bdi",1817,423.95
"bdi",1818,423.95
"bdi",1819,423.95
"bdi",1820,423.95
"bdi",1821,423.95
"bdi",1822,423.95
"bdi",1823,423.95
"bdi",1824,423.95
"bdi",1825,423.95
"bdi",1826,423.95
"bdi",1827,423.95
"bdi",1828,423.95
"bdi",1829,423.95
"bdi",1830,423.95
"bdi",1831,423.95
"bdi",1832,423.95
"bdi",1833,423.95
"bdi",1834,423.95
"bdi",1835,423.95
"bdi",1836,423.95
"bdi",1837,423.95
"bdi",1838,423.95
"bdi",1839,423.95
"bdi",1840,423.95
"bdi",1841,423.95
"bdi",1842,423.95
"bdi",1843,423.95
"bdi",1844,423.95
"bdi",1845,423.95
"bdi",1846,423.95
"bdi",1847,423.95
"bdi",1848,423.95
"bdi",1849,423.95
"bdi",1850,423.95
"bdi",1851,423.95
"bdi",1852,423.95
"bdi",1853,423.95
"bdi",1854,423.95
"bdi",1855,423.95
"bdi",1856,423.95
"bdi",1857,423.95
"bdi",1858,423.95
"bdi",1859,423.95
"bdi",1860,423.95
"bdi",1861,423.95
"bdi",1862,423.95
"bdi",1863,423.95
"bdi",1864,423.95
"bdi",1865,423.95
"bdi",1866,423.95
"bdi",1867,423.95
"bdi",1868,423.95
"bdi",1869,423.95
"bdi",1870,423.95
"bdi",1871,423.95
"bdi",1872,423.95
"bdi",1873,423.95
"bdi",1874,423.95
"bdi",1875,423.95
"bdi",1876,423.95
"bdi",1877,423.95
"bdi",1878,423.95
"bdi",1879,423.95
"bdi",1880,423.95
"bdi",1881,423.95
"bdi",1882,423.95
"bdi",1883,423.95
"bdi",1884,423.95
"bdi",1885,423.95
"bdi",1886,423.95
"bdi",1887,423.95
"bdi",1888,423.95
"bdi",1889,423.95
"bdi",1890,423.95
"bdi",1891,423.95
"bdi",1892,423.95
"bdi",1893,423.95
"bdi",1894,423.94
"bdi",1895,423.9
"bdi",1896,423.84
"bdi",1897,423.73
"bdi",1898,423.56
"bdi",1899,423.33
"bdi",1900,423.03
"bdi",1901,422.67
"bdi",1902,422.23
"bdi",1903,421.74
"bdi",1904,421.17
"bdi",1905,420.54
"bdi",1906,419.85
"bdi",1907,419.08
"bdi",1908,418.26
"bdi",1909,417.37
"bdi",1910,416.44
"bdi",1911,415.48
"bdi",1912,414.5
"bdi",1913,413.5
"bdi",1914,412.51
"bdi",1915,411.51
"bdi",1916,410.52
"bdi",1917,409.52
"bdi",1918,408.53
"bdi",1919,407.53
"bdi",1920,406.54
"bdi",1921,405.54
"bdi",1922,404.55
"bdi",1923,403.55
"bdi",1924,402.56
"bdi",1925,401.56
"bdi",1926,400.57
"bdi",1927,399.57
"bdi",1928,398.58
"bdi",1929,397.58
"bdi",1930,396.59
"bdi",1931,393.66
"bdi",1932,390.73
"bdi",1933,387.82
"bdi",1934,384.909
"bdi",1935,382.018
"bdi",1936,379.127
"bdi",1937,376.256
"bdi",1938,373.384
"bdi",1939,370.532
"bdi",1940,367.68
"bdi",1941,364.848
"bdi",1942,362.016
"bdi",1943,359.203
