"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"bdi",1800,423.9
"bdi",1801,423.9
"bdi",1802,423.9
"bdi",1803,423.9
"bdi",1804,423.9
"bdi",1805,423.9
"bdi",1806,423.9
"bdi",1807,423.9
"bdi",1808,423.9
"bdi",1809,423.9
"bdi",1810,423.9
"bdi",1811,423.9
"bdi",1812,423.9
"bdi",1813,423.9
"bdi",1814,423.9
"bdi",1815,423.9
"bdi",1816,423.9
"bdi",1817,423.9
"bdi",1818,423.9
"bdi",1819,423.9
"bdi",1820,423.9
"bdi",1821,423.9
"bdi",1822,423.9
"bdi",1823,423.9
"bdi",1824,423.9
"bdi",1825,423.9
"bdi",1826,423.9
"bdi",1827,423.9
"bdi",1828,423.9
"bdi",1829,423.9
"bdi",1830,423.9
"bdi",1831,423.9
"bdi",1832,423.9
"bdi",1833,423.9
"bdi",1834,423.9
"bdi",1835,423.9
"bdi",1836,423.9
"bdi",1837,423.9
"bdi",1838,423.9
"bdi",1839,423.9
"bdi",1840,423.9
"bdi",1841,423.9
"bdi",1842,423.9
"bdi",1843,423.9
"bdi",1844,423.9
"bdi",1845,423.9
"bdi",1846,423.9
"bdi",1847,423.9
"bdi",1848,423.9
"bdi",1849,423.9
"bdi",1850,423.9
"bdi",1851,423.9
"bdi",1852,423.9
"bdi",1853,423.9
"bdi",1854,423.9
"bdi",1855,423.9
"bdi",1856,423.9
"bdi",1857,423.9
"bdi",1858,423.9
"bdi",1859,423.9
"bdi",1860,423.9
"bdi",1861,423.9
"bdi",1862,423.9
"bdi",1863,423.9
"bdi",1864,423.9
"bdi",1865,423.9
"bdi",1866,423.9
"bdi",1867,423.9
"bdi",1868,423.9
"bdi",1869,423.9
"bdi",1870,423.9
"bdi",1871,423.9
"bdi",1872,423.9
"bdi",1873,423.9
"bdi",1874,423.9
"bdi",1875,423.9
"bdi",1876,423.9
"bdi",1877,423.9
"bdi",1878,423.9
"bdi",1879,423.9
"bdi",1880,423.9
"bdi",1881,423.9
"bdi",1882,423.9
