"geo","time","children_and_elderly_per_100_adults"
"bdi",1950,78.965
"bdi",1951,80.057
"bdi",1952,81.494
"bdi",1953,82.54
"bdi",1954,83.007
"bdi",1955,83.064
"bdi",1956,84.727
"bdi",1957,85.455
"bdi",1958,85.792
"bdi",1959,86.215
"bdi",1960,86.876
"bdi",1961,88.041
"bdi",1962,89.476
"bdi",1963,90.909
"bdi",1964,91.899
"bdi",1965,92.273
"bdi",1966,93.716
"bdi",1967,94.361
"bdi",1968,94.407
"bdi",1969,94.107
"bdi",1970,93.525
"bdi",1971,94.431
"bdi",1972,94.902
"bdi",1973,94.966
"bdi",1974,94.737
"bdi",1975,94.36
"bdi",1976,93.68
"bdi",1977,92.916
"bdi",1978,92.169
"bdi",1979,91.486
"bdi",1980,90.934
"bdi",1981,92.089
"bdi",1982,92.981
"bdi",1983,93.825
"bdi",1984,94.828
"bdi",1985,96.045
"bdi",1986,97.944
"bdi",1987,99.782
"bdi",1988,101.433
"bdi",1989,102.645
"bdi",1990,103.261
"bdi",1991,105.788
"bdi",1992,107.554
"bdi",1993,108.591
"bdi",1994,109.014
"bdi",1995,108.897
"bdi",1996,109.274
"bdi",1997,109.242
"bdi",1998,108.824
"bdi",1999,108.072
"bdi",2000,107.074
"bdi",2001,103.914
"bdi",2002,100.747
"bdi",2003,97.728
"bdi",2004,95.016
"bdi",2005,92.703
"bdi",2006,91.087
"bdi",2007,89.743
"bdi",2008,88.664
"bdi",2009,87.812
"bdi",2010,87.162
"bdi",2011,87.683
"bdi",2012,88.125
"bdi",2013,88.565
"bdi",2014,89.075
"bdi",2015,89.655
"bdi",2016,90.54
"bdi",2017,91.388
"bdi",2018,92.098
"bdi",2019,92.518
"bdi",2020,92.566
"bdi",2021,92.674
"bdi",2022,92.349
"bdi",2023,91.668
"bdi",2024,90.748
"bdi",2025,89.656
"bdi",2026,88.532
"bdi",2027,87.287
"bdi",2028,85.93
"bdi",2029,84.472
"bdi",2030,82.948
"bdi",2031,81.645
"bdi",2032,80.296
"bdi",2033,78.948
"bdi",2034,77.656
"bdi",2035,76.458
"bdi",2036,75.579
"bdi",2037,74.739
"bdi",2038,73.966
"bdi",2039,73.279
"bdi",2040,72.682
"bdi",2041,72.346
"bdi",2042,72.028
"bdi",2043,71.733
"bdi",2044,71.451
"bdi",2045,71.17
"bdi",2046,71.007
"bdi",2047,70.799
"bdi",2048,70.544
"bdi",2049,70.239
"bdi",2050,69.883
"bdi",2051,69.544
"bdi",2052,69.143
"bdi",2053,68.677
"bdi",2054,68.142
"bdi",2055,67.545
"bdi",2056,66.961
"bdi",2057,66.325
"bdi",2058,65.649
"bdi",2059,64.946
"bdi",2060,64.231
"bdi",2061,63.579
"bdi",2062,62.916
"bdi",2063,62.262
"bdi",2064,61.637
"bdi",2065,61.053
"bdi",2066,60.574
"bdi",2067,60.117
"bdi",2068,59.697
"bdi",2069,59.326
"bdi",2070,59.011
"bdi",2071,58.8
"bdi",2072,58.615
"bdi",2073,58.455
"bdi",2074,58.314
"bdi",2075,58.19
"bdi",2076,58.112
"bdi",2077,58.032
"bdi",2078,57.949
"bdi",2079,57.861
"bdi",2080,57.767
"bdi",2081,57.692
"bdi",2082,57.602
"bdi",2083,57.496
"bdi",2084,57.37
"bdi",2085,57.227
"bdi",2086,57.086
"bdi",2087,56.929
"bdi",2088,56.76
"bdi",2089,56.585
"bdi",2090,56.409
"bdi",2091,56.254
"bdi",2092,56.089
"bdi",2093,55.926
"bdi",2094,55.783
"bdi",2095,55.671
"bdi",2096,55.582
"bdi",2097,55.515
"bdi",2098,55.476
"bdi",2099,55.465
"bdi",2100,55.48
"cod",1950,90.363
"cod",1951,90.35
"cod",1952,89.843
"cod",1953,89.145
"cod",1954,88.39
"cod",1955,87.591
"cod",1956,87.599
"cod",1957,87.505
"cod",1958,87.258
"cod",1959,86.823
"cod",1960,86.216
"cod",1961,86.617
"cod",1962,86.641
"cod",1963,86.439
"cod",1964,86.192
"cod",1965,85.99
"cod",1966,86.64
"cod",1967,87.145
"cod",1968,87.521
"cod",1969,87.735
"cod",1970,87.765
"cod",1971,88.539
"cod",1972,89.03
"cod",1973,89.291
"cod",1974,89.385
"cod",1975,89.356
"cod",1976,89.981
"cod",1977,90.351
"cod",1978,90.527
"cod",1979,90.557
