"geo","time","children_out_of_school_primary"
"bdi",1973,470287
"bdi",1978,499307
"bdi",1980,497030
"bdi",1981,487230
"bdi",1982,471679
"bdi",1983,440631
"bdi",1984,421390
"bdi",1985,407088
"bdi",1986,406763
"bdi",1987,389912
"bdi",1988,390154
"bdi",1993,480625
"bdi",2000,686805
"bdi",2001,590236
"bdi",2002,602512
"bdi",2003,564915
"bdi",2004,551091
"bdi",2005,516743
"bdi",2006,307999
"bdi",2007,220470
"bdi",2008,85850
"bdi",2009,109215
"bdi",2010,39646
"cod",1971,981922
"cod",1972,1071578
"cod",1975,1078167
"cod",1979,1095841
"cod",1983,1106004
"cod",1984,1107242
"cod",1988,1845493
"cod",1991,2210133
"cod",1992,2401863
"cod",1993,2570519
"cod",1994,2600943
"cod",1995,2161350
"cod",1999,4761036
"ken",1999,1972395
"ken",2000,1831944
"ken",2001,1786139
"ken",2002,2110076
"ken",2003,1531001
"ken",2004,1683603
"ken",2005,1695173
"ken",2006,1803407
"ken",2007,1213103
"ken",2008,1492905
"ken",2009,1420614
"ken",2012,1214199
"rwa",1973,298513
"rwa",1974,318683
"rwa",1975,342017
"rwa",1977,332989
"rwa",1978,326486
"rwa",1999,241368
"rwa",2002,226461
"rwa",2003,143395
"rwa",2016,76897
"ssd",2011,1011581
"ssd",2015,1297786
"tza",1976,1603590
"tza",1980,1063678
"tza",1981,1146205
"tza",1982,1370105
"tza",1983,1466077
"tza",1984,1643763
"tza",1985,1812445
"tza",1986,1926698
"tza",1987,2052546
"tza",1988,2192400
"tza",1989,2264699
"tza",1990,2363764
"tza",1991,2477538
"tza",1992,2558404
"tza",1993,2687324
"tza",1994,2840234
"tza",1995,2928267
"tza",1996,3004927
"tza",1997,3064642
"tza",1998,3179049
"tza",1999,3235333
"tza",2000,3084705
"tza",2001,2859099
"tza",2002,1931357
"tza",2003,1405318
"tza",2004,1143127
"tza",2005,865432
"tza",2006,496744
"tza",2008,453560
"tza",2010,1061958
"tza",2012,1525136
"tza",2013,1851249
"tza",2014,2085426
"uga",1979,1524708
"uga",1981,1520530
"uga",1982,1520656
"uga",1986,1304590
"uga",2009,629865
"uga",2010,880591
"uga",2011,709806
"uga",2013,714319
