"geo","time","children_out_of_school_primary_female"
"bdi",1973,250881
"bdi",1978,261849
"bdi",1980,261611
"bdi",1981,258372
"bdi",1982,255688
"bdi",1983,244240
"bdi",1984,236610
"bdi",1985,230246
"bdi",1986,228807
"bdi",1987,219344
"bdi",1988,215557
"bdi",1993,260913
"bdi",2000,369752
"bdi",2001,328344
"bdi",2002,337493
"bdi",2003,317275
"bdi",2004,300911
"bdi",2005,282361
"bdi",2006,168737
"bdi",2007,123067
"bdi",2008,53143
"bdi",2009,57307
"bdi",2010,20399
"cod",1971,731659
"cod",1972,768723
"cod",1975,764002
"cod",1979,814297
"cod",1983,812449
"cod",1984,805893
"cod",1988,1129496
"cod",1991,1311450
"cod",1992,1392857
"cod",1993,1473118
"cod",1994,1529017
"cod",1995,1474941
"cod",1999,2404453
"ken",1999,968542
"ken",2000,884042
"ken",2001,865312
"ken",2002,1038850
"ken",2003,758144
"ken",2004,834693
"ken",2005,835312
"ken",2006,876594
"ken",2007,601040
"ken",2008,722913
"ken",2009,686797
"ken",2012,537736
"rwa",1973,168828
"rwa",1974,179211
"rwa",1975,188447
"rwa",1977,181603
"rwa",1978,177179
"rwa",1999,119178
"rwa",2002,106998
"rwa",2003,67531
"rwa",2016,33871
"ssd",2011,559104
"ssd",2015,682632
"tza",1981,584966
"tza",1982,681011
"tza",1983,715638
"tza",1985,881736
"tza",1986,935969
"tza",1987,1005427
"tza",1988,1078499
"tza",1989,1116779
"tza",1990,1167871
"tza",1991,1225819
"tza",1992,1268058
"tza",1993,1326329
"tza",1994,1395814
"tza",1995,1440762
"tza",1996,1478922
"tza",1997,1505764
"tza",1998,1559306
"tza",1999,1585670
"tza",2000,1515432
"tza",2001,1433762
"tza",2002,1001918
"tza",2003,758831
"tza",2004,626376
"tza",2005,486608
"tza",2006,282169
"tza",2008,237643
"tza",2010,514325
"tza",2012,748926
"tza",2013,908904
"tza",2014,1017188
"uga",1979,808701
"uga",1981,810999
"uga",1982,797634
"uga",1986,701187
"uga",2009,271159
"uga",2010,391771
"uga",2011,305774
"uga",2013,298634
