"geo","time","children_out_of_school_primary_male"
"bdi",1973,219406
"bdi",1978,237458
"bdi",1980,235419
"bdi",1981,228858
"bdi",1982,215991
"bdi",1983,196391
"bdi",1984,184780
"bdi",1985,176842
"bdi",1986,177956
"bdi",1987,170568
"bdi",1988,174597
"bdi",1993,219712
"bdi",2000,317053
"bdi",2001,261892
"bdi",2002,265019
"bdi",2003,247640
"bdi",2004,250180
"bdi",2005,234382
"bdi",2006,139262
"bdi",2007,97403
"bdi",2008,32707
"bdi",2009,51908
"bdi",2010,19247
"cod",1971,250263
"cod",1972,302855
"cod",1975,314165
"cod",1979,281544
"cod",1983,293555
"cod",1984,301349
"cod",1988,715997
"cod",1991,898683
"cod",1992,1009006
"cod",1993,1097401
"cod",1994,1071926
"cod",1995,686409
"cod",1999,2356583
"ken",1999,1003853
"ken",2000,947902
"ken",2001,920827
"ken",2002,1071226
"ken",2003,772857
"ken",2004,848910
"ken",2005,859861
"ken",2006,926813
"ken",2007,612063
"ken",2008,769992
"ken",2009,733817
"ken",2012,676463
"rwa",1973,129685
"rwa",1974,139472
"rwa",1975,153570
"rwa",1977,151386
"rwa",1978,149307
"rwa",1999,122190
"rwa",2002,119463
"rwa",2003,75864
"rwa",2016,43026
"ssd",2011,452477
"ssd",2015,615154
"tza",1981,561239
"tza",1982,689094
"tza",1983,750439
"tza",1985,930709
"tza",1986,990729
"tza",1987,1047119
"tza",1988,1113901
"tza",1989,1147920
"tza",1990,1195893
"tza",1991,1251719
"tza",1992,1290346
"tza",1993,1360995
"tza",1994,1444420
"tza",1995,1487505
"tza",1996,1526005
"tza",1997,1558878
"tza",1998,1619743
"tza",1999,1649663
"tza",2000,1569273
"tza",2001,1425337
"tza",2002,929439
"tza",2003,646487
"tza",2004,516751
"tza",2005,378824
"tza",2006,214575
"tza",2008,215917
"tza",2010,547633
"tza",2012,776210
"tza",2013,942345
"tza",2014,1068238
"uga",1979,716007
"uga",1981,709531
"uga",1982,723022
"uga",1986,603403
"uga",2009,358706
"uga",2010,488820
"uga",2011,404032
"uga",2013,415685
