"geo","time","cholesterol_fat_in_blood_men_mmolperl"
"bdi",1980,4.022
"bdi",1981,4.021
"bdi",1982,4.022
"bdi",1983,4.024
"bdi",1984,4.03
"bdi",1985,4.029
"bdi",1986,4.027
"bdi",1987,4.024
"bdi",1988,4.025
"bdi",1989,4.031
"bdi",1990,4.03
"bdi",1991,4.03
"bdi",1992,4.03
"bdi",1993,4.027
"bdi",1994,4.024
"bdi",1995,4.017
"bdi",1996,4.003
"bdi",1997,3.992
"bdi",1998,3.983
"bdi",1999,3.976
"bdi",2000,3.969
"bdi",2001,3.96
"bdi",2002,3.954
"bdi",2003,3.95
"bdi",2004,3.948
"bdi",2005,3.945
"bdi",2006,3.946
"bdi",2007,3.947
"bdi",2008,3.948
"cod",1980,4.162
"cod",1981,4.142
"cod",1982,4.12
"cod",1983,4.099
"cod",1984,4.081
"cod",1985,4.065
"cod",1986,4.051
"cod",1987,4.037
"cod",1988,4.021
"cod",1989,4.005
"cod",1990,3.989
"cod",1991,3.97
"cod",1992,3.945
"cod",1993,3.917
"cod",1994,3.89
"cod",1995,3.873
"cod",1996,3.858
"cod",1997,3.846
"cod",1998,3.835
"cod",1999,3.823
"cod",2000,3.811
"cod",2001,3.8
"cod",2002,3.791
"cod",2003,3.787
"cod",2004,3.784
"cod",2005,3.781
"cod",2006,3.78
"cod",2007,3.779
"cod",2008,3.78
"ken",1980,4.401
"ken",1981,4.397
"ken",1982,4.395
"ken",1983,4.39
"ken",1984,4.389
"ken",1985,4.385
"ken",1986,4.382
"ken",1987,4.383
"ken",1988,4.386
"ken",1989,4.387
"ken",1990,4.39
"ken",1991,4.389
"ken",1992,4.385
"ken",1993,4.379
"ken",1994,4.37
"ken",1995,4.361
"ken",1996,4.352
"ken",1997,4.343
"ken",1998,4.332
"ken",1999,4.325
"ken",2000,4.316
"ken",2001,4.312
"ken",2002,4.307
"ken",2003,4.306
"ken",2004,4.305
"ken",2005,4.305
"ken",2006,4.306
"ken",2007,4.31
"ken",2008,4.313
"rwa",1980,4.094
"rwa",1981,4.097
"rwa",1982,4.097
"rwa",1983,4.097
"rwa",1984,4.095
"rwa",1985,4.09
"rwa",1986,4.092
"rwa",1987,4.091
"rwa",1988,4.092
"rwa",1989,4.089
"rwa",1990,4.091
"rwa",1991,4.091
"rwa",1992,4.093
"rwa",1993,4.086
"rwa",1994,4.061
"rwa",1995,4.052
"rwa",1996,4.051
"rwa",1997,4.047
"rwa",1998,4.046
"rwa",1999,4.047
"rwa",2000,4.048
"rwa",2001,4.051
"rwa",2002,4.053
"rwa",2003,4.06
"rwa",2004,4.071
"rwa",2005,4.08
"rwa",2006,4.084
"rwa",2007,4.089
"rwa",2008,4.094
"tza",1980,4.104
"tza",1981,4.09
"tza",1982,4.076
"tza",1983,4.059
"tza",1984,4.042
"tza",1985,4.028
"tza",1986,4.019
"tza",1987,4.01
"tza",1988,4.004
"tza",1989,3.998
"tza",1990,3.996
"tza",1991,3.996
"tza",1992,3.999
"tza",1993,4.003
"tza",1994,4.007
"tza",1995,4.012
"tza",1996,4.017
"tza",1997,4.026
"tza",1998,4.034
"tza",1999,4.042
"tza",2000,4.05
"tza",2001,4.06
"tza",2002,4.068
"tza",2003,4.077
"tza",2004,4.088
"tza",2005,4.099
"tza",2006,4.106
"tza",2007,4.116
"tza",2008,4.128
"uga",1980,4.164
"uga",1981,4.142
"uga",1982,4.119
"uga",1983,4.094
"uga",1984,4.076
"uga",1985,4.06
"uga",1986,4.044
"uga",1987,4.029
"uga",1988,4.016
"uga",1989,4.004
"uga",1990,3.996
"uga",1991,3.99
"uga",1992,3.989
"uga",1993,3.989
"uga",1994,3.991
"uga",1995,3.993
"uga",1996,4
"uga",1997,4.007
"uga",1998,4.01
"uga",1999,4.017
"uga",2000,4.023
"uga",2001,4.025
"uga",2002,4.027
"uga",2003,4.03
"uga",2004,4.035
"uga",2005,4.041
"uga",2006,4.049
"uga",2007,4.058
"uga",2008,4.067
