"geo","time","cholesterol_fat_in_blood_women_mmolperl"
"bdi",1980,4.371
"bdi",1981,4.363
"bdi",1982,4.356
"bdi",1983,4.349
"bdi",1984,4.344
"bdi",1985,4.336
"bdi",1986,4.327
"bdi",1987,4.318
"bdi",1988,4.311
"bdi",1989,4.308
"bdi",1990,4.3
"bdi",1991,4.293
"bdi",1992,4.287
"bdi",1993,4.278
"bdi",1994,4.268
"bdi",1995,4.256
"bdi",1996,4.239
"bdi",1997,4.225
"bdi",1998,4.212
"bdi",1999,4.202
"bdi",2000,4.191
"bdi",2001,4.18
"bdi",2002,4.17
"bdi",2003,4.162
"bdi",2004,4.155
"bdi",2005,4.147
"bdi",2006,4.142
"bdi",2007,4.137
"bdi",2008,4.132
"cod",1980,4.572
"cod",1981,4.548
"cod",1982,4.523
"cod",1983,4.498
"cod",1984,4.476
"cod",1985,4.456
"cod",1986,4.437
"cod",1987,4.419
"cod",1988,4.4
"cod",1989,4.38
"cod",1990,4.36
"cod",1991,4.336
"cod",1992,4.309
"cod",1993,4.278
"cod",1994,4.247
"cod",1995,4.221
"cod",1996,4.196
"cod",1997,4.173
"cod",1998,4.152
"cod",1999,4.13
"cod",2000,4.109
"cod",2001,4.089
"cod",2002,4.071
"cod",2003,4.058
"cod",2004,4.045
"cod",2005,4.035
"cod",2006,4.025
"cod",2007,4.017
"cod",2008,4.011
"ken",1980,4.619
"ken",1981,4.609
"ken",1982,4.599
"ken",1983,4.589
"ken",1984,4.58
"ken",1985,4.569
"ken",1986,4.559
"ken",1987,4.551
"ken",1988,4.546
"ken",1989,4.539
"ken",1990,4.534
"ken",1991,4.527
"ken",1992,4.517
"ken",1993,4.507
"ken",1994,4.494
"ken",1995,4.481
"ken",1996,4.469
"ken",1997,4.457
"ken",1998,4.445
"ken",1999,4.435
"ken",2000,4.424
"ken",2001,4.415
"ken",2002,4.406
"ken",2003,4.399
"ken",2004,4.392
"ken",2005,4.385
"ken",2006,4.38
"ken",2007,4.377
"ken",2008,4.373
"rwa",1980,4.489
"rwa",1981,4.484
"rwa",1982,4.476
"rwa",1983,4.469
"rwa",1984,4.458
"rwa",1985,4.445
"rwa",1986,4.435
"rwa",1987,4.424
"rwa",1988,4.413
"rwa",1989,4.402
"rwa",1990,4.391
"rwa",1991,4.379
"rwa",1992,4.371
"rwa",1993,4.358
"rwa",1994,4.329
"rwa",1995,4.315
"rwa",1996,4.307
"rwa",1997,4.299
"rwa",1998,4.295
"rwa",1999,4.292
"rwa",2000,4.289
"rwa",2001,4.287
"rwa",2002,4.286
"rwa",2003,4.288
"rwa",2004,4.292
"rwa",2005,4.295
"rwa",2006,4.295
"rwa",2007,4.294
"rwa",2008,4.295
"tza",1980,4.466
"tza",1981,4.437
"tza",1982,4.409
"tza",1983,4.378
"tza",1984,4.348
"tza",1985,4.318
"tza",1986,4.293
"tza",1987,4.268
"tza",1988,4.247
"tza",1989,4.228
"tza",1990,4.215
"tza",1991,4.205
"tza",1992,4.2
"tza",1993,4.197
"tza",1994,4.196
"tza",1995,4.197
"tza",1996,4.199
"tza",1997,4.207
"tza",1998,4.215
"tza",1999,4.223
"tza",2000,4.23
"tza",2001,4.24
"tza",2002,4.25
"tza",2003,4.259
"tza",2004,4.272
"tza",2005,4.285
"tza",2006,4.297
"tza",2007,4.31
"tza",2008,4.324
"uga",1980,4.52
"uga",1981,4.495
"uga",1982,4.472
"uga",1983,4.449
"uga",1984,4.428
"uga",1985,4.408
"uga",1986,4.389
"uga",1987,4.37
"uga",1988,4.354
"uga",1989,4.339
"uga",1990,4.327
"uga",1991,4.317
"uga",1992,4.309
"uga",1993,4.304
"uga",1994,4.3
"uga",1995,4.297
"uga",1996,4.298
"uga",1997,4.298
"uga",1998,4.296
"uga",1999,4.295
"uga",2000,4.294
"uga",2001,4.292
"uga",2002,4.289
"uga",2003,4.286
"uga",2004,4.284
"uga",2005,4.282
"uga",2006,4.282
"uga",2007,4.283
"uga",2008,4.284
