"geo","time","co2_emissions_tonnes_per_person"
"bdi",1962,0.01521
"bdi",1963,0.01616
"bdi",1964,0.01583
"bdi",1965,0.01191
"bdi",1966,0.01512
"bdi",1967,0.01474
"bdi",1968,0.01659
"bdi",1969,0.02162
"bdi",1970,0.01804
"bdi",1971,0.02092
"bdi",1972,0.02069
"bdi",1973,0.02049
"bdi",1974,0.02533
"bdi",1975,0.02097
"bdi",1976,0.02353
"bdi",1977,0.02591
"bdi",1978,0.02623
"bdi",1979,0.02741
"bdi",1980,0.03563
"bdi",1981,0.03734
"bdi",1982,0.03639
"bdi",1983,0.04616
"bdi",1984,0.04813
"bdi",1985,0.04913
"bdi",1986,0.04847
"bdi",1987,0.04999
"bdi",1988,0.04427
"bdi",1989,0.0507
"bdi",1990,0.0386
"bdi",1991,0.04301
"bdi",1992,0.03822
"bdi",1993,0.03939
"bdi",1994,0.03997
"bdi",1995,0.03998
"bdi",1996,0.04006
"bdi",1997,0.0408
"bdi",1998,0.04031
"bdi",1999,0.0403
"bdi",2000,0.0424
"bdi",2001,0.03132
"bdi",2002,0.03155
"bdi",2003,0.02321
"bdi",2004,0.02757
"bdi",2005,0.02075
"bdi",2006,0.02437
"bdi",2007,0.02356
"bdi",2008,0.02322
"bdi",2009,0.02246
"bdi",2010,0.02426
"bdi",2011,0.02676
"bdi",2012,0.0303
"bdi",2013,0.03018
"bdi",2014,0.04449
"cod",1920,0.00037
"cod",1921,0.00073
"cod",1922,0.008
"cod",1923,0.0159
"cod",1924,0.02119
"cod",1925,0.01677
"cod",1926,0.02303
"cod",1927,0.02218
"cod",1928,0.02693
"cod",1929,0.02884
"cod",1930,0.03658
"cod",1931,0.02331
"cod",1932,0.00477
"cod",1933,0.00034
"cod",1934,0.00168
"cod",1935,0.00301
"cod",1936,0.00365
"cod",1937,0.00923
"cod",1938,0.0108
"cod",1939,0.00781
"cod",1940,0.00678
"cod",1941,0.00899
"cod",1942,0.01243
"cod",1943,0.019
"cod",1944,0.01479
"cod",1945,0.01469
"cod",1946,0.0264
"cod",1947,0.02746
"cod",1948,0.03126
"cod",1949,0.03958
"cod",1950,0.12159
"cod",1951,0.14073
"cod",1952,0.16454
"cod",1953,0.17706
"cod",1954,0.21327
"cod",1955,0.25093
"cod",1956,0.22988
"cod",1957,0.23538
"cod",1958,0.20194
"cod",1959,0.18173
"cod",1960,0.15223
"cod",1961,0.15078
"cod",1962,0.13556
"cod",1963,0.13945
"cod",1964,0.11693
