"geo","time","colonandrectum_cancer_deaths_per_100000_men"
"bdi",1990,12.02
"bdi",1991,11.98
"bdi",1992,11.95
"bdi",1993,11.96
"bdi",1994,11.95
"bdi",1995,12.02
"bdi",1996,11.77
"bdi",1997,11.42
"bdi",1998,11.12
"bdi",1999,10.67
"bdi",2000,10.55
"bdi",2001,10.11
"bdi",2002,10
"bdi",2003,9.94
"bdi",2004,10.04
"bdi",2005,10.16
"bdi",2006,10.18
"bdi",2007,10.2
"bdi",2008,10.22
"bdi",2009,10.18
"bdi",2010,10.35
"bdi",2011,10.54
"bdi",2012,10.68
"bdi",2013,10.76
"bdi",2014,10.87
"bdi",2015,10.93
"bdi",2016,10.96
"cod",1990,8.67
"cod",1991,8.72
"cod",1992,8.72
"cod",1993,8.55
"cod",1994,8.51
"cod",1995,8.53
"cod",1996,8.58
"cod",1997,8.31
"cod",1998,8.23
"cod",1999,8.13
"cod",2000,7.99
"cod",2001,7.94
"cod",2002,7.76
"cod",2003,7.87
"cod",2004,7.69
"cod",2005,7.61
"cod",2006,7.57
"cod",2007,7.56
"cod",2008,7.68
"cod",2009,7.7
"cod",2010,7.76
"cod",2011,7.9
"cod",2012,8.04
"cod",2013,8.12
"cod",2014,8.22
"cod",2015,8.35
"cod",2016,8.45
"ken",1990,5.06
"ken",1991,5.24
"ken",1992,5.46
"ken",1993,5.62
"ken",1994,5.7
"ken",1995,5.76
"ken",1996,5.88
"ken",1997,5.96
"ken",1998,6.13
"ken",1999,6.11
"ken",2000,6.22
"ken",2001,6.36
"ken",2002,6.73
"ken",2003,6.98
"ken",2004,7.1
"ken",2005,7.19
"ken",2006,7.31
"ken",2007,7.39
"ken",2008,7.43
"ken",2009,7.47
"ken",2010,7.51
"ken",2011,7.66
"ken",2012,7.77
"ken",2013,7.82
"ken",2014,7.91
"ken",2015,7.99
"ken",2016,8.23
"rwa",1990,9.34
"rwa",1991,9.82
"rwa",1992,10.28
"rwa",1993,10.6
"rwa",1994,10.89
"rwa",1995,11.19
"rwa",1996,11.21
"rwa",1997,11.25
"rwa",1998,11.08
"rwa",1999,10.64
"rwa",2000,10.27
"rwa",2001,9.98
"rwa",2002,9.96
"rwa",2003,9.97
"rwa",2004,10.07
"rwa",2005,10.15
"rwa",2006,10.4
"rwa",2007,10.57
"rwa",2008,10.7
"rwa",2009,10.85
"rwa",2010,10.97
"rwa",2011,11.09
"rwa",2012,11.22
"rwa",2013,11.36
"rwa",2014,11.49
"rwa",2015,11.64
"rwa",2016,11.79
"ssd",1990,7.08
"ssd",1991,7.11
"ssd",1992,7.32
"ssd",1993,7.58
"ssd",1994,7.78
"ssd",1995,7.97
"ssd",1996,8.11
"ssd",1997,8.08
"ssd",1998,8.14
"ssd",1999,8.18
"ssd",2000,8.17
"ssd",2001,8.02
"ssd",2002,7.94
"ssd",2003,8.03
"ssd",2004,8.21
"ssd",2005,8.41
"ssd",2006,8.65
"ssd",2007,8.8
"ssd",2008,8.82
"ssd",2009,8.81
"ssd",2010,8.72
"ssd",2011,8.69
"ssd",2012,8.85
"ssd",2013,9
"ssd",2014,9.16
"ssd",2015,9.3
"ssd",2016,9.41
"tza",1990,12.17
"tza",1991,12.21
"tza",1992,12.36
"tza",1993,12.38
"tza",1994,12.56
"tza",1995,12.46
"tza",1996,12.5
"tza",1997,12.54
"tza",1998,12.64
"tza",1999,12.75
"tza",2000,12.69
"tza",2001,12.63
"tza",2002,12.61
"tza",2003,12.66
"tza",2004,12.75
"tza",2005,12.91
"tza",2006,13.02
"tza",2007,13.05
"tza",2008,13.14
"tza",2009,13.25
"tza",2010,13.4
"tza",2011,13.57
"tza",2012,13.76
"tza",2013,14.02
"tza",2014,14.16
"tza",2015,14.35
"tza",2016,14.52
"uga",1990,12.14
"uga",1991,12.4
"uga",1992,12.95
"uga",1993,13.09
"uga",1994,13.45
"uga",1995,13.18
"uga",1996,12.41
"uga",1997,11.87
"uga",1998,11.62
"uga",1999,11.31
"uga",2000,11.29
"uga",2001,11.05
"uga",2002,10.94
"uga",2003,10.98
"uga",2004,11.3
"uga",2005,11.41
"uga",2006,11.71
"uga",2007,12.06
"uga",2008,12.16
"uga",2009,12.34
"uga",2010,12.47
"uga",2011,12.76
"uga",2012,12.87
"uga",2013,13.33
"uga",2014,13.45
"uga",2015,13.54
"uga",2016,13.64
