"geo","time","colonandrectum_cancer_deaths_per_100000_women"
"bdi",1990,11.62
"bdi",1991,11.6
"bdi",1992,11.62
"bdi",1993,11.63
"bdi",1994,11.67
"bdi",1995,11.71
"bdi",1996,11.82
"bdi",1997,11.69
"bdi",1998,11.59
"bdi",1999,11.42
"bdi",2000,11.3
"bdi",2001,10.94
"bdi",2002,10.71
"bdi",2003,10.56
"bdi",2004,10.51
"bdi",2005,10.41
"bdi",2006,10.29
"bdi",2007,10.11
"bdi",2008,10.02
"bdi",2009,9.98
"bdi",2010,10.04
"bdi",2011,10.13
"bdi",2012,10.18
"bdi",2013,10.2
"bdi",2014,10.23
"bdi",2015,10.23
"bdi",2016,10.2
"cod",1990,7.89
"cod",1991,7.93
"cod",1992,7.91
"cod",1993,7.81
"cod",1994,7.82
"cod",1995,7.88
"cod",1996,8.29
"cod",1997,7.7
"cod",1998,7.73
"cod",1999,7.58
"cod",2000,7.58
"cod",2001,7.78
"cod",2002,7.7
"cod",2003,7.81
"cod",2004,7.71
"cod",2005,7.62
"cod",2006,7.67
"cod",2007,7.74
"cod",2008,7.78
"cod",2009,7.74
"cod",2010,7.7
"cod",2011,7.74
"cod",2012,7.83
"cod",2013,7.84
"cod",2014,7.86
"cod",2015,7.89
"cod",2016,7.91
"ken",1990,6.28
"ken",1991,6.38
"ken",1992,6.56
"ken",1993,6.67
"ken",1994,6.82
"ken",1995,6.87
"ken",1996,6.82
"ken",1997,6.98
"ken",1998,7.03
"ken",1999,6.89
"ken",2000,6.91
"ken",2001,6.67
"ken",2002,6.68
"ken",2003,6.72
"ken",2004,6.63
"ken",2005,6.51
"ken",2006,6.4
"ken",2007,6.4
"ken",2008,6.4
"ken",2009,6.37
"ken",2010,6.34
"ken",2011,6.36
"ken",2012,6.32
"ken",2013,6.3
"ken",2014,6.3
"ken",2015,6.31
"ken",2016,6.52
"rwa",1990,9.94
"rwa",1991,10.31
"rwa",1992,10.23
"rwa",1993,10.18
"rwa",1994,10.19
"rwa",1995,10.21
"rwa",1996,10.25
"rwa",1997,10.23
"rwa",1998,10.24
"rwa",1999,10.23
"rwa",2000,9.99
"rwa",2001,9.7
"rwa",2002,9.38
"rwa",2003,9.16
"rwa",2004,8.93
"rwa",2005,8.71
"rwa",2006,8.7
"rwa",2007,8.63
"rwa",2008,8.68
"rwa",2009,8.79
"rwa",2010,8.93
"rwa",2011,8.99
"rwa",2012,8.99
"rwa",2013,9.12
"rwa",2014,9.19
"rwa",2015,9.28
"rwa",2016,9.37
"ssd",1990,7.4
"ssd",1991,7.48
"ssd",1992,7.72
"ssd",1993,7.97
"ssd",1994,8.21
"ssd",1995,8.41
"ssd",1996,8.59
"ssd",1997,8.59
"ssd",1998,8.69
"ssd",1999,8.77
"ssd",2000,8.74
"ssd",2001,8.56
"ssd",2002,8.43
"ssd",2003,8.48
"ssd",2004,8.57
"ssd",2005,8.67
"ssd",2006,8.81
"ssd",2007,8.88
"ssd",2008,8.86
"ssd",2009,8.84
"ssd",2010,8.77
"ssd",2011,8.75
"ssd",2012,8.88
"ssd",2013,9.01
"ssd",2014,9.17
"ssd",2015,9.31
"ssd",2016,9.42
"tza",1990,10.8
"tza",1991,10.79
"tza",1992,10.95
"tza",1993,11.07
"tza",1994,11.3
"tza",1995,11.41
"tza",1996,11.45
"tza",1997,11.59
"tza",1998,11.77
"tza",1999,11.62
"tza",2000,11.35
"tza",2001,10.93
"tza",2002,10.62
"tza",2003,10.66
"tza",2004,10.54
"tza",2005,10.47
"tza",2006,10.42
"tza",2007,10.42
"tza",2008,10.38
"tza",2009,10.41
"tza",2010,10.38
"tza",2011,10.43
"tza",2012,10.51
"tza",2013,10.72
"tza",2014,10.83
"tza",2015,10.91
"tza",2016,10.94
"uga",1990,8.97
"uga",1991,9.07
"uga",1992,9.17
"uga",1993,9.84
"uga",1994,10.19
"uga",1995,10.16
"uga",1996,10.3
"uga",1997,10.35
"uga",1998,10.71
"uga",1999,10.73
"uga",2000,10.96
"uga",2001,10.85
"uga",2002,10.74
"uga",2003,10.68
"uga",2004,11.02
"uga",2005,11.06
"uga",2006,11.2
"uga",2007,11.19
"uga",2008,10.93
"uga",2009,10.78
"uga",2010,10.79
"uga",2011,10.9
"uga",2012,10.93
"uga",2013,11.13
"uga",2014,11.14
"uga",2015,11.09
"uga",2016,11.06
