"geo","time","colonandrectum_cancer_new_cases_per_100000_men"
"bdi",1990,10.62
"bdi",1991,10.65
"bdi",1992,10.68
"bdi",1993,10.71
"bdi",1994,10.74
"bdi",1995,10.78
"bdi",1996,10.52
"bdi",1997,10.28
"bdi",1998,10.05
"bdi",1999,9.82
"bdi",2000,9.61
"bdi",2001,9.42
"bdi",2002,9.24
"bdi",2003,9.07
"bdi",2004,8.91
"bdi",2005,8.75
"bdi",2006,8.67
"bdi",2007,8.6
"bdi",2008,8.53
"bdi",2009,8.45
"bdi",2010,8.39
"bdi",2011,8.44
"bdi",2012,8.5
"bdi",2013,8.56
"bdi",2014,8.61
"bdi",2015,8.67
"bdi",2016,8.73
"cod",1990,8.06
"cod",1991,8.03
"cod",1992,8.02
"cod",1993,8
"cod",1994,7.98
"cod",1995,7.96
"cod",1996,7.88
"cod",1997,7.81
"cod",1998,7.73
"cod",1999,7.66
"cod",2000,7.58
"cod",2001,7.48
"cod",2002,7.38
"cod",2003,7.28
"cod",2004,7.18
"cod",2005,7.09
"cod",2006,7.08
"cod",2007,7.07
"cod",2008,7.06
"cod",2009,7.05
"cod",2010,7.04
"cod",2011,7.09
"cod",2012,7.14
"cod",2013,7.19
"cod",2014,7.24
"cod",2015,7.29
"cod",2016,7.35
"ken",1990,5.13
"ken",1991,5.22
"ken",1992,5.32
"ken",1993,5.42
"ken",1994,5.53
"ken",1995,5.64
"ken",1996,5.72
"ken",1997,5.81
"ken",1998,5.9
"ken",1999,6
"ken",2000,6.09
"ken",2001,6.2
"ken",2002,6.33
"ken",2003,6.48
"ken",2004,6.65
"ken",2005,6.84
"ken",2006,6.89
"ken",2007,6.93
"ken",2008,6.98
"ken",2009,7.04
"ken",2010,7.11
"ken",2011,7.17
"ken",2012,7.24
"ken",2013,7.31
"ken",2014,7.38
"ken",2015,7.45
"ken",2016,7.52
"rwa",1990,8.8
"rwa",1991,9.2
"rwa",1992,9.63
"rwa",1993,10.09
"rwa",1994,10.57
"rwa",1995,11.08
"rwa",1996,10.66
"rwa",1997,10.27
"rwa",1998,9.9
"rwa",1999,9.54
"rwa",2000,9.21
"rwa",2001,8.9
"rwa",2002,8.61
"rwa",2003,8.34
"rwa",2004,8.08
"rwa",2005,7.84
"rwa",2006,7.87
"rwa",2007,7.9
"rwa",2008,7.94
"rwa",2009,7.97
"rwa",2010,8.01
"rwa",2011,8.13
"rwa",2012,8.25
"rwa",2013,8.37
"rwa",2014,8.49
"rwa",2015,8.61
"rwa",2016,8.74
"ssd",1990,6.86
"ssd",1991,6.89
"ssd",1992,6.93
"ssd",1993,6.96
"ssd",1994,7
"ssd",1995,7.04
"ssd",1996,7.07
"ssd",1997,7.1
"ssd",1998,7.14
"ssd",1999,7.17
"ssd",2000,7.21
"ssd",2001,7.25
"ssd",2002,7.3
"ssd",2003,7.35
"ssd",2004,7.39
"ssd",2005,7.44
"ssd",2006,7.49
"ssd",2007,7.52
"ssd",2008,7.57
"ssd",2009,7.61
"ssd",2010,7.66
"ssd",2011,7.72
"ssd",2012,7.78
"ssd",2013,7.85
"ssd",2014,7.92
"ssd",2015,7.99
"ssd",2016,8.07
"tza",1990,8.89
"tza",1991,8.94
"tza",1992,8.99
"tza",1993,9.04
"tza",1994,9.09
"tza",1995,9.15
"tza",1996,9.17
"tza",1997,9.19
"tza",1998,9.21
"tza",1999,9.23
"tza",2000,9.26
"tza",2001,9.27
"tza",2002,9.28
"tza",2003,9.3
"tza",2004,9.32
"tza",2005,9.33
"tza",2006,9.38
"tza",2007,9.43
"tza",2008,9.48
"tza",2009,9.54
"tza",2010,9.59
"tza",2011,9.7
"tza",2012,9.81
"tza",2013,9.92
"tza",2014,10.03
"tza",2015,10.15
"tza",2016,10.26
"uga",1990,10.18
"uga",1991,10.37
"uga",1992,10.56
"uga",1993,10.76
"uga",1994,10.96
"uga",1995,11.17
"uga",1996,10.88
"uga",1997,10.6
"uga",1998,10.33
"uga",1999,10.06
"uga",2000,9.8
"uga",2001,9.8
"uga",2002,9.81
"uga",2003,9.81
"uga",2004,9.82
"uga",2005,9.83
"uga",2006,9.92
"uga",2007,10.01
"uga",2008,10.1
"uga",2009,10.19
"uga",2010,10.29
"uga",2011,10.4
"uga",2012,10.51
"uga",2013,10.62
"uga",2014,10.74
"uga",2015,10.85
"uga",2016,10.97
