"geo","time","colonandrectum_cancer_new_cases_per_100000_women"
"bdi",1990,10.39
"bdi",1991,10.42
"bdi",1992,10.45
"bdi",1993,10.49
"bdi",1994,10.52
"bdi",1995,10.56
"bdi",1996,10.5
"bdi",1997,10.45
"bdi",1998,10.39
"bdi",1999,10.34
"bdi",2000,10.3
"bdi",2001,10.06
"bdi",2002,9.83
"bdi",2003,9.6
"bdi",2004,9.39
"bdi",2005,9.19
"bdi",2006,9.04
"bdi",2007,8.9
"bdi",2008,8.77
"bdi",2009,8.63
"bdi",2010,8.5
"bdi",2011,8.51
"bdi",2012,8.51
"bdi",2013,8.52
"bdi",2014,8.52
"bdi",2015,8.53
"bdi",2016,8.54
"cod",1990,7.27
"cod",1991,7.25
"cod",1992,7.24
"cod",1993,7.23
"cod",1994,7.22
"cod",1995,7.21
"cod",1996,7.16
"cod",1997,7.11
"cod",1998,7.06
"cod",1999,7.01
"cod",2000,6.97
"cod",2001,6.93
"cod",2002,6.89
"cod",2003,6.85
"cod",2004,6.81
"cod",2005,6.77
"cod",2006,6.77
"cod",2007,6.75
"cod",2008,6.74
"cod",2009,6.74
"cod",2010,6.73
"cod",2011,6.71
"cod",2012,6.7
"cod",2013,6.68
"cod",2014,6.67
"cod",2015,6.65
"cod",2016,6.64
"ken",1990,7.08
"ken",1991,7.14
"ken",1992,7.2
"ken",1993,7.26
"ken",1994,7.33
"ken",1995,7.4
"ken",1996,7.42
"ken",1997,7.43
"ken",1998,7.45
"ken",1999,7.47
"ken",2000,7.49
"ken",2001,7.3
"ken",2002,7.14
"ken",2003,7.01
"ken",2004,6.9
"ken",2005,6.82
"ken",2006,6.78
"ken",2007,6.74
"ken",2008,6.71
"ken",2009,6.68
"ken",2010,6.65
"ken",2011,6.64
"ken",2012,6.63
"ken",2013,6.63
"ken",2014,6.62
"ken",2015,6.62
"ken",2016,6.62
"rwa",1990,9.08
"rwa",1991,9.2
"rwa",1992,9.32
"rwa",1993,9.45
"rwa",1994,9.58
"rwa",1995,9.71
"rwa",1996,9.5
"rwa",1997,9.29
"rwa",1998,9.1
"rwa",1999,8.91
"rwa",2000,8.73
"rwa",2001,8.35
"rwa",2002,8
"rwa",2003,7.67
"rwa",2004,7.36
"rwa",2005,7.06
"rwa",2006,7.04
"rwa",2007,7.01
"rwa",2008,6.99
"rwa",2009,6.97
"rwa",2010,6.95
"rwa",2011,7
"rwa",2012,7.05
"rwa",2013,7.11
"rwa",2014,7.16
"rwa",2015,7.21
"rwa",2016,7.27
"ssd",1990,7.31
"ssd",1991,7.37
"ssd",1992,7.43
"ssd",1993,7.5
"ssd",1994,7.56
"ssd",1995,7.63
"ssd",1996,7.66
"ssd",1997,7.69
"ssd",1998,7.73
"ssd",1999,7.77
"ssd",2000,7.81
"ssd",2001,7.8
"ssd",2002,7.79
"ssd",2003,7.78
"ssd",2004,7.78
"ssd",2005,7.78
"ssd",2006,7.78
"ssd",2007,7.79
"ssd",2008,7.79
"ssd",2009,7.8
"ssd",2010,7.8
"ssd",2011,7.85
"ssd",2012,7.9
"ssd",2013,7.95
"ssd",2014,8.01
"ssd",2015,8.06
"ssd",2016,8.11
"tza",1990,7.57
"tza",1991,7.63
"tza",1992,7.7
"tza",1993,7.77
"tza",1994,7.84
"tza",1995,7.92
"tza",1996,7.9
"tza",1997,7.9
"tza",1998,7.89
"tza",1999,7.88
"tza",2000,7.87
"tza",2001,7.77
"tza",2002,7.68
"tza",2003,7.58
"tza",2004,7.49
"tza",2005,7.4
"tza",2006,7.38
"tza",2007,7.36
"tza",2008,7.34
"tza",2009,7.32
"tza",2010,7.31
"tza",2011,7.35
"tza",2012,7.39
"tza",2013,7.43
"tza",2014,7.48
"tza",2015,7.52
"tza",2016,7.57
"uga",1990,7.67
"uga",1991,7.88
"uga",1992,8.1
"uga",1993,8.33
"uga",1994,8.57
"uga",1995,8.81
"uga",1996,9.05
"uga",1997,9.29
"uga",1998,9.53
"uga",1999,9.79
"uga",2000,10.05
"uga",2001,10.09
"uga",2002,10.14
"uga",2003,10.19
"uga",2004,10.24
"uga",2005,10.29
"uga",2006,10.18
"uga",2007,10.06
"uga",2008,9.95
"uga",2009,9.84
"uga",2010,9.73
"uga",2011,9.73
"uga",2012,9.72
"uga",2013,9.72
"uga",2014,9.71
"uga",2015,9.71
"uga",2016,9.71
