"geo","time","colonandrectum_cancer_number_of_female_deaths"
"bdi",1990,125.58
"bdi",1991,127.18
"bdi",1992,129.23
"bdi",1993,131.12
"bdi",1994,133.31
"bdi",1995,135.56
"bdi",1996,138.14
"bdi",1997,137.13
"bdi",1998,136.66
"bdi",1999,135.31
"bdi",2000,135.04
"bdi",2001,132.1
"bdi",2002,131.34
"bdi",2003,132.53
"bdi",2004,135.54
"bdi",2005,138.23
"bdi",2006,140.19
"bdi",2007,141.59
"bdi",2008,144.5
"bdi",2009,148.47
"bdi",2010,154.55
"bdi",2011,160.37
"bdi",2012,165.96
"bdi",2013,171.02
"bdi",2014,176.67
"bdi",2015,182.12
"bdi",2016,188.16
"cod",1990,544.99
"cod",1991,565.37
"cod",1992,583.05
"cod",1993,594.77
"cod",1994,615.28
"cod",1995,641.27
"cod",1996,693.48
"cod",1997,653.32
"cod",1998,670.15
"cod",1999,670.86
"cod",2000,687.41
"cod",2001,723.65
"cod",2002,734
"cod",2003,766.91
"cod",2004,776.82
"cod",2005,789.75
"cod",2006,816.74
"cod",2007,847.88
"cod",2008,877.65
"cod",2009,900.05
"cod",2010,923.63
"cod",2011,955.09
"cod",2012,994.8
"cod",2013,1023.8
"cod",2014,1057.47
"cod",2015,1096.3
"cod",2016,1134.37
"ken",1990,231.13
"ken",1991,241.63
"ken",1992,256.17
"ken",1993,269.46
"ken",1994,285.31
"ken",1995,297.09
"ken",1996,304.66
"ken",1997,322.18
"ken",1998,334.8
"ken",1999,337.5
"ken",2000,350.62
"ken",2001,343.23
"ken",2002,347.51
"ken",2003,354.32
"ken",2004,353.83
"ken",2005,354.99
"ken",2006,357.01
"ken",2007,365.27
"ken",2008,374.89
"ken",2009,385.13
"ken",2010,397.56
"ken",2011,412.38
"ken",2012,424.18
"ken",2013,437.89
"ken",2014,454.08
"ken",2015,471.49
"ken",2016,501.85
"rwa",1990,110.1
"rwa",1991,111.22
"rwa",1992,105.54
"rwa",1993,100.01
"rwa",1994,96.92
"rwa",1995,95.84
"rwa",1996,102.64
"rwa",1997,110.62
"rwa",1998,124.14
"rwa",1999,135.89
"rwa",2000,142.05
"rwa",2001,141.29
"rwa",2002,139.41
"rwa",2003,136.07
"rwa",2004,134.29
"rwa",2005,134.44
"rwa",2006,139.52
"rwa",2007,144.38
"rwa",2008,151.12
"rwa",2009,158.54
"rwa",2010,166.08
"rwa",2011,171.34
"rwa",2012,175.6
"rwa",2013,184.42
"rwa",2014,193.62
"rwa",2015,204.3
"rwa",2016,214.68
"ssd",1990,77.2
"ssd",1991,77.6
"ssd",1992,78.92
"ssd",1993,80.26
"ssd",1994,82.05
"ssd",1995,84.28
"ssd",1996,87.73
"ssd",1997,90.26
"ssd",1998,95.92
"ssd",1999,101.27
"ssd",2000,105.72
"ssd",2001,106.86
"ssd",2002,108.86
"ssd",2003,114.15
"ssd",2004,120.25
"ssd",2005,126.77
"ssd",2006,134.11
"ssd",2007,141.01
"ssd",2008,147.45
"ssd",2009,154.62
"ssd",2010,161.37
"ssd",2011,168.28
"ssd",2012,179.02
"ssd",2013,190.34
"ssd",2014,202.62
"ssd",2015,214.74
"ssd",2016,225.94
"tza",1990,407.7
"tza",1991,420.56
"tza",1992,441.72
"tza",1993,462.81
"tza",1994,490.09
"tza",1995,512.25
"tza",1996,527.35
"tza",1997,548.36
"tza",1998,573.39
"tza",1999,579.86
"tza",2000,580.44
"tza",2001,568.6
"tza",2002,561.91
"tza",2003,576.07
"tza",2004,581.9
"tza",2005,592.71
"tza",2006,612.53
"tza",2007,636.71
"tza",2008,662.97
"tza",2009,692.46
"tza",2010,715.81
"tza",2011,744.26
"tza",2012,776.03
"tza",2013,822.17
"tza",2014,862.91
"tza",2015,903.74
"tza",2016,944.37
"uga",1990,276.42
"uga",1991,288.42
"uga",1992,298.85
"uga",1993,332.39
"uga",1994,354.57
"uga",1995,363.7
"uga",1996,377.84
"uga",1997,387.7
"uga",1998,411.98
"uga",1999,423.12
"uga",2000,444.4
"uga",2001,450.44
"uga",2002,455.44
"uga",2003,463.1
"uga",2004,490.94
"uga",2005,507.09
"uga",2006,526.13
"uga",2007,540
"uga",2008,541.7
"uga",2009,549.52
"uga",2010,566.6
"uga",2011,588.5
"uga",2012,607.04
"uga",2013,636.53
"uga",2014,655.94
"uga",2015,674.44
"uga",2016,694.42
