"geo","time","colonandrectum_cancer_number_of_male_deaths"
"bdi",1990,103.26
"bdi",1991,104.19
"bdi",1992,105.18
"bdi",1993,106.26
"bdi",1994,107.27
"bdi",1995,109.05
"bdi",1996,108.12
"bdi",1997,106.04
"bdi",1998,104.8
"bdi",1999,101.83
"bdi",2000,102.85
"bdi",2001,100.41
"bdi",2002,102.05
"bdi",2003,105.08
"bdi",2004,110.51
"bdi",2005,116.53
"bdi",2006,121.11
"bdi",2007,125.95
"bdi",2008,131.02
"bdi",2009,135.74
"bdi",2010,143.91
"bdi",2011,151.17
"bdi",2012,158.25
"bdi",2013,163.92
"bdi",2014,170.45
"bdi",2015,176.85
"bdi",2016,183.72
"cod",1990,463.63
"cod",1991,483.84
"cod",1992,502.17
"cod",1993,508.86
"cod",1994,526.54
"cod",1995,549.43
"cod",1996,571.91
"cod",1997,564.45
"cod",1998,573.32
"cod",1999,581.68
"cod",2000,589.22
"cod",2001,602.13
"cod",2002,603.55
"cod",2003,635.99
"cod",2004,639.07
"cod",2005,652.36
"cod",2006,669.19
"cod",2007,689.1
"cod",2008,727.55
"cod",2009,755.49
"cod",2010,789.17
"cod",2011,830.36
"cod",2012,874.06
"cod",2013,911.24
"cod",2014,954.49
"cod",2015,1003.26
"cod",2016,1051.23
"ken",1990,167.69
"ken",1991,179.03
"ken",1992,192.99
"ken",1993,205.35
"ken",1994,214.96
"ken",1995,224.2
"ken",1996,235.92
"ken",1997,245.71
"ken",1998,260.79
"ken",1999,266.03
"ken",2000,280.35
"ken",2001,290.11
"ken",2002,311.69
"ken",2003,326.42
"ken",2004,337.6
"ken",2005,348.34
"ken",2006,361.61
"ken",2007,375.11
"ken",2008,389.28
"ken",2009,403.62
"ken",2010,418.96
"ken",2011,440.02
"ken",2012,461.03
"ken",2013,477.23
"ken",2014,498.21
"ken",2015,520.57
"ken",2016,551.04
"rwa",1990,84.21
"rwa",1991,86.13
"rwa",1992,86.31
"rwa",1993,84.45
"rwa",1994,83.29
"rwa",1995,83.49
"rwa",1996,89.11
"rwa",1997,97.12
"rwa",1998,108.33
"rwa",1999,114.92
"rwa",2000,119.5
"rwa",2001,118.38
"rwa",2002,119.57
"rwa",2003,117.35
"rwa",2004,117.95
"rwa",2005,120.21
"rwa",2006,126.99
"rwa",2007,133.84
"rwa",2008,139.34
"rwa",2009,144.41
"rwa",2010,148.76
"rwa",2011,152.3
"rwa",2012,156.11
"rwa",2013,162.34
"rwa",2014,169.89
"rwa",2015,179.46
"rwa",2016,189.6
"ssd",1990,64.98
"ssd",1991,64.9
"ssd",1992,65.79
"ssd",1993,66.8
"ssd",1994,67.92
"ssd",1995,69.55
"ssd",1996,72.13
"ssd",1997,73.56
"ssd",1998,78.01
"ssd",1999,82.22
"ssd",2000,86.36
"ssd",2001,87.5
"ssd",2002,89.86
"ssd",2003,95.05
"ssd",2004,101.55
"ssd",2005,108.41
"ssd",2006,116.51
"ssd",2007,123.65
"ssd",2008,129.98
"ssd",2009,136.6
"ssd",2010,142.45
"ssd",2011,148.84
"ssd",2012,159.1
"ssd",2013,169.6
"ssd",2014,180.88
"ssd",2015,191.86
"ssd",2016,202.24
"tza",1990,379.34
"tza",1991,393.45
"tza",1992,412.74
"tza",1993,429
"tza",1994,452.78
"tza",1995,462.75
"tza",1996,476.87
"tza",1997,490.7
"tza",1998,509.22
"tza",1999,529.89
"tza",2000,540.92
"tza",2001,556.28
"tza",2002,577.44
"tza",2003,611.55
"tza",2004,650.57
"tza",2005,694.94
"tza",2006,725.25
"tza",2007,750.52
"tza",2008,787.26
"tza",2009,827.85
"tza",2010,876.67
"tza",2011,925.01
"tza",2012,979.6
"tza",2013,1031.77
"tza",2014,1073.68
"tza",2015,1122.74
"tza",2016,1179.91
"uga",1990,318.3
"uga",1991,336.15
"uga",1992,358.95
"uga",1993,373.55
"uga",1994,394.57
"uga",1995,396.59
"uga",1996,383.57
"uga",1997,373.71
"uga",1998,375.3
"uga",1999,373.75
"uga",2000,383.07
"uga",2001,384.85
"uga",2002,389.06
"uga",2003,400.49
"uga",2004,424.17
"uga",2005,441.15
"uga",2006,467.11
"uga",2007,496.11
"uga",2008,517.04
"uga",2009,542.77
"uga",2010,566.69
"uga",2011,599.23
"uga",2012,624.23
"uga",2013,666.49
"uga",2014,694.14
"uga",2015,722.37
"uga",2016,753.28
